canonical_paper_identity,title,previous_publication_type,canonical_venue_id,canonical_venue_name,canonical_venue_type,arxiv_id,arxiv_url,doi,repository_identifiers,proposed_publication_type,applied_rule,ambiguity_status
curated:bb388762c1cb4bd3bf4a,Quality-Aware Calibration for AI-Generated Image Detection in the Wild,conference,venue:cvpr:workshops,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2604.15027,,10.48550/arxiv.2604.15027,2604.15027; 10.48550/arxiv.2604.15027,conference,canonical_venue_type,resolved
curated:589870527983af575480,The Deployment Gap in AI Media Detection: Platform-Aware and Visually Constrained Adversarial Evaluation,conference,venue:cvpr:workshops,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2604.09706,,,2604.09706,conference,canonical_venue_type,resolved
curated:f7906cb987975444e893,Boosting Robust AIGI Detection with LoRA-based Pairwise Training,conference,venue:cvpr:workshops,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2604.12307,,10.48550/arxiv.2604.12307,2604.12307; 10.48550/arxiv.2604.12307,conference,canonical_venue_type,resolved
curated:efceafb2be2246aa120b,Weakly‐Aligned Region‐Language Transformer for Real‐Time Artistic Content Detection in SAGIN,journal,venue:transactions-on-emerging-telecommunications-technologies:main,Transactions on Emerging Telecommunications Technologies,journal,,,10.1002/ett.70335,,journal,canonical_venue_type,resolved
curated:8ffdbd0ba264927d1c3a,Robust Fake Image Detection via Incremental Training of Siamese Neural Networks,conference,venue:international-symposium-on-cyberspace-safety-and-security:main,International Symposium on Cyberspace Safety and Security,conference,,,10.1007/978-981-95-3551-4_23,,conference,canonical_venue_type,resolved
curated:08aa2b51bb36247bdda3,RealNet: Efficient and Unsupervised Detection of AI-Generated Images via Real-Only Representation Learning,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,,,10.1609/aaai.v40i45.41234,,conference,canonical_venue_type,resolved
curated:45cb3642fd138c136139,Decision-Driven Orthogonal Learning with Complementary Feature Mining for Robust Synthetic Image Detection,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,,,10.1609/aaai.v40i8.37553,,conference,canonical_venue_type,resolved
curated:6a5bef99dcdc1ad4ba28,DySy-Det: A Synergistic Framework with Dynamic Reconstruction-Path Consistency for AI-Generated Image Detection,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,,,10.1609/aaai.v40i42.40868,,conference,canonical_venue_type,resolved
curated:dbbb2e6ee311ee6198c3,FIND: A Simple Yet Effective Baseline for Diffusion-Generated Image Detection,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,2603.14220,,10.1609/aaai.v40i8.37547,2603.14220,conference,canonical_venue_type,resolved
curated:89f7a674fe872806006b,ODDN: Addressing Unpaired Data Challenges in Open-World Deepfake Detection on Online Social Networks,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,2410.18687,,10.1609/aaai.v39i1.32063,2410.18687,conference,canonical_venue_type,resolved
curated:8cb907bc9003c61325f8,E3: Ensemble of Expert Embedders for Adapting Synthetic Image Detectors to New Generators Using Limited Data,conference,venue:cvpr:workshops,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2404.08814,,10.1109/cvprw63382.2024.00437,2404.08814,conference,canonical_venue_type,resolved
curated:aa6672aa3ab0a0709e32,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,conference,venue:iccv:main,IEEE/CVF International Conference on Computer Vision,conference,2601.14625,,https://doi.org/10.1109/iccv51701.2025.01588,2601.14625,conference,canonical_venue_type,resolved
curated:0526c3529dda4446a0d7,Background-Noise-Driven Detection of Diffusion-Generated Images,journal,venue:ieee-signal-processing-letters:main,IEEE Signal Processing Letters,journal,,,10.1109/lsp.2026.3678476,,journal,canonical_venue_type,resolved
curated:885c512e1e964d2ec61f,CLIP-ADA: CLIP-Guided Artifact-Invariant Generalizable Synthetic Image Detection,journal,venue:ieee-transactions-on-information-forensics-and-security:main,IEEE Transactions on Information Forensics and Security,journal,,,10.1109/tifs.2026.3676657,,journal,canonical_venue_type,resolved
curated:c495f498c11dab35ecbc,FALCON-Net: Feature Aggregation of Local Patterns for AI-Generated Image Detection,journal,venue:ieee-transactions-on-information-forensics-and-security:main,IEEE Transactions on Information Forensics and Security,journal,,,10.1109/tifs.2026.3683286,,journal,canonical_venue_type,resolved
curated:8705551f18f94daa53d4,ERASE: Bypassing Collaborative Detection of AI Counterfeit via Comprehensive Artifacts Elimination,journal,venue:ieee-transactions-on-dependable-and-secure-computing:main,IEEE Transactions on Dependable and Secure Computing,journal,,,10.1109/tdsc.2026.3677794,,journal,canonical_venue_type,resolved
curated:4c6404676fc92cb9e8eb,Black-Box Adaptation for Deepfake Detection via Local Relation Guided AUC Optimization,journal,venue:ieee-internet-of-things-journal:main,IEEE Internet of Things Journal,journal,,,10.1109/jiot.2026.3686234,,journal,canonical_venue_type,resolved
curated:837a8a0ceb9d8f86d02a,ArtGate: Injecting Fake Artifact Features into CLIP for AI-Generated Image Detection,journal,venue:ieee-transactions-on-multimedia:main,IEEE Transactions on Multimedia,journal,,,10.1109/tmm.2026.3694528,,journal,canonical_venue_type,resolved
curated:167b4dd09fa505470bce,NSFF: Noise and semantic features fusion for AI-generated image detection,journal,venue:neural-networks:main,Neural Networks,journal,,,10.1016/j.neunet.2026.109130,,journal,canonical_venue_type,resolved
curated:316fc03d348baa637bb4,Geometric-semantic dual-adaptation for generalizable AI-generated image detection,journal,venue:neurocomputing:main,Neurocomputing,journal,,,10.1016/j.neucom.2026.134418,,journal,canonical_venue_type,resolved
curated:1bf124f8f57f00dddd01,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,conference,venue:mad:main,ACM International Workshop on Multimedia AI against Disinformation,conference,2605.02567,,10.1145/3810988.3812662,2605.02567,conference,canonical_venue_type,resolved
curated:0d918782407e05ade5bd,Unified Detection of Synthetic and Manipulated Images via Dual-Stream Artifact Fusion,conference,venue:mad:main,ACM International Workshop on Multimedia AI against Disinformation,conference,,,10.1145/3810988.3812660,,conference,canonical_venue_type,resolved
curated:46773aac10dade5fbd50,Explainability-Driven Analysis of AI-Generated Image Detectors: Insights into Generalization and Failure Modes,conference,venue:international-conference-on-advanced-information-networking-and-applications:main,International Conference on Advanced Information Networking and Applications,conference,,,10.1007/978-3-032-23347-9_28,,conference,canonical_venue_type,resolved
curated:0895eb11a7610f3973da,Cover-Source Mismatch in Deepfake Detection: A Systematic Study,conference,venue:ih-mmsec:main,ACM Workshop on Information Hiding and Multimedia Security,conference,,,10.1145/3785353.3815097,,conference,canonical_venue_type,resolved
curated:6f55b599c4d1588c62f7,DTBF: Combining Local Statistical Artifacts and Concept Alignment for Synthetic Image Detection,journal,venue:ieee-signal-processing-letters:main,IEEE Signal Processing Letters,journal,,,10.1109/lsp.2026.3710437,,journal,canonical_venue_type,resolved
curated:b08c8cdd637cf7f65d18,AI-Generated Image Detection Based on the Most Suspicious Patch,conference,venue:pacific-asia-conference-on-knowledge-discovery-and-data-mining:main,Pacific-Asia Conference on Knowledge Discovery and Data Mining,conference,,,10.1007/978-981-92-1947-6_34,,conference,canonical_venue_type,resolved
curated:9ae6e4e3816daa7e1650,ForgeryMoE: Mixture of Experts for Image Forgery Detection under JPEG Compression,conference,venue:icmr:main,ACM International Conference on Multimedia Retrieval,conference,,,10.1145/3805622.3810810,,conference,canonical_venue_type,resolved
curated:559269bd486bc1da5115,Comparative Analysis of Custom CNN Architecture and MobileNet for Deepfake Image Detection,conference,venue:international-conference-on-advanced-intelligent-systems-and-informatics:main,International Conference on Advanced Intelligent Systems and Informatics,conference,,,10.1007/978-3-031-81308-5_6,,conference,canonical_venue_type,resolved
curated:988373de555945528142,"Comparative Analysis of Deepfake Image Detection Method Using VGG16, VGG19 and ResNet50",journal,venue:journal-of-advanced-research-in-applied-sciences-and-engineering-technology:main,Journal of Advanced Research in Applied Sciences and Engineering Technology,journal,,,10.37934/araset.47.1.1628,,journal,canonical_venue_type,resolved
curated:9a95c96ee1d20e56c56d,Spatial flatness-curvature mask driven generalized detection of synthetic images,journal,venue:pattern-recognition-letters:main,Pattern Recognition Letters,journal,,,10.1016/j.patrec.2026.04.022,,journal,canonical_venue_type,resolved
curated:161b6d5ca391d238f7e9,Detecting Origin Attribution for Text-to-Image Diffusion Models,conference,venue:wacv:main,IEEE/CVF Winter Conference on Applications of Computer Vision,conference,2403.19653,,10.1109/wacv61041.2025.00850,2403.19653,conference,canonical_venue_type,resolved
curated:c87f234ea256991903e1,Dissect and Prune: Enhancing Robustness in AI-Generated Image Detection,conference,venue:icml:main,International Conference on Machine Learning,conference,2606.10309,,10.48550/arxiv.2606.10309,2606.10309; 10.48550/arxiv.2606.10309,conference,canonical_venue_type,resolved
curated:078ade9edabe304013a7,ForensicConcept: Transferable Forensic Concepts for AIGI Detection,conference,venue:icml:main,International Conference on Machine Learning,conference,2606.07034,,10.48550/arxiv.2606.07034,2606.07034; 10.48550/arxiv.2606.07034,conference,canonical_venue_type,resolved
curated:7ed4e932c4dac57d0136,DGS-Net: Distillation-Guided Gradient Surgery for CLIP Fine-Tuning in AI-Generated Image Detection,conference,venue:icml:main,International Conference on Machine Learning,conference,2511.13108,,10.48550/arxiv.2511.13108,2511.13108; 10.48550/arxiv.2511.13108,conference,canonical_venue_type,resolved
curated:d6fe2666a64b0c70ff6b,GenShield: Unified Detection and Artifact Correction for AI-Generated Images,conference,venue:icml:main,International Conference on Machine Learning,conference,2605.16122,,10.48550/arxiv.2605.16122,2605.16122; 10.48550/arxiv.2605.16122,conference,canonical_venue_type,resolved
curated:a570863c3a6ac227b56c,PGC: Peak-Guided Calibration for Generalizable AI-Generated Image Detection,conference,venue:icml:main,International Conference on Machine Learning,conference,2605.21207,,10.48550/arxiv.2605.21207,2605.21207; 10.48550/arxiv.2605.21207,conference,canonical_venue_type,resolved
curated:f380c0d31081fc59f1eb,FiSeR: Fine-Grained Source Representations for Cross-Domain AI Image Detection,conference,venue:icml:main,International Conference on Machine Learning,conference,2606.00606,,10.48550/arxiv.2606.00606,2606.00606; 10.48550/arxiv.2606.00606,conference,canonical_venue_type,resolved
curated:75cbd31c9946c7eb7977,"""That's another doom I haven't thought about"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",conference,venue:chi:main,CHI Conference on Human Factors in Computing Systems,conference,2505.22845,,https://doi.org/10.1145/3772318.3791006,2505.22845,conference,canonical_venue_type,resolved
curated:2938e895376a45baceec,SAGNet: Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,journal,venue:ieee-transactions-on-information-forensics-and-security:main,IEEE Transactions on Information Forensics and Security,journal,,,https://doi.org/10.1109/tifs.2025.3581726,,journal,canonical_venue_type,resolved
curated:517a2cc4ca3690f3fc44,A Performance Analysis to Detect Synthetic Images with Deep Learning-Based Image Classification,conference,venue:international-conference-on-cyber-intelligence-and-information-retrieval:main,International Conference on Cyber Intelligence and Information Retrieval,conference,,,10.1007/978-981-97-3594-5_3,,conference,canonical_venue_type,resolved
curated:e9594b5466110ca009aa,Toward Generalizable AI-Generated Image Detection with a New Realistic Dataset: Performance Evaluation and Improvement,journal,venue:ieee-multimedia:main,IEEE Multimedia,journal,,,10.1109/mmul.2026.3710370,,journal,canonical_venue_type,resolved
curated:8ebf01a335c20fdc902d,Fake Detection Based on Balanced Attention and Information Guidance for Collaborative Image Processing Tasks,conference,venue:international-conference-on-computer-supported-cooperative-work-in-design:main,International Conference on Computer Supported Cooperative Work in Design,conference,,,10.1109/cscwd68734.2026.11582378,,conference,canonical_venue_type,resolved
curated:b31395a72552920109fa,The PRISM benchmark: PhotoRealistic Image Synthesis and Manipulation to detect generated images,journal,venue:computer-vision-and-image-understanding:main,Computer Vision and Image Understanding,journal,,,10.1016/j.cviu.2026.104826,,journal,canonical_venue_type,resolved
curated:ab6b43e21ae47dadafe0,Dual Frequency Branch Framework With Reconstructed Sliding Windows Attention for AI-Generated Image Detection,journal,venue:ieee-transactions-on-information-forensics-and-security:main,IEEE Transactions on Information Forensics and Security,journal,2501.15253v3,,10.1109/tifs.2026.3664000,2501.15253v3,journal,canonical_venue_type,resolved
curated:038a578e520799c8671e,Toward Generalizable Forgery Detection and Reasoning,journal,venue:ieee-transactions-on-image-processing:main,IEEE Transactions on Image Processing,journal,2503.21210,,https://doi.org/10.1109/tip.2026.3673967,2503.21210,journal,canonical_venue_type,resolved
curated:75b4ab2d95e995615ae2,Quality-Guided Forgery Adapter for Generalizable AIGC Image Detection,journal,venue:ieee-transactions-on-information-forensics-and-security:main,IEEE Transactions on Information Forensics and Security,journal,,,10.1109/tifs.2026.3698571,,journal,canonical_venue_type,resolved
curated:d0eec7c4fce8929c295a,Diffusion-Driven Forgery Detection: Distilling Latent Features for Generalized Image Forensics,journal,venue:ieee-signal-processing-letters:main,IEEE Signal Processing Letters,journal,,,10.1109/lsp.2026.3687792,,journal,canonical_venue_type,resolved
curated:d8df0e4505f5d38ebb28,Lightweight Image Forgery Detection via Tucker Decomposition for Efficient Edge Deployment,journal,venue:ieee-tai:main,IEEE Transactions on Artificial Intelligence,journal,,,10.1109/tai.2026.3703792,,journal,canonical_venue_type,resolved
curated:70f6d63927384365006f,High-Resolution Contrastive Framework for Generalizable AI-Generated Image Detection,conference,venue:icassp:main,"IEEE International Conference on Acoustics, Speech and Signal Processing",conference,,,10.1109/icassp55912.2026.11461655,,conference,canonical_venue_type,resolved
curated:03f893b9484ea2d09c22,Universal Denoising Patterns for Diffusion Image Detection,conference,venue:icassp:main,"IEEE International Conference on Acoustics, Speech and Signal Processing",conference,,,10.1109/icassp55912.2026.11462468,,conference,canonical_venue_type,resolved
curated:567ec9e4515f2e4a20ca,RADI: A Retrieval-Augmented Dynamic In-Context Learning Framework for AIGC Image Detection,conference,venue:icassp:main,"IEEE International Conference on Acoustics, Speech and Signal Processing",conference,,,10.1109/icassp55912.2026.11462412,,conference,canonical_venue_type,resolved
curated:5ceb080eeeacfdf0cb8f,M <sup>2</sup> EA: Multi-VAE Manifold Envelope Alignment for Challenging AI-Generated Image Detection,conference,venue:icassp:main,"IEEE International Conference on Acoustics, Speech and Signal Processing",conference,,,10.1109/icassp55912.2026.11463215,,conference,canonical_venue_type,resolved
curated:e2c0dacc159564e9e575,Gamma: Generalizable Ai-Generated Image Detection Via Multi-Task and Manipulation-Augmented Supervision,conference,venue:icassp:main,"IEEE International Conference on Acoustics, Speech and Signal Processing",conference,2509.10250,,10.1109/icassp55912.2026.11460946,2509.10250,conference,canonical_venue_type,resolved
curated:dc9126cc128e1b228717,Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,2403.16513,,https://doi.org/10.48550/arxiv.2403.16513,2403.16513; https://doi.org/10.48550/arxiv.2403.16513,conference,canonical_venue_type,resolved
curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),conference,venue:ijcnlp-aacl:main,International Joint Conference on Natural Language Processing and the Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics,conference,2411.16754,,10.18653/v1/2025.ijcnlp-long.100,2411.16754,conference,canonical_venue_type,resolved
curated:828a87e68db4c3541e80,MLEP: Multi-granularity Local Entropy Patterns for Generalized AI-generated Image Detection,conference,venue:neurips:main,Advances in Neural Information Processing Systems,conference,2504.13726,,https://doi.org/10.48550/arxiv.2504.13726,2504.13726; https://doi.org/10.48550/arxiv.2504.13726,conference,canonical_venue_type,resolved
curated:4c10e64c5b8f09c7333e,Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,conference,venue:iclr:main,International Conference on Learning Representations,conference,2504.15470,,10.48550/arxiv.2504.15470,2504.15470; 10.48550/arxiv.2504.15470,conference,canonical_venue_type,resolved
curated:9b7e6c57a9f75e06fddf,CLIP-SegFusion: An Attention-Guided Feature Fusion Framework for Multi-Level Detection on AI-Generated Artworks,conference,venue:icmr:main,ACM International Conference on Multimedia Retrieval,conference,,,10.1145/3805622.3810639,,conference,canonical_venue_type,resolved
curated:084e01a1a2191cb4c86a,LOKI: A Comprehensive Synthetic Data Detection Benchmark using Large Multimodal Models,conference,venue:iclr:main,International Conference on Learning Representations,conference,2410.09732,,10.48550/arxiv.2410.09732,2410.09732; 10.48550/arxiv.2410.09732,conference,canonical_venue_type,resolved
curated:4a7bded8c311ed9c0540,Forensic-MoE: Exploring Comprehensive Synthetic Image Detection Traces With Mixture of Experts,conference,venue:iccv:main,IEEE/CVF International Conference on Computer Vision,conference,,,10.1109/iccv51701.2025.01651,,conference,canonical_venue_type,resolved
curated:0fb6a9c0db904eae726d,Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,journal,venue:ieee-tai:main,IEEE Transactions on Artificial Intelligence,journal,2305.13800,,10.1109/tai.2025.3641104,2305.13800,journal,canonical_venue_type,resolved
curated:31c548f5aa68f9075659,CausalCLIP: Causally-Informed Feature Disentanglement and Filtering for Generalizable Detection of Generated Images,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,2512.13285,,10.1609/aaai.v40i9.37642,2512.13285,conference,canonical_venue_type,resolved
curated:7b767faa09af80414296,Leveraging Failed Samples: A Few-Shot and Training-Free Framework for Generalized Deepfake Detection,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,2508.09475,,10.1609/aaai.v40i33.39998,2508.09475,conference,canonical_venue_type,resolved
curated:cdbafbabadfbb462102a,Aggregating Diverse Cue Experts for AI-Generated Image Detection,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,2601.08790,,10.1609/aaai.v40i11.37890,2601.08790,conference,canonical_venue_type,resolved
curated:64635535d7b7b6a12a32,Unveiling Perceptual Artifacts: A Fine-Grained Benchmark for Interpretable AI-Generated Image Detection,conference,venue:iclr:main,International Conference on Learning Representations,conference,2601.19430,,,2601.19430,conference,canonical_venue_type,resolved
curated:49cc18f090b2488dda2d,Beyond Binary Classification: A Semi-supervised Approach to Generalized AI-generated Image Detection,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,2511.19499v1,,10.1609/aaai.v40i42.40886,2511.19499v1,conference,canonical_venue_type,resolved
curated:b2b738978609f5704f00,HSIC Bottleneck for Cross-Generator and Domain-Incremental Synthetic Image Detection,conference,venue:iclr:main,International Conference on Learning Representations,conference,,,,,conference,canonical_venue_type,resolved
curated:37949b937d2159b47e73,Spatial-Temporal Forgery Trace Based Forgery Image Identification,conference,venue:iccv:main,IEEE/CVF International Conference on Computer Vision,conference,,,10.1109/iccv51701.2025.01585,,conference,canonical_venue_type,resolved
curated:506d44d3feea2627dd42,No Pixel Left Behind: A Detail-Preserving Architecture for Robust High-Resolution AI-Generated Image Detection,conference,venue:iclr:main,International Conference on Learning Representations,conference,2508.17346,,,2508.17346,conference,canonical_venue_type,resolved
curated:6c2f591bf6fda3abecbb,Reasoning-Aware AIGC Detection via Alignment and Reinforcement,conference,venue:acl:findings,Annual Meeting of the Association for Computational Linguistics,conference,2604.19172,,10.18653/v1/2026.findings-acl.1043,2604.19172,conference,canonical_venue_type,resolved
curated:411724cd949b78c1af6a,FakeXplain: AI-Generated Image Detection via Human-Aligned Grounded Reasoning,conference,venue:iclr:main,International Conference on Learning Representations,conference,,,,,conference,canonical_venue_type,resolved
curated:3c8696103d9d5e608281,DRCT: Diffusion Reconstruction Contrastive Training towards Universal Detection of Diffusion Generated Images,conference,venue:icml:main,International Conference on Machine Learning,conference,,,,,conference,canonical_venue_type,resolved
curated:386ccd052b812587c286,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",conference,venue:iclr:main,International Conference on Learning Representations,conference,2504.01396,,,2504.01396,conference,canonical_venue_type,resolved
curated:7693a9c0107feaf90e10,Are High-Quality AI-Generated Images More Difficult for Models to Detect?,conference,venue:icml:main,International Conference on Machine Learning,conference,,,,,conference,canonical_venue_type,resolved
curated:95953a73a0e2e1f14ccb,PiD: Generalized AI-Generated Images Detection with Pixelwise Decomposition Residuals,conference,venue:icml:main,International Conference on Machine Learning,conference,,,,,conference,canonical_venue_type,resolved
curated:6976641cbfe602a7e617,Forensic Detection of Generated MRI Imagery Using Autoregressive Modeling and Frequency Analysis,conference,venue:wacv:workshops,IEEE/CVF Winter Conference on Applications of Computer Vision,conference,,,,,conference,canonical_venue_type,resolved
curated:3c22ad3ac0639bf3d2b5,Multiscale Spatial Frequency-Aware Transformer and Saturation Analysis for Universal Deepfake Detection,journal,venue:ieee-transactions-on-cybernetics:main,IEEE Transactions on Cybernetics,journal,,,10.1109/TCYB.2026.3690601,,journal,canonical_venue_type,resolved
curated:7287cadbc4b8408fd16b,Breaking Manifold Continuity: Vector Quantized Modeling for Real-Centric Deepfake Detection,conference,venue:icml:main,International Conference on Machine Learning,conference,,,,,conference,canonical_venue_type,resolved
curated:b45849aa3f89cc8b64ef,Position: We need to re-think the concept of “real” images.,conference,venue:icml:main,International Conference on Machine Learning,conference,,,,,conference,canonical_venue_type,resolved
curated:c84b04cb8e921be753db,Representation and Reference Selection in Training-Free Synthetic Image Attribution,preprint,,,preprint,2607.12052v1,,,2607.12052v1,preprint,existing_value,resolved
curated:beb92721c8ba0d0c4231,Scaling Up AI-Generated Image Detection with Generator-Aware Prototypes,conference,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2512.12982,,10.48550/arxiv.2512.12982,2512.12982; 10.48550/arxiv.2512.12982,conference,canonical_venue_type,resolved
