institution_name,city,country,ror_id,resolution_method,resolution_confidence,needs_review,reason,example_openalex_id,example_author_name
Shaqra University,,,05hawb687,ror_id,high,false,resolved,https://openalex.org/W4375955734,Asma Hassan Alshehri
State University of New York,,,01q1z8k08,ror_id,high,false,resolved,https://openalex.org/W4386590781,Yan Ju
"University at Buffalo, State University of New York",,,01y64my43,ror_id,high,false,resolved,https://openalex.org/W4386590781,Yan Ju
National Institute of Standards and Technology,,,05xpvk416,ror_id,high,false,resolved,https://openalex.org/W4386590781,Haiying Guan
Majmaah University,,,01mcrnj60,ror_id,high,false,resolved,https://openalex.org/W4402013517,Sunil Kumar Sharma
King Saud University,,,02f81g417,ror_id,high,false,resolved,https://openalex.org/W4402013517,Osama Alfarraj
Military University Nueva Granada,,,05n0gsn30,ror_id,high,false,resolved,https://openalex.org/W3138230904,Yohanna Rodríguez-Ortega
Imperial College London,,,041kmwe10,ror_id,high,false,resolved,https://openalex.org/W2979433881,Stefanos Zafeiriou
Microsoft (United States),,,00d0nc645,ror_id,high,false,resolved,https://openalex.org/W4409262147,Rui Xu
Fujitsu (China),,,04w4yzw62,ror_id,high,false,resolved,https://openalex.org/W4394862914,Xiaojie Xia
Fujitsu (Japan),,,038e2g226,ror_id,high,false,resolved,https://openalex.org/W4394862914,Akira Nakagawa
Northeastern University,,,04t5xt781,ror_id,high,false,resolved,https://openalex.org/W4396832416,Maitraye Das
Stanford University,,,00f54p054,ror_id,high,false,resolved,https://openalex.org/W4401607051,Renée DiResta
Center for Security and Emerging Technology,,,045qf3j54,ror_id,high,false,resolved,https://openalex.org/W4401607051,Josh A. Goldstein
Shanghai Polytechnic University,,,02as5yg64,ror_id,high,false,resolved,https://openalex.org/W4413783451,Liwei Yao
Shanghai University,,,006teas31,ror_id,high,false,resolved,https://openalex.org/W4413783451,Guobing Zou
Shanghai University of Engineering Science,,,0557b9y08,ror_id,high,false,resolved,https://openalex.org/W4413783451,Guobing Zou
Korea Aerospace University,,,05jmm0651,ror_id,high,false,resolved,https://openalex.org/W7128674854,Nusrat Tasnim
University of Michigan–Flint,,,01c3xc117,ror_id,high,false,resolved,https://openalex.org/W7128674854,kutub Uddin
Duke University,,,00py81415,ror_id,high,false,resolved,https://openalex.org/W4388858443,Zhengyuan Jiang
University of Coimbra,,,04z8k9a98,ror_id,high,false,resolved,https://openalex.org/W4312518338,Tiago Tamagusko
University of Southern Denmark,,,03yrrjy16,ror_id,high,false,resolved,https://openalex.org/W4312518338,Minh Anh Huynh
Shandong Institute of Automation,,,00qdtba35,ror_id,high,false,resolved,https://openalex.org/W2903907439,Chao Gou
Qingdao Academy of Intelligent Industries,,,02a0rnh86,ror_id,high,false,resolved,https://openalex.org/W2903907439,Chao Gou
Rensselaer Polytechnic Institute,,,01rtyzb94,ror_id,high,false,resolved,https://openalex.org/W2903907439,Qiang Ji
Zhejiang University,,,00a2xv884,ror_id,high,false,resolved,https://openalex.org/W4313042219,Eryun Liu
Princess Nourah bint Abdulrahman University,,,05b0cyh02,ror_id,high,false,resolved,https://openalex.org/W4285791495,Myriam Hadjouni
CT Group Of Institutions,,,00m02ap37,ror_id,high,false,resolved,https://openalex.org/W4285791495,Rajesh Dey
GLA University,,,05fnxgv12,ror_id,high,false,resolved,https://openalex.org/W4387377174,Dilip Kumar Sharma
University of St. Thomas - Minnesota,,,05vfxvp80,ror_id,high,false,resolved,https://openalex.org/W4387377174,Bhuvanesh Singh
Gyeongguk National University,,,04wd10e19,ror_id,high,false,resolved,https://openalex.org/W4387377174,Saurabh Agarwal
University of Malta,,,03a62bv60,ror_id,high,false,resolved,https://openalex.org/W4387377174,Lalit Garg
Sejong University,,,00aft1q37,ror_id,high,false,resolved,https://openalex.org/W4387377174,Cheonshik Kim
University of Management and Technology,,,0095xcq10,ror_id,high,false,resolved,https://openalex.org/W4391110866,Muhammad Asad Arshed
Islamia University of Bahawalpur,,,002rc4w13,ror_id,high,false,resolved,https://openalex.org/W4391110866,Shahzad Mumtaz
Satya Wacana Christian University,,,009nnre75,ror_id,high,false,resolved,https://openalex.org/W4391110866,Christine Dewi
Lund University,,,012a77v79,ror_id,high,false,resolved,https://openalex.org/W4391110866,Saeed Ahmad
University College London,,,02jx3x895,ror_id,high,false,resolved,https://openalex.org/W4381851764,Sergi D. Bray
Tilburg University,,,04b8v1s79,ror_id,high,false,resolved,https://openalex.org/W4381851764,Bennett Kleinberg
Chaoyang University of Technology,,,04xwksx09,ror_id,high,false,resolved,https://openalex.org/W4412112598,Shin‐Hung Pan
Ronin Institute,,,04awze035,ror_id,high,true,authoritative_record_not_active,https://openalex.org/W4412112598,Akshat Gaurav
Dar Al-Hekma University,,,01g0jya04,ror_id,high,false,resolved,https://openalex.org/W4412112598,Saoucène Mahfoudh
King Abdulaziz University,,,02ma4wv74,ror_id,high,false,resolved,https://openalex.org/W4412112598,Wadee Alhalabi
Symbiosis International University,,,005r2ww51,ror_id,high,false,resolved,https://openalex.org/W4412112598,Ramakrishnan Raman
Asia University,,,038a1tp19,ror_id,high,false,resolved,https://openalex.org/W4412112598,Ching‐Hsien Hsu
Academy of Broadcasting Science,,,01z4nez64,ror_id,high,false,resolved,https://openalex.org/W4393217303,Qingtong Liu
National University of Ireland,,,00shsf120,ror_id,high,false,resolved,https://openalex.org/W4214857236,Peter Corcoran
Computer Research Institute of Montréal,,,0279d5115,ror_id,high,false,resolved,https://openalex.org/W4404943058,Rajjeshwar Ganguly
Sant Gadge Baba Amravati University,,,05s8p6g93,ror_id,high,false,resolved,https://openalex.org/W4409047068,Ambika Jaiswal
Saraswati Dental College and Hospital,,,02r2tq059,ror_id,high,false,resolved,https://openalex.org/W4409047068,Akash Prakash Kharat
Rashtrasant Tukadoji Maharaj Nagpur University,,,04esgv207,ror_id,high,false,resolved,https://openalex.org/W4409047068,Suhashini Awadhesh Chaurasia
Raisoni Group of Institutions,,,03dp11s58,ror_id,high,false,resolved,https://openalex.org/W4318559723,Gopal Sarkarkar
Shivaji University,,,01bsn4x02,ror_id,high,false,resolved,https://openalex.org/W4318559723,Shilpa Gedam
Beijing University of Posts and Telecommunications,,,04w9fbh59,ror_id,high,false,resolved,https://openalex.org/W4360766590,Dazhuang Liu
Samsung SDS (South Korea),,,0476bn305,ror_id,high,false,resolved,https://openalex.org/W4221149434,Yonghyun Jeong
Korea University,,,047dqcg40,ror_id,high,false,resolved,https://openalex.org/W4221149434,Youngmin Ro
Ain Shams University,,,00cb9w016,ror_id,high,false,resolved,https://openalex.org/W3172046373,Hady A. Khalil
University of Engineering & Management,,,02decng19,ror_id,high,false,resolved,https://openalex.org/W4410026772,Gouri Morankar
Canadian International College,,,03374t109,ror_id,high,false,resolved,https://openalex.org/W4407768917,Omar Khasro Akram
Al-Azhar University,,,05fnp1145,ror_id,high,false,resolved,https://openalex.org/W4407768917,Mariam M. Abdellatif
Scientific Research Group in Egypt,,,03rahtg67,ror_id,high,false,resolved,https://openalex.org/W4407768917,Sara Abdelghafar
Tianjin University,,,012tb2g32,ror_id,high,false,resolved,https://openalex.org/W3173631964,Jiachen Yang
Jacksonville University,,,050rkhq40,ror_id,high,false,resolved,https://openalex.org/W3173631964,Huihui Wang
University of Vienna,,,03prydq77,ror_id,high,false,resolved,https://openalex.org/W4384297285,Theresa Rahel Demmer
Humboldt-Universität zu Berlin,,,01hcx6992,ror_id,high,false,resolved,https://openalex.org/W4384297285,Joerg Fingerhut
