paper_id,title,task,old_subtask,assessment
curated:d973c571c1fafe6fb25f,Deepfake-Agent: Aggregating Semantic Forgery Clues for Generalizable Detection,detection,ai_generated_image_detection,consistent
curated:3ea88dc6c3224d22d416,IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,detection,ai_generated_image_detection,consistent
curated:88b63de59a0eabcd1b02,Incremental Learning for AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:7677a61ea68774dc5023,Source Attribution of AI-Generated Image via Orthogonal Subspace Mixture-of-Experts,source_attribution,generated_image_source_attribution,consistent
curated:0a803e244a205b05642b,Leveraging DINOv3 with Adapters for Fine-Grained Generative Image Detection,detection,ai_generated_image_detection,consistent
curated:98044fc98e006607991c,Semantic Artifact Logit Fusion for Generalizable AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:4ad04c01ae2850d5cc34,MoFAIR: Self-improving Post-training for Robust and Explainable AIGC Forensics with Lightweight Reward Distillation,detection,ai_generated_image_detection,consistent
curated:dd5b85612778b9021f4e,CCMA-CLIP: Concept-Guided Cross-Modal Adaptation for Robust AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:268336295435cfbbbd5d,Learning a Semantic Similarity Orthogonal Space for Model‐Level <scp>AI</scp> ‐Generated Image Source Attribution,source_attribution,source_identification,consistent
curated:672e9600fc8b6ead6ab1,Beyond Causal Models: Multi-Scale Linear Local Attention for AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:748ed5e2cf27aea70f6a,Frequency-Aware Robustness Analysis of Deepfake Detection Models,detection,ai_generated_image_detection,consistent
curated:611c1fc878b1f9737a04,Universal Deepfake Detection via Low-Rank Adaptation of Vision-Language Models,detection,ai_generated_image_detection,consistent
curated:b75682820c5af85396c1,Semi-Truths: A Large-Scale Dataset of AI-Augmented Images for Evaluating Robustness of AI-Generated Image detectors,detection,ai_generated_image_detection,consistent
curated:cb237bfcbc395a031757,A COMPARATIVE REVIEW OF AI-GENERATED IMAGE DETECTION ACROSS SOCIAL MEDIA PLATFORMS,detection,ai_generated_image_detection,consistent
curated:239572598dfae08d563b,DeeCLIP: A Robust and Generalizable Transformer-Based Framework for Detecting AI-Generated Images,detection,ai_generated_image_detection,consistent
