title,year,expected_task,source_doc,section,notes,checklist_row,doi,arxiv_id,openalex_url,in_openalex_candidate_papers,in_candidate_map,in_public_preview,in_public_preview_paper_list,covered_as_map_marker,map_record_count,missing_affiliation,missing_coordinates,marker_diagnostics,missing_stage,coverage_status,recommended_action,match_method,matched_public_title,matched_public_paper_id,manual_review,identity_review,exclusion_evidence,reconciliation_classification,reconciliation_evidence,reconciliation_reason,resolved_title,resolved_year,best_openalex_title_match,best_openalex_title_score,best_public_preview_title_match,best_public_preview_title_score,best_public_preview_paper_title_match,best_public_preview_paper_title_score
Detection of GAN-Generated Images by Estimating Artifact Similarity,2021,detection,Z_Update_SID-2018-2025.docx,Detection,,54,,,,yes,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Detection of GAN-Generated Images by Estimating Artifact Similarity,,no,,,,,,Detection of GAN-Generated Images by Estimating Artifact Similarity,2021,,0.000,,0.000,,0.000
Detecting Generated Images by Real Images,2022,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2022",55,10.1007/978-3-031-19781-9_6,,https://openalex.org/W4313189772,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Detecting Generated Images by Real Images,curated:2488ec329f6e0d99d28f,no,,,SAME_PAPER_METADATA_CONFLICT,https://api.crossref.org/works/10.1007/978-3-031-19781-9_6,"Checklist used the whole ECCV book PDF URL as DOI. Crossref confirms chapter DOI ending _6, title and six authors. Correct checklist identity only.",Detecting Generated Images by Real Images,2022,,0.000,,0.000,,0.000
FingerprintNet: Synthesized Fingerprints for Generated Image Detection,2022,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2022",56,,,,yes,yes,yes,yes,yes,5,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,FingerprintNet: Synthesized Fingerprints for Generated Image Detection,curated:1b08aef98983549221b1,no,,,,,,FingerprintNet: Synthesized Fingerprints for Generated Image Detection,2022,,0.000,,0.000,,0.000
Discovering Transferable Forensic Features for CNN-Generated Images Detection,2022,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=ECCV 2022,57,10.1007/978-3-031-19784-0_39,,,yes,yes,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Discovering Transferable Forensic Features for CNN-Generated Images Detection,curated:a415ec5cd284c6887636,no,,,,,,Discovering Transferable Forensic Features for CNN-Generated Images Detection,2022,,0.000,,0.000,,0.000
BiHPF: bilateral high pass filters for robust deepfake detection,2022,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=WACV, 2022",58,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,BiHPF: Bilateral High-Pass Filters for Robust Deepfake Detection,,no,,,,,,BiHPF: bilateral high pass filters for robust deepfake detection,2022,,0.000,,0.000,,0.000
Fusing Global and Local Features for Generalized AI-Synthesized Image Detection,2022,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=ICIP 2022,59,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Fusing Global and Local Features for Generalized AI-Synthesized Image Detection,curated:f1787b6ea4e45ca58565,no,,,,,,Fusing Global and Local Features for Generalized AI-Synthesized Image Detection,2022,,0.000,,0.000,,0.000
GLFF: Global and Local Feature Fusion for AI-synthesized Image Detection,2023,detection,Z_Update_SID-2018-2025.docx,Detection,,60,,,,yes,yes,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,GLFF: Global and Local Feature Fusion for AI-Synthesized Image Detection,,no,,,,,,GLFF: Global and Local Feature Fusion for AI-synthesized Image Detection,2023,,0.000,,0.000,,0.000
Learning on Gradients: Generalized Artifacts Representation for GAN-Generated Images Detection,2023,detection,Z_Update_SID-2018-2025.docx,Detection,,61,,,,yes,yes,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Learning on Gradients: Generalized Artifacts Representation for GAN-Generated Images Detection,,no,,,,,,Learning on Gradients: Generalized Artifacts Representation for GAN-Generated Images Detection,2023,,0.000,,0.000,,0.000
Towards Universal Fake Image Detectors that Generalize Across Generative Models,2023,detection,Z_Update_SID-2018-2025.docx,Detection,,62,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Towards Universal Fake Image Detectors That Generalize Across Generative Models,curated:1ef55e4fc03eb4880beb,no,,,,,,Towards Universal Fake Image Detectors that Generalize Across Generative Models,2023,,0.000,,0.000,,0.000
DIRE for Diffusion-Generated Image Detection,2023,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICCV, 2023",63,,,,no,yes,yes,yes,yes,4,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,DIRE for Diffusion-Generated Image Detection,curated:5d3c6fda5b268e0153ec,no,ambiguous exact title: DIRE for Diffusion-Generated Image Detection | DIRE for Diffusion-Generated Image Detection,,,,,DIRE for Diffusion-Generated Image Detection,2023,,0.000,,0.000,,0.000
Detecting Images Generated by Deep Diffusion Models Using Their Local Intrinsic Dimensionality,2023,detection,Z_Update_SID-2018-2025.docx,Detection,,64,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Detecting Images Generated by Deep Diffusion Models Using Their Local Intrinsic Dimensionality,,no,,,,,,Detecting Images Generated by Deep Diffusion Models Using Their Local Intrinsic Dimensionality,2023,,0.000,,0.000,,0.000
Improving Synthetically Generated Image Detection in Cross-Concept Settings,2023,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=MAD Workshop, 2023",65,10.1145/3592572.3592846,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Improving Synthetically Generated Image Detection in Cross-Concept Settings,,no,,,,,,Improving Synthetically Generated Image Detection in Cross-Concept Settings,2023,,0.000,,0.000,,0.000
Exposing fake images generated by text-to-image diffusion models,2023,detection,Z_Update_SID-2018-2025.docx,Detection,,66,,,,no,no,yes,yes,yes,4,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Exposing Fake Images Generated by Text-to-Image Diffusion Models,,no,,,,,,Exposing fake images generated by text-to-image diffusion models,2023,,0.000,,0.000,,0.000
Synthbuster: Towards Detection of Diffusion Model Generated Images,2023,detection,Z_Update_SID-2018-2025.docx,Detection,,67,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Synthbuster: Towards Detection of Diffusion Model Generated Images,curated:aaf9b7c69d384a3c3140,no,,,,,,Synthbuster: Towards Detection of Diffusion Model Generated Images,2023,,0.000,,0.000,,0.000
AI-Generated Image Detection using a Cross-Attention Enhanced Dual-Stream Network,2023,detection,Z_Update_SID-2018-2025.docx,Detection,"title_normalized=venue_suffix_removed; source_suffix=APSIPA ASC, 2023",68,,,,no,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,AI-Generated Image Detection using a Cross-Attention Enhanced Dual-Stream Network,,no,ambiguous exact title: AI-Generated Image Detection using a Cross-Attention Enhanced Dual-Stream Network | AI-Generated Image Detection using a Cross-Attention Enhanced Dual-Stream Network,,,,,AI-Generated Image Detection using a Cross-Attention Enhanced Dual-Stream Network,2023,,0.000,,0.000,,0.000
Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,2023,detection,Z_Update_SID-2018-2025.docx,Detection,,69,,,,yes,yes,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Generalizable Synthetic Image Detection via Language-Guided Contrastive Learning,curated:0fb6a9c0db904eae726d,no,,,,,,Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,2023,,0.000,,0.000,,0.000
AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2023,detection,Z_Update_SID-2018-2025.docx,Detection,,70,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,AntifakePrompt: Prompt-Tuned Vision-Language Models Are Fake Image Detectors,curated:718ce9e82d185c331bdf,no,,,,,,AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2023,,0.000,,0.000,,0.000
Diffusion Noise Feature: Accurate and Fast Generated Image Detection,2023,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=arXiv 2023,71,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Diffusion Noise Feature: Accurate and Fast Generated Image Detection,,no,,,,,,Diffusion Noise Feature: Accurate and Fast Generated Image Detection,2023,,0.000,,0.000,,0.000
GenDet: Towards Good Generalizations for AI-Generated Image Detection,2023,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=arXiv 2023,72,,,,yes,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,GenDet: Towards Good Generalizations for AI-Generated Image Detection,,no,,,,,,GenDet: Towards Good Generalizations for AI-Generated Image Detection,2023,,0.000,,0.000,,0.000
Detecting Generated Images by Real Images Only,2023,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=arXiv 2023,73,,2311.00962,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,arxiv,Detecting Generated Images by Real Images Only,curated:8aa00584c346440e0c41,no,,,MISSING_ADD,https://arxiv.org/abs/2311.00962; https://arxiv.org/html/2311.00962v1,"arXiv 2311.00962 explicitly describes an improvement over the ECCV 2022 work, with a different author list and a real-images-only detection method. Verified in scope and absent after immediate six-part deduplication; added needs_review under the resumed request.",Detecting Generated Images by Real Images Only,2023,,0.000,,0.000,,0.000
LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,74,10.1109/cvpr52733.2024.01609,2403.17465,https://openalex.org/W4402727598,yes,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,LaRE<sup>2</sup>: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,,no,,,EXISTING_CURRENT_PAPER,https://openaccess.thecvf.com/content/CVPR2024/html/Luo_LaRE2_Latent_Reconstruction_Error_Based_Method_for_Diffusion-Generated_Image_Detection_CVPR_2024_paper.html,Official CVPR proceedings and four authors establish LaRE^2 and HTML-superscript LaRE2 as the same existing paper.,LaRE<sup>2</sup>: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,,0.000,,0.000,,0.000
"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,detection,Z_Update_SID-2018-2025.docx,Detection,,75,,,,no,no,yes,yes,yes,4,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",curated:87ef976b546206fde199,no,,,,,,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,,0.000,,0.000,,0.000
Rethinking the Up-Sampling Operations in CNN-based Generative Network for Generalizable Deepfake Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,76,,,,yes,yes,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Rethinking the Up-Sampling Operations in CNN-Based Generative Network for Generalizable Deepfake Detection,,no,,,,,,Rethinking the Up-Sampling Operations in CNN-based Generative Network for Generalizable Deepfake Detection,2024,,0.000,,0.000,,0.000
Shadows Don't Lie and Lines Can't Bend! Generative Models don't know Projective Geometry...for now,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,77,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Shadows Don't Lie and Lines Can't Bend! Generative Models Don't Know Projective Geometry…for Now,curated:b286f4a33839eed35258,no,,,,,,Shadows Don't Lie and Lines Can't Bend! Generative Models don't know Projective Geometry...for now,2024,,0.000,,0.000,,0.000
Forgery-aware Adaptive Transformer for Generalizable Synthetic Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,78,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Forgery-aware Adaptive Transformer for Generalizable Synthetic Image Detection,,no,,,,,,Forgery-aware Adaptive Transformer for Generalizable Synthetic Image Detection,2024,,0.000,,0.000,,0.000
FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,79,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,curated:1eef07ebb6bd7e596f61,no,,,,,,FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,2024,,0.000,,0.000,,0.000
AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,80,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,curated:a0abee05e50398d03f2f,no,,,,,,AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,2024,,0.000,,0.000,,0.000
Raising the Bar of AI-generated Image Detection with CLIP,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,81,,,,no,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Raising the Bar of AI-generated Image Detection with CLIP,,no,ambiguous exact title: Raising the Bar of AI-generated Image Detection with CLIP | Raising the Bar of AI-generated Image Detection with CLIP,,,,,Raising the Bar of AI-generated Image Detection with CLIP,2024,,0.000,,0.000,,0.000
MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,82,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,MaskSim: Detection of Synthetic Images by Masked Spectrum Similarity Analysis,curated:f523af1f7fe7b16fda75,no,,,,,,MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,,0.000,,0.000,,0.000
Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,83,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Faster Than Lies: Real-Time Deepfake Detection Using Binary Neural Networks,curated:25c76f83f95efc6207a4,no,,,,,,Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,2024,,0.000,,0.000,,0.000
Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=AAAI, 2024; source_alias=(FreqNet)",84,,2403.07240,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Frequency-Aware Deepfake Detection: Improving Generalizability Through Frequency Space Domain Learning,curated:f7cba2387b8a4131cc7b,no,,,,,,Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,,0.000,,0.000,,0.000
DRCT: Diffusion Reconstruction Contrastive Training towards Universal Detection of Diffusion Generated Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=ICML 2024,85,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,DRCT: Diffusion Reconstruction Contrastive Training Towards Universal Detection of Diffusion Generated Images,curated:3c8696103d9d5e608281,no,,,,,,DRCT: Diffusion Reconstruction Contrastive Training towards Universal Detection of Diffusion Generated Images,2024,,0.000,,0.000,,0.000
Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,title_normalized=method_acronym_removed; method_alias=SeDID,86,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Exposing the Fake: Effective Diffusion-Generated Images Detection,curated:de711d9d87b55d210bd6,no,,,,,,Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,,0.000,,0.000,,0.000
Zero-Shot Detection of AI-Generated Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2024; source_alias=(ZED)",87,10.1007/978-3-031-72649-1_4,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Zero-Shot Detection of AI-Generated Images,curated:b4ea75d79604aba80b50,no,,,,,,Zero-Shot Detection of AI-Generated Images,2024,,0.000,,0.000,,0.000
Leveraging Representations from Intermediate Encoder-Blocks for Synthetic Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2024; source_alias=(RINE)",88,,,,yes,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Leveraging Representations from Intermediate Encoder-Blocks for Synthetic Image Detection,curated:f4dc0d6926d1f0237453,no,,,,,,Leveraging Representations from Intermediate Encoder-Blocks for Synthetic Image Detection,2024,,0.000,,0.000,,0.000
Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,source_suffix=ECCV 2024; auxiliary; dataset,89,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,curated:096573f365e37679c445,no,,,,,,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,,0.000,,0.000,,0.000
Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV Workshops, 2024",90,,,,no,no,yes,yes,yes,6,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Evolution of Detection Performance Throughout the Online Lifespan of Synthetic Images,curated:3312da81174f7d411081,no,,,,,,Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2024,,0.000,,0.000,,0.000
Your diffusion model is an implicit synthetic image detector,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2024",91,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Your Diffusion Model Is an Implicit Synthetic Image Detector,curated:a6f370defb21b2e07381,no,,,,,,Your diffusion model is an implicit synthetic image detector,2024,,0.000,,0.000,,0.000
ZeroFake: Zero-Shot Detection of Fake Images Generated and Edited by Text-to-Image Generation Models,2024,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=CCS 2024,92,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,ZeroFake: Zero-Shot Detection of Fake Images Generated and Edited by Text-to-Image Generation Models,curated:a87d86d7032f5a751004,no,,,,,,ZeroFake: Zero-Shot Detection of Fake Images Generated and Edited by Text-to-Image Generation Models,2024,,0.000,,0.000,,0.000
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=NeurIPS, 2024",93,,,,yes,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Breaking Semantic Artifacts for Generalized AI-generated Image Detection,,no,,,,,,Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,,0.000,,0.000,,0.000
Detecting Image Attribution for Text-to-Image Diffusion Models in RGB and Beyond,2024,detection_and_source_attribution,Z_Update_SID-2018-2025.docx,Detection,,94,10.1109/wacv61041.2025.00850,2403.19653,https://openalex.org/W4409262697,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Detecting Origin Attribution for Text-to-Image Diffusion Models,curated:161b6d5ca391d238f7e9,no,,,EXISTING_CURRENT,https://github.com/k8xu/ImageAttribution; https://arxiv.org/abs/2403.19653,"Official author repository links the earlier Image Attribution title to arXiv 2403.19653; WACV DOI and Xu, Zhang, Shi identify the existing Origin Attribution publication.",Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,,0.000,,0.000,,0.000
SemGIR: Semantic-Guided Image Regeneration Based Method for AI-generated Image Detection and Attribution,2024,detection_and_source_attribution,Z_Update_SID-2018-2025.docx,Detection,"title_normalized=venue_suffix_removed; source_suffix=ACM Multimedia, 2024",95,10.1145/3664647.3680776,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,SemGIR: Semantic-Guided Image Regeneration Based Method for AI-generated Image Detection and Attribution,,no,,,,,,SemGIR: Semantic-Guided Image Regeneration Based Method for AI-generated Image Detection and Attribution,2024,,0.000,,0.000,,0.000
Deep Image Fingerprint: Towards Low Budget Synthetic Image Detection and Model Lineage Analysis,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=WACV, 2024",96,,,,yes,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Deep Image Fingerprint: Towards Low Budget Synthetic Image Detection and Model Lineage Analysis,curated:04932cb03f767948ddf4,no,,,,,,Deep Image Fingerprint: Towards Low Budget Synthetic Image Detection and Model Lineage Analysis,2024,,0.000,,0.000,,0.000
D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=WACV, 2024",97,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,curated:d740749676417c725798,no,,,,,,D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,,0.000,,0.000,,0.000
Exploring the Adversarial Robustness of CLIP for AI-generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=WIFS, 2024",98,,,,no,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Exploring the Adversarial Robustness of CLIP for AI-generated Image Detection,,no,ambiguous exact title: Exploring the Adversarial Robustness of CLIP for AI-generated Image Detection | Exploring the Adversarial Robustness of CLIP for AI-generated Image Detection,,,,,Exploring the Adversarial Robustness of CLIP for AI-generated Image Detection,2024,,0.000,,0.000,,0.000
CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,99,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,curated:253c210194ac9348f9e6,no,,,,,,CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,2024,,0.000,,0.000,,0.000
Frequency Masking for Universal Deepfake Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,100,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Frequency Masking for Universal Deepfake Detection,curated:c9485f4d5346304272f2,no,,,,,,Frequency Masking for Universal Deepfake Detection,2024,,0.000,,0.000,,0.000
X-Transfer: A Transfer Learning-Based Framework for GAN-Generated Fake Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=IJCNN, 2024; title_normalized=canonical_openalex_title; original_had_robust",101,,,,no,yes,yes,yes,yes,5,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,X-Transfer: A Transfer Learning-Based Framework for GAN-Generated Fake Image Detection,,no,ambiguous exact title: X-Transfer: A Transfer Learning-Based Framework for GAN-Generated Fake Image Detection | X-Transfer: A Transfer Learning-Based Framework for GAN-Generated Fake Image Detection,,,,,X-Transfer: A Transfer Learning-Based Framework for GAN-Generated Fake Image Detection,2024,,0.000,,0.000,,0.000
On the Exploitation of DCT-Traces in the Generative-AI Domain,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,102,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,On the Exploitation of DCT-Traces in the Generative-AI Domain,curated:8603d8942c241dd876ed,no,,,,,,On the Exploitation of DCT-Traces in the Generative-AI Domain,2024,,0.000,,0.000,,0.000
AI-Generated Image Detection with Wasserstein Distance Compression and Dynamic Aggregation,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,103,,,,yes,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,AI-Generated Image Detection With Wasserstein Distance Compression and Dynamic Aggregation,,no,,,,,,AI-Generated Image Detection with Wasserstein Distance Compression and Dynamic Aggregation,2024,,0.000,,0.000,,0.000
FAMSeC: A Few-shot-sample-based General AI-generated Image Detection Method,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=SPL, 2024",104,,,,yes,yes,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,FAMSeC: A Few-Shot-Sample-Based General AI-Generated Image Detection Method,,no,,,,,,FAMSeC: A Few-shot-sample-based General AI-generated Image Detection Method,2024,,0.000,,0.000,,0.000
Detecting Computer-Generated Images by Using Only Real Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,105,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Detecting Computer-Generated Images by Using Only Real Images,curated:3864d12fe8df7b9cb19c,no,,,,,,Detecting Computer-Generated Images by Using Only Real Images,2024,,0.000,,0.000,,0.000
Artifact Feature Purification for Cross-domain Detection of AI-generated Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,106,,,,yes,yes,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Artifact feature purification for cross-domain detection of AI-generated images,,no,,,,,,Artifact Feature Purification for Cross-domain Detection of AI-generated Images,2024,,0.000,,0.000,,0.000
Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,,107,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,,no,,,,,,Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,2024,,0.000,,0.000,,0.000
Parents and Children: Distinguishing Multimodal Deepfakes from Natural Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,source_suffix=TOMM. 2024; auxiliary; dataset,108,10.1145/3665497,,,no,no,yes,yes,yes,4,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Parents and Children: Distinguishing Multimodal Deepfakes from Natural Images,curated:c3041d4480f5780e7492,no,,,,,,Parents and Children: Distinguishing Multimodal Deepfakes from Natural Images,2024,,0.000,,0.000,,0.000
Mastering Deepfake Detection: A Cutting-edge Approach to Distinguish GAN and Diffusion-model Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=TOMM. 2024,109,10.1145/3652027,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Mastering Deepfake Detection: A Cutting-edge Approach to Distinguish GAN and Diffusion-model Images,,no,,,,,,Mastering Deepfake Detection: A Cutting-edge Approach to Distinguish GAN and Diffusion-model Images,2024,,0.000,,0.000,,0.000
Unsupervised Generative Fake Image Detector,2024,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=TCSVT, 2024",110,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Unsupervised Generative Fake Image Detector,,no,,,,,,Unsupervised Generative Fake Image Detector,2024,,0.000,,0.000,,0.000
