title,year,expected_task,source_doc,section,recommended_action,notes
Rich and Poor Texture Contrast: A Simple yet Effective Approach for AI-generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Benchmark,manual_or_openalex_title_import_review,auxiliary; benchmark
Bridging the Gap Between Ideal and Real-world Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,2025,detection,Z_Update_SID-2018-2025.docx,Benchmark,manual_or_openalex_title_import_review,"auxiliary; benchmark; source_suffix=ICCV, 2025"
No Detector to Rule Them All,2025,detection,Z_Update_SID-2018-2025.docx,Benchmark,manual_or_openalex_title_import_review,"auxiliary; benchmark; source_suffix=ACM MM, 2025"
ForensicHub: A Unified Benchmark & Codebase for All-Domain Fake Image Detection and Localization,2025,detection,Z_Update_SID-2018-2025.docx,Benchmark,manual_or_openalex_title_import_review,auxiliary; benchmark; source_suffix=NeurIPS. 2025
UniAIDet: A Unified and Universal Benchmark for AI-Generated Image Content Detection and Localization,2025,detection,Z_Update_SID-2018-2025.docx,Benchmark,manual_or_openalex_title_import_review,auxiliary; benchmark; source_suffix=arXiv 20251027
DBINDS - Can Initial Noise from Diffusion Model Inversion Help Reveal AI-Generated Videos?,2025,detection,Z_Update_SID-2018-2025.docx,Benchmark,manual_or_openalex_title_import_review,"auxiliary; benchmark; source_suffix=arXiv, 20251112"
Benchmarking Deepart Detection,2023,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,auxiliary; benchmark; dataset; source_suffix=arXiv 2023
DeepArt: A Benchmark to Advance Fidelity Research in AI-Generated Content,2023,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,"auxiliary; benchmark; dataset; source_suffix=arXiv, 20231224"
Seeing is not always believing: benchmarking human and model perception of AI-generated images,2024,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,"auxiliary; benchmark; dataset; source_suffix=NeurIPS, 2024"
TWIGMA: A dataset of AI-Generated Images with Metadata From Twitter,2024,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,"auxiliary; dataset; source_suffix=NeurIPS, 2024"
Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2025,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,auxiliary; dataset
ImagiNet: A Multi-Content Dataset for Generalizable Synthetic Image Detection via Contrastive Learning,2024,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,auxiliary; dataset; source_suffix=arXiv 20240729
AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2025,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,auxiliary; dataset
FakeBench: Probing Explainable fake image detection via large multimodal models,2024,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,"auxiliary; dataset; source_suffix=arXiv, 20240908. 港城"
"Human vs. AI: A Novel Benchmark and a Comparative Study on the Detection of Generated Images and the Impact of Prompts. GenAIDetect, 2025",2025,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,auxiliary; benchmark; dataset
Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,2025,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,"auxiliary; dataset; source_suffix=ICLR, 2025"
Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,"auxiliary; dataset; source_suffix=CVPR, 2025"
Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,"auxiliary; dataset; source_suffix=WACV Workshop, 2025"
FragFake: A Dataset for Fine-Grained Detection of Edited Images with Vision Language Models. 20250x0x,2025,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,auxiliary; dataset
RAID: A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors,2025,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,"auxiliary; dataset; source_suffix=arXiv, 20250605"
Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,2025,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,"auxiliary; dataset; source_suffix=arXiv, 20251004"
RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,2025,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,"auxiliary; dataset; source_suffix=ACM MM, 2025"
Is Artificial Intelligence Generated Image Detection a Solved Problem?,2025,detection,Z_Update_SID-2018-2025.docx,Dataset,manual_or_openalex_title_import_review,"auxiliary; dataset; source_suffix=NeurIPS, 2025"
"A Survey of Defenses against AI-generated Visual Media- Detection, Disruption, and Authentication",2024,detection,Z_Update_SID-2018-2025.docx,Survey,manual_or_openalex_title_import_review,auxiliary; survey; source_suffix=arXiv 20240715 西交/武大
AI-generated image detection algorithm based on classical-quantum hybrid neural network,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=Science China, 2026"
Light2Lie: Detecting Deepfake Images Using Physical Reflectance Law,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=NDSS, 2026"
"""That’s another doom I haven’t thought about"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation. CHI, 2026",2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,
"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICLR, 2026"
FakeReasoning: Towards Generalizable Forgery Detection and Reasoning,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=TIP, 2026"
SynerDetect: Hierarchical Synergistic Learning for Generalizable AI-Generated Image Detection,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=AAAI, 2026"
Self-Supervised AI-Generated Image Detection: A Camera Metadata Perspective,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=TPAMI, 2026"
Penny-Wise and Pound-Foolish in AI-Generated Image Detection,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=TPAMI, 2026"
DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=TCSVT, 2026"
Semantic Distribution and Authenticity Discrepancy Alignment for AI-Generated Image Detection,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=TMM, 2026"
Adversarial Diffusion Model: Generating High-Quality and Undetectable Images From Scratch,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=TIFS, 2026"
Transferable Dual-Domain Feature Importance Attack against AI-Generated Image Detector,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=SPL, 2026"
General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=WACV, 2026"
Training-free Detection of Text-to-video Generations via Over-coherence,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=WACV, 2026"
The SAFE Image Authenticity Challenge: Detecting and Localizing Partial and Fully Synthetic Manipulations,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=WACV workshop, 2026"
Forensic Detection of Generated MRI Imagery Using Autoregressive Modeling and Frequency Analysis,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=WACV workshops, 2026"
CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20260302"
"Prompt-Engineered Detection of AI-Generated Images. New Trends in Intelligent Software Methodologies, Tools and Techniques, 2026",2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,
Localizing Perceptual Artifacts in Synthetic Images for Image Quality Assessment via Deep-Learning-Based Anomaly Detection,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=Electronics, 2026"
Transformer Based on Multi-Domain Feature Fusion for AI-Generated Image Detection,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=Electronics, 2026"
"What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026",2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,
FANB-Net: Frequency-Awared Attention and Noise-Injected Boosting for AI-Generated Image Detection. MMM 2026,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,
Privacy-preserving and zero-shot detection strategies for multimodal AI-generated content,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=Neurocomputing, 2026"
Harnessing attention for cropping and fusion in CLIP-based AIGC detection,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=Neurocomputing, 2026"
E2GenF: Universal AIGC image detection based on edge enhanced generalizable features,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=PRL, 2026"
Dynamic Ensemble of Deepfake Detectors Conditioned on CLIP Features,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=Computer Vision Winter Workshop, 2026"
IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=Sensors, 2026"
"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"auxiliary; survey; source_suffix=Forensic Science International: Synergy, 2026"
Forensic Invariant Learning for Synthetic Image Detection: Bridging Benford’s Law and Topological Analysis with Machine Learning Ensembles,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=QPAIN, 2026"
Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20260311"
Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20260422"
