priority_rank,mapping_status,priority,triage_status,suggested_action,public_impact,current_mapping_state,known_canonical_institutions,existing_mapping_authors,suggested_author_matches,raw_affiliation_evidence,paper_id,title,year,venue,is_key_paper,is_curated_paper,total_authors,mapped_authors,missing_authors,missing_author_names,marker_count,doi,arxiv_id,openalex_id,url
101,complete,,complete,No mapping action needed,none,confirmed,Henan University,Yingjian Chen; Lei Zhang; Yakun Niu,,"Henan Key Laboratory of Big Data Analysis and Processing, School of Computer and Information Engineering, Henan University",curated:7a95c7ca9cc95727e1b9,ForgeLens: Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,2025,IEEE/CVF International Conference on Computer Vision,true,true,3,3,0,,1,https://doi.org/10.1109/iccv51701.2025.01510,,W7160017581,https://doi.org/10.1109/iccv51701.2025.01510
102,complete,,complete,No mapping action needed,none,confirmed,CISPA Helmholtz Center for Information Security,Mengfei Liang; Yiting Qu; Yukun Jiang; Michael Backes; Yang Zhang,,,openalex:W4415935817,From Evidence to Verdict: An Agent-Based Forensic Framework for AI-Generated Image Detection,2025,arXiv,true,false,5,5,0,,1,https://doi.org/10.48550/arxiv.2511.00181,2511.00181,W4415935817,https://openalex.org/W4415935817
103,complete,,complete,No mapping action needed,none,missing,,,,,openalex:W4410487490,GCS-Net: A Universal AI-Generated Visual Content Detection Method Based on CLIP,2025,Knowledge-Based Systems,true,false,5,5,0,,1,https://doi.org/10.1016/j.knosys.2025.113806,,W4410487490,https://doi.org/10.1016/j.knosys.2025.113806
104,complete,,complete,No mapping action needed,none,confirmed,Beihang University | Hebei University of Technology,Shengpeng Xiao; Yuanfang Guo; Heqi Peng; Zeming Liu; Yunhong Wang | Liang Yang,,Beihang University,openalex:W4414578321,Generalizable AI-Generated Image Detection Based on Fractal Self-Similarity in the Spectrum,2025,arXiv,true,false,6,6,0,,2,https://doi.org/10.48550/arxiv.2503.08484,2503.08484,W4414578321,https://openalex.org/W4414578321
105,complete,,complete,No mapping action needed,none,confirmed,University of Bologna | IdentifAI,Lorenzo Pellegrini; Serafino Pandolfini; Davide Maltoni; Matteo Ferrara | Marco Prati; Marco Ramilli,,"Department of Computer Science and Engineering (DISI), University of Bologna, Italy | IdentifAI, Italy",curated:3c3cd6143ece4045b378,Generalized Design Choices for Deepfake Detectors,2025,arXiv,true,true,6,6,0,,2,10.48550/arxiv.2511.21507,2511.21507,W4416790887,https://openalex.org/W4416790887
106,complete,,complete,No mapping action needed,none,confirmed,Texas A&M University,Anant Mehta; Bryant McArthur; Nagarjuna Kolloju; Zhengzhong Tu,,,curated:507b9cb16991da1629f8,HFMF: Hierarchical Fusion Meets Multi-Stream Models for Deepfake Detection,2025,IEEE/CVF Winter Conference on Applications of Computer Vision,true,true,4,4,0,,1,https://doi.org/10.1109/wacvw65960.2025.00082,,W4409917519,https://doi.org/10.1109/wacvw65960.2025.00082
107,complete,,complete,No mapping action needed,none,confirmed,University of Science and Technology of China | Xiaohongshu Inc.,Ouxiang Li; Yanbin Hao; Fuli Feng | Jiayin Cai; Xiaolong Jiang; Yao Hu,,"University of Science and Technology of China, Hefei, Anhui, China | Xiaohongshu Inc., Beijing, China",curated:c45f9027e90830e4c9b6,Improving Synthetic Image Detection Towards Generalization: An Image Transformation Perspective,2025,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,true,true,6,6,0,,2,10.1145/3690624.3709392,2408.06741,W4409149749,https://doi.org/10.1145/3690624.3709392
108,complete,,complete,No mapping action needed,none,confirmed,Nanjing University of Information Science and Technology | University of Siena,Ziqiang Li; Jiazhen Yan; Ziwen He; Weiwei Jiang; Lizhi Xiong; Zhangjie Fu | Kai Zeng,,"1 School of Computer Science, Nanjing University of Information Science and Technology | 2 University of Siena, Siena, Italy",curated:f158c57190bcd2c8405c,Is Artificial Intelligence Generated Image Detection a Solved Problem?,2025,Advances in Neural Information Processing Systems,true,true,7,7,0,,2,10.48550/arxiv.2505.12335,2505.12335,W4417300571,https://nips.cc/media/neurips-2025/Slides/121688.pdf
109,complete,,complete,No mapping action needed,none,confirmed,University of Amsterdam | Netherlands Forensic Institute,Ana Vasilcoiu; Ivona Najdenkoska; Zeno Geradts; Marcel Worring | Ivona Najdenkoska; Zeno Geradts,,Netherlands Forensic Institute (NFI),openalex:W4415343792,LATTE: Latent Trajectory Embedding for Diffusion-Generated Image Detection,2025,arXiv,true,false,4,4,0,,2,https://doi.org/10.48550/arxiv.2507.03054,2507.03054,W4415343792,https://openalex.org/W4415343792
110,complete,,complete,No mapping action needed,none,confirmed,Shanghai Jiao Tong University | Shanghai Artificial Intelligence Laboratory | Beihang University | Sun Yat-sen University | SenseTime,Hengrui Kang; Zichen Wen; Linfeng Zhang | Hengrui Kang; Siwei Wen; Zichen Wen; Junyan Ye; Weijia Li; Peilin Feng; Baichuan Zhou; Bin Wang; Dahua Lin; Conghui He | Siwei Wen; Peilin Feng | Junyan Ye; Weijia Li | Dahua Lin; Conghui He,,Shanghai Jiao Tong University | Shanghai Artificial Intelligence Laboratory | Beihang University | Sun Yat-Sen University | SenseTime Research,curated:14272073fa5bc0e301b5,LEGION: Learning to Ground and Explain for Synthetic Image Detection,2025,IEEE/CVF International Conference on Computer Vision,true,true,11,11,0,,5,https://doi.org/10.1109/iccv51701.2025.01760,2503.15264,W4414903171,https://doi.org/10.1109/iccv51701.2025.01760
111,complete,,complete,No mapping action needed,none,confirmed,MIT Lincoln Laboratory | Yale University,Danielle Sullivan-Pao; Pooya Khorrami | Nicole Tian,,"MIT Lincoln Laboratory, Lexington MA, USA | Yale University, New Haven CT, USA",openalex:W4414827699,LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,arXiv,true,false,3,3,0,,2,https://doi.org/10.48550/arxiv.2504.08149,2504.08149,W4414827699,https://openalex.org/W4414827699
112,complete,,complete,No mapping action needed,none,missing,,,,,openalex:W7160100074,LOTA: Bit-Planes Guided AI-Generated Image Detection,2025,IEEE/CVF International Conference on Computer Vision,true,false,5,5,0,,2,10.1109/iccv51701.2025.01602,2510.14230,W7160100074,https://doi.org/10.1109/iccv51701.2025.01602
113,complete,,complete,No mapping action needed,none,confirmed,Fujitsu Research of Europe | Fujitsu Limited | Technion - Israel Institute of Technology,Jonathan Brokman; Amit Giloni; Omer Hofman; Roman Vainshtein | Hisashi Kojima | Jonathan Brokman; Guy Gilboa,,Fujitsu Research of Europe | Fujitsu Limited | Technion - Israel Institute of Technology,curated:4c10e64c5b8f09c7333e,Manifold Induced Biases for Zero-Shot and Few-Shot Detection of Generated Images,2025,International Conference on Learning Representations,true,true,6,6,0,,3,10.48550/arxiv.2504.15470,2504.15470,W4414631013,https://openalex.org/W4414631013
114,complete,,complete,No mapping action needed,none,confirmed,Indian Institute of Technology Roorkee,Pranav Sharma; Shivank Garg; Durga Toshniwal,,"Indian Institute of Technology Roorkee, Roorkee, India",openalex:W4414970554,Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,2025,arXiv,true,false,3,3,0,,1,10.48550/arxiv.2510.03840,2510.03840,W4414970554,https://openalex.org/W4414970554
115,complete,,complete,No mapping action needed,none,confirmed,"Institute of Computing Technology, Chinese Academy of Sciences | University of Sydney",Tianyun Yang; Juan Cao; Danding Wang | Chang Xu,,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China | School of Computer Science, Faculty of Engineering, University of Sydney, Australia",curated:40ffd016e03ca4604fa8,Model Synthesis for Zero-Shot Model Attribution,2025,IEEE Transactions on Multimedia,true,true,4,4,0,,2,10.1109/tmm.2025.3607778,2307.15977,W4385473656,https://doi.org/10.1109/tmm.2025.3607778
116,complete,,complete,No mapping action needed,none,confirmed,Guangdong University of Technology | Qilu University of Technology,Zili Xu; Jianjie Luo; Zhenguo Yang | Fuqiang Yu,,"Guangdong University of Technology | Key Laboratory of Computing Power Network and Information Security, Ministry of Education, Qilu University of Technology (Shandong Academy of Sciences)",curated:22c0f35b356c01cbd122,Multi-Perspective Frequency Domain Learning for Generalizable AI-Generated Image Detection,2025,European Conference on Artificial Intelligence,true,true,4,4,0,,3,10.3233/faia251048,,W4415428300,https://doi.org/10.3233/faia251048
117,complete,,complete,No mapping action needed,none,confirmed,Center for Artificial Intelligence (CENTAI) | Polytechnic Institute of Turin,Alan Perotti; Mirko Zaffaroni | Marco Nurisso,,"CENTAI Institute, Turin, Italy, IT | Polytechnic Institute of Turin, Turin, Italy, IT",curated:cda6067db322246e8195,No Detector to Rule Them All,2025,ACM International Conference on Multimedia,true,true,3,3,0,,2,10.1145/3746265.3759659,,W4414945373,https://doi.org/10.1145/3746265.3759659
118,complete,,complete,No mapping action needed,none,confirmed,Xi'an Jiaotong University | University of Southampton | Harbin Institute of Technology,Yabin Wang | Zhiwu Huang | Xiaopeng Hong,,Xi’an Jiaotong University | University of Southampton | Harbin Institute of Technology,curated:4b3b8e9895b44de7c752,OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,IEEE/CVF Conference on Computer Vision and Pattern Recognition,true,true,3,3,0,,3,10.1109/cvpr52734.2025.00405,,W4413145584,https://doi.org/10.1109/cvpr52734.2025.00405
119,complete,,complete,No mapping action needed,none,missing,,,,,openalex:W4406657393,Optimized Frequency Collaborative Strategy Drives AI Image Detection,2025,IEEE Internet of Things Journal,true,false,4,4,0,,3,https://doi.org/10.1109/jiot.2025.3531053,,W4406657393,https://doi.org/10.1109/jiot.2025.3531053
120,complete,,complete,No mapping action needed,none,confirmed,"Peking University Shenzhen Graduate School | Tencent Youtu Lab | The Chinese University of Hong Kong, Shenzhen",Zhiyuan Yan; Peng Jin; Chengchun Liu; Li Yuan | Zhiyuan Yan; Jiangming Wang; Ke-Yue Zhang; Shen Chen; Taiping Yao; Shouhong Ding | Baoyuan Wu,,Peking University Shenzhen Graduate School,curated:1f9d168cc6c4c445a231,Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,2025,International Conference on Machine Learning,true,true,10,10,0,,3,10.48550/arxiv.2411.15633,2411.15633,W4404986693,https://openreview.net/pdf?id=GFpjO8S8Po
121,complete,,complete,No mapping action needed,none,confirmed,Zhejiang University | Tencent Youtu Lab,Xinghe Fu; Zheng Yang; Xi Li | Zhiyuan Yan; Taiping Yao; Yandan Zhao; Shouhong Ding,,"College of Computer Science and Technology, Zhejiang University, Hangzhou, China | Youtu Lab, Tencent, Shanghai, China",curated:95953a73a0e2e1f14ccb,PiD: Generalized AI-Generated Images Detection with Pixelwise Decomposition Residuals,2025,International Conference on Machine Learning,true,true,7,7,0,,2,,,,https://openreview.net/pdf?id=gye2zYytx6
122,complete,,complete,No mapping action needed,none,confirmed,University of Cagliari | Ruhr University Bochum | University of Modena and Reggio Emilia | University of Pisa | Sapienza University of Rome | National Interuniversity Consortium for Informatics (CINI),Hicham Eddoubi; Angelo Sotgiu; Maura Pintor; Battista Biggio | Jonas Ricker; Asja Fischer | Federico Cocchi; Marcella Cornia; Lorenzo Baraldi; Rita Cucchiara | Federico Cocchi; Lorenzo Baraldi | Hicham Eddoubi | Angelo Sotgiu; Maura Pintor; Battista Biggio,,"University of Cagliari, Italy | Ruhr University Bochum, Germany | University of Modena and Reggio Emilia, Italy | University of Pisa, Italy | Sapienza University of Rome, Italy | CINI, Italy",curated:79adf19ca6991c1d85f8,RAID: A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors,2025,arXiv,true,true,10,10,0,,6,10.48550/arxiv.2506.03988,2506.03988,W4417114708,https://openalex.org/W4417114708
123,complete,,complete,No mapping action needed,none,confirmed,"Zhejiang University of Technology | Binjiang Institute of Artificial Intelligence, | Intel Corporation",Hanzhe Yu; Jintao Rong; Qi Xuan; Chen Ma | Qi Xuan; Chen Ma | Yun Ye,,"Institute of Cyberspace Security, Zhejiang University of Technology Hangzhou, China College of Information Engineering, Zhejiang University of Technology Hangzhou, China | Binjiang Institute of Artificial Intelligence, ZJUT Hangzhou, China | Intel Corporation Beijing, China",curated:44a70bf5f21b5457102b,RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,2025,ACM International Conference on Multimedia,true,true,5,5,0,,3,10.1145/3746027.3755207,2602.10546,W7128721813,https://doi.org/10.1145/3746027.3755207
124,complete,,complete,No mapping action needed,none,missing,,,,,openalex:W4409262730,Reducing the Content Bias for AI-generated Image Detection,2025,IEEE/CVF Winter Conference on Applications of Computer Vision,true,false,5,5,0,,1,10.1109/wacv61041.2025.00049,2502.17105,W4409262730,https://doi.org/10.1109/wacv61041.2025.00049
125,complete,,complete,No mapping action needed,none,missing,,,,,curated:1ec62a78a4e0372bc0d9,ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,"IEEE International Conference on Acoustics, Speech and Signal Processing",true,true,6,6,0,,1,https://doi.org/10.1109/icassp49660.2025.10890492,,W4408356108,https://doi.org/10.1109/icassp49660.2025.10890492
126,complete,,complete,No mapping action needed,none,confirmed,Polytechnic University of Hauts-de-France | Khalifa University | Sorbonne University Abu Dhabi,Mamadou Keita; Hessen B. Eutamene; Abdelmalik Taleb-Ahmed | Wassim Hamidouche | Abdenour Hadid,,"Laboratory of IEMN, Polytechnic University of Hauts-de-France, Valenciennes, France | Khalifa University, Abu Dhabi, UAE | Sorbonne Center for Artificial Intelligence, Sorbonne University, Abu Dhabi, UAE",curated:6ca781a0d606a5d5db64,REVEAL: A Retrieval-Augmented Generation Approach for Contextual Identification of Synthetic Visual Content,2025,HAL (Le Centre pour la Communication Scientifique Directe),true,true,5,5,0,,3,10.1145/3746265.3759667,,W4414945274,https://doi.org/10.1145/3746265.3759667
127,complete,,complete,No mapping action needed,none,confirmed,City University of Macau | Torrens University Australia | Qilu University of Technology | Wuhan Institute of Technology,Hongfei Cai; Chi Liu; Peng Gui | Sheng Shen; Peng Gui | Youyang Qu; Peng Gui,,"Faculty of Data Science, City University of Macau, Macao SAR, China | Design and Creative Technology Vertical, Torrens University Australia, NSW, Australia | Shandong Provincial Key Laboratory of Computer Networks, Ministry of Education, Shandong Computer Science Center, Qilu University of Technology (Shandong Academy of Sciences), Jinan, China | School of Computer Science and Engineering, Wuhan Institute of Technology, Wuhan, China",curated:71ff0674850f84bf8df7,Robust AI-Synthesized Image Detection via Multi-Feature Frequency-Aware Learning,2025,"International Conference on Knowledge Science, Engineering and Management",true,true,5,5,0,,8,https://doi.org/10.1007/978-981-95-3001-4_12,,W4416260579,https://doi.org/10.1007/978-981-95-3001-4_12
128,complete,,complete,No mapping action needed,none,missing,,,,,curated:2938e895376a45baceec,SAGNet: Decoupling Semantic-Agnostic Artifacts from Limited Training Data for Robust Generalization in Deepfake Detection,2025,IEEE Transactions on Information Forensics and Security,true,true,5,5,0,,1,https://doi.org/10.1109/tifs.2025.3581726,,W4411484192,https://doi.org/10.1109/tifs.2025.3581726
129,complete,,complete,No mapping action needed,none,confirmed,Tamkang University,Meng-Luen Wu; Cheng-Pin Cheng,,"Department of Computer Science and Information Engineering, Tamkang University, New Taipei City 251301, Taiwan",curated:82a6421311c4d39076d9,Sanitizing Diffusion-Generated Images via Fingerprint Removal and Adversarial Perturbation for Forensic Evasion,2025,IEEE Access,true,true,2,2,0,,1,10.1109/access.2025.3597641,,W4413213177,https://doi.org/10.1109/access.2025.3597641
130,complete,,complete,No mapping action needed,none,confirmed,WeChat AI | Peking University,Zexi Jia; Chuanwei Huang; Yeshuang Zhu; Xiaoyue Duan; Yuan Zhiqiang; Ying Deng; Jiapei Zhang; Jinchao Zhang; Jie Zhou | Hongyan Fei,,"WeChat AI, Tencent Inc, China | Institute for Artificial Intelligence, Peking University",curated:b2fccf1dd66cc2d64374,Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,IEEE/CVF Conference on Computer Vision and Pattern Recognition,true,true,10,10,0,,2,https://doi.org/10.1109/cvpr52734.2025.01255,,W4413146372,https://doi.org/10.1109/cvpr52734.2025.01255
131,complete,,complete,No mapping action needed,none,confirmed,Nanjing University of Science and Technology,Ziye Wang; Minghang Yu; Chunyan Xu; Zhen Cui,,"Nanjing University of Science and Technology, Nanjing, China",curated:64a8313baef7cf1657c5,Semantic Discrepancy-Aware Detector for Image Forgery Identification,2025,IEEE/CVF International Conference on Computer Vision,true,true,4,4,0,,1,https://doi.org/10.1109/iccv51701.2025.01709,2508.12341,W4414487140,https://doi.org/10.1109/iccv51701.2025.01709
132,complete,,complete,No mapping action needed,none,missing,,,,,openalex:W4413144523,"SIDA: Social Media Image Deepfake Detection, Localization and Explanation with Large Multimodal Model",2025,IEEE/CVF Conference on Computer Vision and Pattern Recognition,true,false,9,9,0,,4,10.1109/cvpr52734.2025.02685,2412.04292,W4413144523,https://doi.org/10.1109/cvpr52734.2025.02685
133,complete,,complete,No mapping action needed,none,confirmed,Zhejiang University | Alibaba Group | Zhejiang University of Technology | Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security,Chengji Shen; Kaixuan Chen; Mingli Song; Zunlei Feng | Zhenjiang Liu | Jie Lei,,"State Key Laboratory of Blockchain and Data Security, Zhejiang University | Idlefish Network Technology, Alibaba Group | College of Computer Science and Technology, Zhejiang University of Technology | Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security",curated:a76d568cfe5c26b07933,Spatial-Temporal Reconstruction Error for AIGC-Based Forgery Image Detection,2025,"IEEE International Conference on Acoustics, Speech and Signal Processing",true,true,6,6,0,,4,https://doi.org/10.1109/icassp49660.2025.10890455,,W4408355373,https://doi.org/10.1109/icassp49660.2025.10890455
134,complete,,complete,No mapping action needed,none,confirmed,"Shanghai Artificial Intelligence Laboratory | Sun Yat-sen University | Beihang University | Shanghai Jiao Tong University | The Chinese University of Hong Kong, Shenzhen",Siwei Wen; Junyan Ye; Peilin Feng; Hengrui Kang; Zichen Wen; Jiang Wu; Conghui He; Weijia Li | Junyan Ye; Weijia Li | Siwei Wen; Wenjun Wu | Hengrui Kang; Zichen Wen | Yize Chen,,"1 Shanghai Artificial Intelligence Laboratory | 2 Sun Yat-Sen University | 3 Beijing Advanced Innovation Center for Future Blockchain and Privacy Computing, Beihang University | 4 Shanghai Jiao Tong University | 5 The Chinese University of Hong Kong, Shenzhen",curated:31a4d429d7c5750bd778,Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,2025,Advances in Neural Information Processing Systems,true,true,10,10,0,,5,10.48550/arxiv.2503.14905,2503.14905,W4414902235,https://openreview.net/pdf?id=xLFYd1owiP
135,complete,,complete,No mapping action needed,none,confirmed,University of Wisconsin-Madison,Anirudh Sundara Rajan; Yong Jae Lee,,,curated:d040be3d1fb83a51311e,Stay-Positive: A Case for Ignoring Real Image Features in Fake Image Detection,2025,International Conference on Machine Learning,true,true,2,2,0,,1,10.48550/arxiv.2502.07778,2502.07778,W4407425880,https://openreview.net/pdf?id=VNLmfMJi3w
136,complete,,complete,No mapping action needed,none,confirmed,Centre for Research and Technology Hellas (CERTH),Despina Konstantinidou; Christos Koutlis; Symeon Papadopoulos,,"CERTH - ITI Thessaloniki, Greece",curated:56e9e085bbe0342dab35,TextureCrop: Enhancing Synthetic Image Detection Through Texture-Based Cropping,2025,IEEE/CVF Winter Conference on Applications of Computer Vision,true,true,3,3,0,,1,https://doi.org/10.1109/wacvw65960.2025.00160,,W4409917584,https://doi.org/10.1109/wacvw65960.2025.00160
137,complete,,complete,No mapping action needed,none,confirmed,Shanghai Jiao Tong University | Ant Group,Yikun Ji; Jiahui Zhan; Liqing Zhang; Jianfu Zhang | Yan Hong; Haoxing Chen; Jun Lan; Huijia Zhu; Weiqiang Wang,,"Shanghai Jiao Tong University, Shanghai, China | Ant Group, Hangzhou, China",curated:911d693997183535a4ac,Towards Explainable Fake Image Detection with Multi-Modal Large Language Models,2025,ACM International Conference on Multimedia,true,true,9,9,0,,2,10.1145/3746027.3755421,2504.14245,W4415536758,https://doi.org/10.1145/3746027.3755421
138,complete,,complete,No mapping action needed,none,missing,,,,,openalex:W4413144713,Towards Universal AI-Generated Image Detection by Variational Information Bottleneck Network,2025,IEEE/CVF Conference on Computer Vision and Pattern Recognition,true,false,6,6,0,,1,10.1109/cvpr52734.2025.02219,,W4413144713,https://doi.org/10.1109/cvpr52734.2025.02219
139,complete,,complete,No mapping action needed,none,confirmed,Wuhan University | Nanyang Technological University | NSFOCUS,Ziyou Liang; Weifeng Liu; Run Wang; Mengjie Wu; Yuyang Zhang; Lina Wang | Boheng Li | Xinyi Yang,,Wuhan University | Nanyang Technological University | NSFOCUS Technologies Group,curated:dc9126cc128e1b228717,Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,2025,AAAI Conference on Artificial Intelligence,true,true,8,8,0,,3,10.1609/aaai.v39i25.34826,2403.16513,W4393213376,https://doi.org/10.1609/aaai.v39i25.34826
140,complete,,complete,No mapping action needed,none,confirmed,"University of Wisconsin–Madison | University of California, Berkeley | NEC Laboratories America",Haoyue Bai | Yiyou Sun | Wei Cheng; Haifeng Chen,,"University of Wisconsin–Madison | University of California, Berkeley | NEC Laboratories America",curated:ef5f9b419eef35c5c255,Where's the Liability in the Generative Era? Recovery-Based Black-Box Detection of AI-Generated Content,2025,IEEE/CVF Conference on Computer Vision and Pattern Recognition,true,true,4,4,0,,3,10.1109/cvpr52734.2025.02684,2505.01008,W4414769856,https://doi.org/10.1109/cvpr52734.2025.02684
141,complete,,complete,No mapping action needed,none,confirmed,University of Siena | Polytechnic University of Milan | University of Trento | University of Catania | Sapienza University of Rome,Pietro Bongini; Benedetta Tondi; Mauro Barni | Sara Mandelli; Paolo Bestagini | Andrea Montibeller; Giulia Boato; Francesco De Natale | Mirko Casu; Orazio Pontorno; Claudio Vittorio Ragaglia; Luca Guarnera; Sebastiano Battiato | Luca Zanchetta; Mattia Aquilina; Taiba Majid Wani; Irene Amerini,,"Department of Information Engineering and Mathematics, University of Siena, Italy | Department of Electronics, Informatics, and Bioengineering, Politecnico di Milano, Italy | Department of Information Engineering and Computer Science, University of Trento, Italy | Department of Mathematics and Computer Science, University of Catania, Italy | Department of Computer, Control and Management Engineering, Sapienza University of Rome, Italy",curated:90ac5206f85eaebc7203,WILD: A New In-the-Wild Image Linkage Dataset for Synthetic Image Attribution,2025,International Joint Conference on Neural Networks,true,true,17,17,0,,6,10.1109/ijcnn64981.2025.11227289,2504.19595,W4416252268,https://doi.org/10.1109/ijcnn64981.2025.11227289
142,complete,,complete,No mapping action needed,none,missing,,,,,openalex:W4393375171,A Guided-Based Approach for Deepfake Detection: RGB-Depth Integration via Features Fusion,2024,Pattern Recognition Letters,true,false,4,4,0,,1,10.1016/j.patrec.2024.03.025,,W4393375171,https://doi.org/10.1016/j.patrec.2024.03.025
143,complete,,complete,No mapping action needed,none,confirmed,University of Siena,Lydia Abady; Jun Wang; Benedetta Tondi; Mauro Barni,,University of Siena,curated:34d0af5286cad283526f,A Siamese-Based Verification System for Open-Set Architecture Attribution of Synthetic Images,2024,Pattern Recognition Letters,true,true,4,4,0,,1,10.1016/j.patrec.2024.03.002,2307.09822,W4392453284,https://doi.org/10.1016/j.patrec.2024.03.002
144,complete,,complete,No mapping action needed,none,confirmed,Nanjing University of Aeronautics and Astronautics | Shanghai Jiao Tong University,Jiaxuan Chen | Jieteng Yao; Li Niu,,,openalex:W4391555851,A Single Simple Patch is All You Need for AI-generated Image Detection,2024,arXiv,true,false,3,3,0,,2,10.48550/arxiv.2402.01123,2402.01123,W4391555851,https://openalex.org/W4391555851
145,complete,,complete,No mapping action needed,none,confirmed,Xi'an Jiaotong University | The Hong Kong Polytechnic University | Wuhan University,Jingyi Deng; Chenhao Lin; Zhengyu Zhao; Shuai Liu; Chao Shen | Zhe Peng | Qian Wang,,"School of Cyber Science and Engineering, Xi’an Jiaotong University, Xi’an, China; Research Center of Frontier Science and Technology, Xi’an Jiaotong University, Xi’an, China; School of Software Engineering, Xi’an Jiaotong University, Xi’an, China | Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hong Kong, Hong Kong | School of Cyber Science and Engineering, Wuhan University, Wuhan, China",openalex:W4400716502,"A Survey of Defenses Against AI-Generated Visual Media: Detection,Disruption, and Authentication",2024,arXiv,true,false,7,7,0,,3,10.48550/arxiv.2407.10575,2407.10575,W4400716502,https://openalex.org/W4400716502
146,complete,,complete,No mapping action needed,none,confirmed,Everest English Boarding Secondary School,Darshan Lamichhane,,"Everest English Boarding Secondary School, Butwal 32907, Nepal",openalex:W4405778887,Advanced Detection of AI-Generated Images Through Vision Transformers,2024,IEEE Access,true,false,1,1,0,,1,10.1109/access.2024.3522759,,W4405778887,https://doi.org/10.1109/access.2024.3522759
147,complete,,complete,No mapping action needed,none,confirmed,Ruhr University Bochum,Jonas Ricker; Denis Lukovnikov; Asja Fischer,,,curated:a0abee05e50398d03f2f,AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,2024,IEEE/CVF Conference on Computer Vision and Pattern Recognition,true,true,3,3,0,,1,10.1109/cvpr52733.2024.00872,,W4402716434,https://doi.org/10.1109/cvpr52733.2024.00872
148,complete,,complete,No mapping action needed,none,missing,,,,,openalex:W4402917177,AI-Generated Image Detection With Wasserstein Distance Compression and Dynamic Aggregation,2024,IEEE International Conference on Image Processing,true,false,4,4,0,,1,10.1109/icip51287.2024.10648186,,W4402917177,https://doi.org/10.1109/icip51287.2024.10648186
149,complete,,complete,No mapping action needed,none,missing,,,,,openalex:W4404649743,AI-generated Image Detection: Passive or Watermark?,2024,arXiv,true,false,7,7,0,,2,10.48550/arxiv.2411.13553,2411.13553,W4404649743,https://openalex.org/W4404649743
150,complete,,complete,No mapping action needed,none,confirmed,"University of Florence | City, University of London | Queen Mary University of London",Dario Cioni; Lorenzo Seidenari | Christos Tzelepis | Dario Cioni; Ioannis Patras,,"University of Florence | City, University of London | Queen Mary, University of London",curated:8bc69db49ef4b9db3cd6,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,2024,European Conference on Computer Vision,true,true,4,4,0,,3,10.1007/978-3-031-92648-8_22,2408.09153,W4410889859,https://doi.org/10.1007/978-3-031-92648-8_22
151,complete,,complete,No mapping action needed,none,confirmed,"Institute of Automation, Chinese Academy of Sciences | University of Chinese Academy of Sciences | Communication University of China",Zheling Meng; Bo Peng; Jing Dong; Tieniu Tan | Zheling Meng; Jing Dong; Tieniu Tan | Haonan Cheng,,"New Laboratory of Pattern Recognition (NLPR), Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China State Key Laboratory of Multimodal Artificial Intelligence Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China | School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, 100049, China | State Key Laboratory of Media Convergence and Communication, Communication University of China, Beijing 100024, China",openalex:W4400624794,Artifact feature purification for cross-domain detection of AI-generated images,2024,Computer Vision and Image Understanding,true,false,5,5,0,,3,10.1016/j.cviu.2024.104078,2403.11172,W4400624794,https://doi.org/10.1016/j.cviu.2024.104078
152,complete,,complete,No mapping action needed,none,missing,,,,,openalex:W4415797310,Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,Advances in Neural Information Processing Systems,true,false,7,7,0,,1,10.52202/079017-1903,,W4415797310,https://doi.org/10.52202/079017-1903
153,complete,,complete,No mapping action needed,none,confirmed,Nottingham Trent University,Jordan J. Bird; Ahmad Lotfi,,"Department of Computer Science, Nottingham Trent University, Nottingham, U.K.",curated:b698cb82df706d1a8c95,CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,2024,IEEE Access,true,true,2,2,0,,1,10.1109/access.2024.3356122,2303.14126,W4391019749,https://doi.org/10.1109/access.2024.3356122
