title,year,authors,doi,arxiv_id,openalex_url,paper_url,expected_task,source_doc,section,notes,openalex_link_status,openalex_link_reason,search_strategy_used,candidate_source_query,title_similarity,candidate_title,candidate_year,candidate_openalex_url,candidate_doi,candidate_paper_url,enriched_openalex_url,enriched_doi,enriched_paper_url
GenDet: Towards Good Generalizations for AI-Generated Image Detection,2023,"Mingjian Zhu, Hanting Chen, Mouxiao Huang, Wei Li, Hailin Hu, Jie Hu, Yunhe Wang.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=arXiv 2023,linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,GenDet Towards Good Generalizations for AI-Generated Image Detection,1.000,GenDet: Towards Good Generalizations for AI-Generated Image Detection,2023,https://openalex.org/W4389820666,10.48550/arxiv.2312.08880,http://arxiv.org/abs/2312.08880,https://openalex.org/W4389820666,10.48550/arxiv.2312.08880,http://arxiv.org/abs/2312.08880
Detecting Generated Images by Real Images Only,2023,"Xiuli Bi, Bo Liu, Fan Yang, Bin Xiao, Weisheng Li, Gao Huang, Pamela C. Cosman.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=arXiv 2023,linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search.title,Detecting Generated Images by Real Images Only,1.000,Detecting Generated Images by Real Images Only,2023,https://openalex.org/W4388328956,10.48550/arxiv.2311.00962,http://arxiv.org/abs/2311.00962,https://openalex.org/W4388328956,10.48550/arxiv.2311.00962,http://arxiv.org/abs/2311.00962
LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,"Yunpeng Luo, Junlong Du, Ke Yan, Shouhong Ding. CVPR, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,LaRE 2 Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,1.000,LaRE$^2$: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,https://openalex.org/W4393284560,10.48550/arxiv.2403.17465,http://arxiv.org/abs/2403.17465,https://openalex.org/W4393284560,10.48550/arxiv.2403.17465,http://arxiv.org/abs/2403.17465
"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,"Yewon Lim, Changyeon Lee, Aerin Kim, Oren Etzioni. ICML Workshop, 2024.",,,,https://github.com/miraflow/DistilDIRE,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,DistilDIRE A Small Fast Cheap and Lightweight Diffusion Synthesized Deepfake Detection,1.000,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,https://openalex.org/W4399399328,10.48550/arxiv.2406.00856,http://arxiv.org/abs/2406.00856,https://openalex.org/W4399399328,10.48550/arxiv.2406.00856,http://arxiv.org/abs/2406.00856
Rethinking the Up-Sampling Operations in CNN-based Generative Network for Generalizable Deepfake Detection,2024,"Chuangchuang Tan, Huan Liu, Yao Zhao, Shikui Wei, Guanghua Gu, Ping Liu, Yunchao Wei. CVPR, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Rethinking the Up-Sampling Operations in CNN-based Generative Network for Generalizable Deepfake Detection,1.000,Rethinking the Up-Sampling Operations in CNN-Based Generative Network for Generalizable Deepfake Detection,2024,https://openalex.org/W4402716164,10.1109/cvpr52733.2024.02657,https://doi.org/10.1109/cvpr52733.2024.02657,https://openalex.org/W4402716164,10.1109/cvpr52733.2024.02657,https://doi.org/10.1109/cvpr52733.2024.02657
Shadows Don't Lie and Lines Can't Bend! Generative Models don't know Projective Geometry...for now,2024,"Ayush Sarkar, Hanlin Mai, Amitabh Mahapatra, Svetlana Lazebnik, D.A. Forsyth, Anand Bhattad. CVPR, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Shadows Don't Lie and Lines Can't Bend Generative Models don't know Projective Geometry for now,1.000,Shadows Don't Lie and Lines Can't Bend! Generative Models Don't know Projective Geometry…for Now,2024,https://openalex.org/W4402754249,10.1109/cvpr52733.2024.02658,https://doi.org/10.1109/cvpr52733.2024.02658,https://openalex.org/W4402754249,10.1109/cvpr52733.2024.02658,https://doi.org/10.1109/cvpr52733.2024.02658
Forgery-aware Adaptive Transformer for Generalizable Synthetic Image Detection,2024,"Huan Liu, Zichang Tan, Chuangchuang Tan, Yunchao Wei, Yao Zhao, Jingdong Wang. CVPR, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Forgery-aware Adaptive Transformer for Generalizable Synthetic Image Detection,1.000,Forgery-aware Adaptive Transformer for Generalizable Synthetic Image Detection,2024,https://openalex.org/W4402753859,10.1109/cvpr52733.2024.01024,https://doi.org/10.1109/cvpr52733.2024.01024,https://openalex.org/W4402753859,10.1109/cvpr52733.2024.01024,https://doi.org/10.1109/cvpr52733.2024.01024
FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,2024,"George Cazenavette, Avneesh Sud, Thomas Leung Ben Usman. CVPR, 2024.",,,,https://openaccess.thecvf.com/content/CVPR2024/papers/Cazenavette_FakeInversion_Learning_to_Detect_Images_from_Unseen_Text-to-Image_Models_by_CVPR_2024_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,FakeInversion Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,1.000,FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,2024,https://openalex.org/W4402726899,10.1109/cvpr52733.2024.01023,https://doi.org/10.1109/cvpr52733.2024.01023,https://openalex.org/W4402726899,10.1109/cvpr52733.2024.01023,https://doi.org/10.1109/cvpr52733.2024.01023
AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,2024,"Jonas Ricker, Denis Lukovnikov, and Asja Fischer. CVPR, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,AEROBLADE Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,1.000,AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,2024,https://openalex.org/W4402716434,10.1109/cvpr52733.2024.00872,https://doi.org/10.1109/cvpr52733.2024.00872,https://openalex.org/W4402716434,10.1109/cvpr52733.2024.00872,https://doi.org/10.1109/cvpr52733.2024.00872
Raising the Bar of AI-generated Image Detection with CLIP,2024,"Davide Cozzolino, Giovanni Poggi, Riccardo Corvi, Matthias Nießner, Luisa Verdoliva. CVPR Workshop, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Raising the Bar of AI-generated Image Detection with CLIP,1.000,Raising the Bar of AI-generated Image Detection with CLIP,2024,https://openalex.org/W4402915983,10.1109/cvprw63382.2024.00439,https://doi.org/10.1109/cvprw63382.2024.00439,https://openalex.org/W4402915983,10.1109/cvprw63382.2024.00439,https://doi.org/10.1109/cvprw63382.2024.00439
MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,"Li et al. CVPR Workshops, 2024. France/Brazil/Hongkong",,,,https://openaccess.thecvf.com/content/CVPR2024W/DFAD/papers/Li_MaskSim_Detection_of_Synthetic_Images_by_Masked_Spectrum_Similarity_Analysis_CVPRW_2024_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,MaskSim Detection of synthetic images by masked spectrum similarity analysis,1.000,MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,https://openalex.org/W4402916521,10.1109/cvprw63382.2024.00390,https://doi.org/10.1109/cvprw63382.2024.00390,https://openalex.org/W4402916521,10.1109/cvprw63382.2024.00390,https://doi.org/10.1109/cvprw63382.2024.00390
Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,2024,"Romeo Lanzino, Federico Fontana, Anxhelo Diko, Marco Raoul Marini, Luigi Cinque. CVPR Workshops, 2024.",,,,https://openaccess.thecvf.com/content/CVPR2024W/DFAD/papers/Lanzino_Faster_Than_Lies_Real-time_Deepfake_Detection_using_Binary_Neural_Networks_CVPRW_2024_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Faster Than Lies Real-time Deepfake Detection using Binary Neural Networks,1.000,Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,2024,https://openalex.org/W4402916679,10.1109/cvprw63382.2024.00381,https://doi.org/10.1109/cvprw63382.2024.00381,https://openalex.org/W4402916679,10.1109/cvprw63382.2024.00381,https://doi.org/10.1109/cvprw63382.2024.00381
Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,"Chuangchuang Tan, Yao Zhao, Shikui Wei, Guanghua Gu, Ping Liu, Yunchao Wei",,2403.07240,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=AAAI, 2024; source_alias=(FreqNet)",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Frequency-Aware Deepfake Detection Improving Generalizability through Frequency Space Domain Learning,1.000,Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,https://openalex.org/W4393154086,10.1609/aaai.v38i5.28310,https://doi.org/10.1609/aaai.v38i5.28310,https://openalex.org/W4393154086,10.1609/aaai.v38i5.28310,https://doi.org/10.1609/aaai.v38i5.28310
DRCT: Diffusion Reconstruction Contrastive Training towards Universal Detection of Diffusion Generated Images,2024,Baoying Chen et al. 阿里巴巴 & 中山大学,,,,https://openreview.net/pdf?id=oRLwyayrh1,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=ICML 2024,not_found_in_openalex,No plausible title match; best similarity was 0.579.,search,DRCT Diffusion Reconstruction Contrastive Training towards Universal Detection of Diffusion Generated Images,0.579,RA-Det: Towards Universal Detection of AI-Generated Images via Robustness Asymmetry,2026,https://openalex.org/W7133365254,,http://arxiv.org/abs/2603.01544,,,
Exposing the Fake: Effective Diffusion-Generated Images Detection (SeDID),2024,"Ruipeng Ma, Jinhao Duan, Fei Kong, Xiaoshuang Shi, Kaidi Xu. ICML Workshops, 2024. 电子科大",,,,https://openreview.net/pdf?id=7R62e4Wgim,detection,Z_Update_SID-2018-2025.docx,Detection,,possible_openalex_match,Best candidate is plausible but below automatic acceptance rules; similarity 0.955; year difference 1.,search,Exposing the Fake Effective Diffusion-Generated Images Detection SeDID,0.955,Exposing the Fake: Effective Diffusion-Generated Images Detection,2023,https://openalex.org/W4384268537,10.48550/arxiv.2307.06272,http://arxiv.org/abs/2307.06272,,,
Zero-Shot Detection of AI-Generated Images,2024,"Davide Cozzolino, Giovanni Poggi, Matthias Nießner, and Luisa Verdoliva",10.1007/978-3-031-72649-1_4,,,https://link.springer.com/chapter/10.1007/978-3-031-72649-1_4,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2024; source_alias=(ZED)",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Zero-Shot Detection of AI-Generated Images,1.000,Zero-Shot Detection of AI-Generated Images,2024,https://openalex.org/W4402952411,10.1007/978-3-031-72649-1_4,https://doi.org/10.1007/978-3-031-72649-1_4,https://openalex.org/W4402952411,10.1007/978-3-031-72649-1_4,https://doi.org/10.1007/978-3-031-72649-1_4
Leveraging Representations from Intermediate Encoder-Blocks for Synthetic Image Detection,2024,"Christos Koutlis, Symeon Papadopoulos. CERTH",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2024; source_alias=(RINE)",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Leveraging Representations from Intermediate Encoder-Blocks for Synthetic Image Detection,1.000,Leveraging Representations from Intermediate Encoder-Blocks for Synthetic Image Detection,2024,https://openalex.org/W4404002774,10.1007/978-3-031-73220-1_23,https://doi.org/10.1007/978-3-031-73220-1_23,https://openalex.org/W4404002774,10.1007/978-3-031-73220-1_23,https://doi.org/10.1007/978-3-031-73220-1_23
Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,"Lorenzo Baraldi, Federico Cocchi, Marcella Cornia, Lorenzo Baraldi, Alessandro Nicolosi, Rita Cucchiara. Italy",,,,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/08009.pdf,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,source_suffix=ECCV 2024; auxiliary; dataset,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,1.000,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,https://openalex.org/W4404545428,10.1007/978-3-031-73036-8_12,https://doi.org/10.1007/978-3-031-73036-8_12,https://openalex.org/W4404545428,10.1007/978-3-031-73036-8_12,https://doi.org/10.1007/978-3-031-73036-8_12
Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2024,"Dimitrios Karageorgiou, Quentin Bammey, Valentin Por cellini, Bertrand Goupil, Denis Teyssou, and Symeon Pa padopoulos.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV Workshops, 2024",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,1.000,Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2024,https://openalex.org/W4403523317,10.48550/arxiv.2408.11541,http://arxiv.org/abs/2408.11541,https://openalex.org/W4403523317,10.48550/arxiv.2408.11541,http://arxiv.org/abs/2408.11541
Your diffusion model is an implicit synthetic image detector,2024,"Wang, X., Kalogeiton, V",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2024",linked_to_openalex,exact normalized title; similarity 1.000; year difference 1.,search,Your diffusion model is an implicit synthetic image detector,1.000,Your Diffusion Model is an Implicit Synthetic Image Detector,2025,https://openalex.org/W4403147633,10.1007/978-3-031-92648-8_25,https://doi.org/10.1007/978-3-031-92648-8_25,https://openalex.org/W4403147633,10.1007/978-3-031-92648-8_25,https://doi.org/10.1007/978-3-031-92648-8_25
ZeroFake: Zero-Shot Detection of Fake Images Generated and Edited by Text-to-Image Generation Models,2024,"Zeyang Sha, Yicong Tan, Mingjie Li, Michael Backes, Yang Zhang",,,,https://yangzhangalmo.github.io/papers/CCS24-ZeroFake.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=CCS 2024,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,ZeroFake Zero-Shot Detection of Fake Images Generated and Edited by Text-to-Image Generation Models,1.000,ZeroFake: Zero-Shot Detection of Fake Images Generated and Edited by Text-to-Image Generation Models,2024,https://openalex.org/W4405183175,10.1145/3658644.3690297,https://doi.org/10.1145/3658644.3690297,https://openalex.org/W4405183175,10.1145/3658644.3690297,https://doi.org/10.1145/3658644.3690297
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,"Chende Zheng, Chenhao Lin, Zhengyu Zhao, Hang Wang, Xu Guo, Shuai Liu, Chao Shen",,,,https://openreview.net/pdf?id=NtNTfRTjE8,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=NeurIPS, 2024",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Breaking Semantic Artifacts for Generalized AI-generated Image Detection,1.000,Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,https://openalex.org/W4415797310,10.52202/079017-1903,https://doi.org/10.52202/079017-1903,https://openalex.org/W4415797310,10.52202/079017-1903,https://doi.org/10.52202/079017-1903
Detecting Image Attribution for Text-to-Image Diffusion Models in RGB and Beyond,2024,"Katherine Xu, Lingzhi Zhang, Jianbo Shi. NeurIPS Workshops, 2024. 宾夕法尼亚大学",,,,,detection_and_source_attribution,Z_Update_SID-2018-2025.docx,Detection,,not_found_in_openalex,No plausible title match; best similarity was 0.613.,search,Detecting Image Attribution for Text-to-Image Diffusion Models in RGB and Beyond,0.613,Trustworthy Text-to-Image Diffusion Models: A Timely and Focused Survey,2024,https://openalex.org/W4403789498,10.48550/arxiv.2409.18214,http://arxiv.org/abs/2409.18214,,,
"SemGIR: Semantic-Guided Image Regeneration Based Method for AI-generated Image Detection and Attribution. ACM Multimedia, 2024",2024,"Xiao Yu, Kejiang Chen, Kai Zeng, Han Fang, Zijin Yang, Xiuwei Shang, Yuang Qi, Weiming Zhang, Nenghai Yu 中国科学技术大学",10.1145/3664647.3680776,,,https://dl.acm.org/doi/pdf/10.1145/3664647.3680776,detection_and_source_attribution,Z_Update_SID-2018-2025.docx,Detection,,not_found_in_openalex,No plausible title match; best similarity was 0.502.,search,SemGIR Semantic-Guided Image Regeneration Based Method for AI-generated Image Detection and Attribution ACM Multimedia 2024,0.502,UniShield: An Adaptive Multi-Agent Framework for Unified Forgery Image Detection and Localization,2025,https://openalex.org/W4416371312,10.48550/arxiv.2510.03161,https://arxiv.org/abs/2510.03161,,,
Deep Image Fingerprint: Towards Low Budget Synthetic Image Detection and Model Lineage Analysis,2024,"Sergey Sinitsa, Ohad Fried.",,,,https://openaccess.thecvf.com/content/WACV2024/papers/Sinitsa_Deep_Image_Fingerprint_Towards_Low_Budget_Synthetic_Image_Detection_and_WACV_2024_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=WACV, 2024",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Deep Image Fingerprint Towards Low Budget Synthetic Image Detection and Model Lineage Analysis,1.000,Deep Image Fingerprint: Towards Low Budget Synthetic Image Detection and Model Lineage Analysis,2024,https://openalex.org/W4394597038,10.1109/wacv57701.2024.00402,https://doi.org/10.1109/wacv57701.2024.00402,https://openalex.org/W4394597038,10.1109/wacv57701.2024.00402,https://doi.org/10.1109/wacv57701.2024.00402
D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,"Ashish Hooda, Neal Mangaokar, Ryan Feng, Kassem Fawaz, Somesh Jha, Atul Prakash",,,,https://openaccess.thecvf.com/content/WACV2024/papers/Hooda_D4_Detection_of_Adversarial_Diffusion_Deepfakes_Using_Disjoint_Ensembles_WACV_2024_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=WACV, 2024",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,D4 Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,1.000,D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,https://openalex.org/W4394592995,10.1109/wacv57701.2024.00377,https://doi.org/10.1109/wacv57701.2024.00377,https://openalex.org/W4394592995,10.1109/wacv57701.2024.00377,https://doi.org/10.1109/wacv57701.2024.00377
Exploring the Adversarial Robustness of CLIP for AI-generated Image Detection,2024,Vincenzo De Rosa; Fabrizio Guillaro; Giovanni Poggi; Davide Cozzolino; Luisa Verdoliva,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10810719,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=WIFS, 2024",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Exploring the Adversarial Robustness of CLIP for AI-generated Image Detection,1.000,Exploring the Adversarial Robustness of CLIP for AI-generated Image Detection,2024,https://openalex.org/W4405845641,10.1109/wifs61860.2024.10810719,https://doi.org/10.1109/wifs61860.2024.10810719,https://openalex.org/W4405845641,10.1109/wifs61860.2024.10810719,https://doi.org/10.1109/wifs61860.2024.10810719
CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,2024,"Sohail Ahmed Khan, Duc-Tien Dang-Nguyen. ICMR, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,CLIPping the Deception Adapting Vision-Language Models for Universal Deepfake Detection,1.000,CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,2024,https://openalex.org/W4399418483,10.1145/3652583.3658035,https://doi.org/10.1145/3652583.3658035,https://openalex.org/W4399418483,10.1145/3652583.3658035,https://doi.org/10.1145/3652583.3658035
Frequency Masking for Universal Deepfake Detection,2024,"Chandler Timm Doloriel, Ngai-Man Cheung. ICASSP 2024. SUTD",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Frequency Masking for Universal Deepfake Detection,1.000,Frequency Masking for Universal Deepfake Detection,2024,https://openalex.org/W4392904043,10.1109/icassp48485.2024.10446290,https://doi.org/10.1109/icassp48485.2024.10446290,https://openalex.org/W4392904043,10.1109/icassp48485.2024.10446290,https://doi.org/10.1109/icassp48485.2024.10446290
X-Transfer: A Transfer Learning-Based Framework for Robust GAN-Generated Fake Image Detection,2024,"Lei Zhang, Hao Chen, Shu Hu, Bin Zhu, Xi Wu, Jinrong Hu, Xin Wang.",,,,https://ieeexplore.ieee.org/abstract/document/10650566,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=IJCNN, 2024",not_found_in_openalex,No plausible title match; best similarity was 0.557.,search,X-Transfer A Transfer Learning-Based Framework for Robust GAN-Generated Fake Image Detection,0.557,A machine learning-based framework for diagnosis of COVID-19 from chest X-ray images,2021,https://openalex.org/W3116187740,10.1007/s12539-020-00403-6,https://doi.org/10.1007/s12539-020-00403-6,,,
On the Exploitation of DCT-Traces in the Generative-AI Domain,2024,"Orazio Pontorno, Luca Guarnera, and Sebastiano Battiato. ICIP, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,On the Exploitation of DCT-Traces in the Generative-AI Domain,1.000,On the Exploitation of DCT-Traces in the Generative-AI Domain,2024,https://openalex.org/W4402915445,10.1109/icip51287.2024.10648013,https://doi.org/10.1109/icip51287.2024.10648013,https://openalex.org/W4402915445,10.1109/icip51287.2024.10648013,https://doi.org/10.1109/icip51287.2024.10648013
AI-Generated Image Detection with Wasserstein Distance Compression and Dynamic Aggregation,2024,"Zihang Lyu; Jun Xiao; Cong Zhang; Kin-Man Lam. ICIP, 2024",,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10648186,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,AI-Generated Image Detection with Wasserstein Distance Compression and Dynamic Aggregation,1.000,AI-Generated Image Detection With Wasserstein Distance Compression and Dynamic Aggregation,2024,https://openalex.org/W4402917177,10.1109/icip51287.2024.10648186,https://doi.org/10.1109/icip51287.2024.10648186,https://openalex.org/W4402917177,10.1109/icip51287.2024.10648186,https://doi.org/10.1109/icip51287.2024.10648186
FAMSeC: A Few-shot-sample-based General AI-generated Image Detection Method,2024,"Juncong Xu, Yang Yang, Han Fang, Honggu Liu, and Weiming Zhang. 安徽大学+新加坡国立",,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10777302,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=SPL, 2024",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,FAMSeC A Few-shot-sample-based General AI-generated Image Detection Method,1.000,FAMSeC: A Few-Shot-Sample-Based General AI-Generated Image Detection Method,2024,https://openalex.org/W4405021796,10.1109/lsp.2024.3511421,https://doi.org/10.1109/lsp.2024.3511421,https://openalex.org/W4405021796,10.1109/lsp.2024.3511421,https://doi.org/10.1109/lsp.2024.3511421
Detecting Computer-Generated Images by Using Only Real Images,2024,"Ji Li, Kai Wang. ICMV, 2024. EI检索。",,,,https://hal.science/hal-04751823/document,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,exact normalized title; similarity 1.000; year difference 1.,search.title,Detecting Computer-Generated Images by Using Only Real Images,1.000,Detecting computer-generated images by using only real images,2025,https://openalex.org/W4403972496,10.1117/12.3055092,https://doi.org/10.1117/12.3055092,https://openalex.org/W4403972496,10.1117/12.3055092,https://doi.org/10.1117/12.3055092
Artifact Feature Purification for Cross-domain Detection of AI-generated Images,2024,"Zheling Meng, Bo Peng, Jing Dong, Tieniu Tan, Haonan Cheng. Computer Vision and Image Understanding, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Artifact Feature Purification for Cross-domain Detection of AI-generated Images,1.000,Artifact feature purification for cross-domain detection of AI-generated images,2024,https://openalex.org/W4400624794,10.1016/j.cviu.2024.104078,https://doi.org/10.1016/j.cviu.2024.104078,https://openalex.org/W4400624794,10.1016/j.cviu.2024.104078,https://doi.org/10.1016/j.cviu.2024.104078
Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,2024,"Mamadou Keita, Wassim Hamidouche, Hassen Bougueffa, Abdenour Hadid, Abdelmalik Taleb-Ahmed. arXiv, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,,linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,1.000,Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,2024,https://openalex.org/W4393968982,10.48550/arxiv.2404.02726,http://arxiv.org/abs/2404.02726,https://openalex.org/W4393968982,10.48550/arxiv.2404.02726,http://arxiv.org/abs/2404.02726
