title,year,risk_score,risk_level,main_reasons,current_institutions,current_countries,current_institution_authors,raw_affiliation_evidence,review_action,notes
T-GD: Transferable GAN-generated Images Detection Framework,2020,25,medium,At least one affiliation has low-confidence or review-required resolution,Sungkyunkwan University,KR,"Sungkyunkwan University: Hyeonseong Jeon, Young Oh Bang, Junyaup Kim",Hyeonseong Jeon: SungKyunKwan University | Young Oh Bang: SungKyunKwan University | Junyaup Kim: SungKyunKwan University | Simon S. Woo: SKKU,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
The Face Deepfake Detection Challenge,2022,25,medium,"At least one affiliation has low-confidence or review-required resolution | Raw affiliation is consistent with a known alias, translation, or parent/subunit relation","University of Catania | Bank of Italy | University of Cagliari | Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo"" | Consorzio Nazionale Interuniversitario per le Telecomunicazioni | Mercatorum University",IT,"University of Catania: Luca Guarnera, Francesco Guarnera, Alessandro Ortis, Sebastiano Battiato | Bank of Italy: Oliver Giudice | University of Cagliari: Giovanni Puglisi, Gianpaolo Perelli, Sara Concas, Carlo Cuccu, Giulia Orrù, Gian Luca Marcialis | Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo"": Davide Alessandro Coccomini, Fabrizio Falchi, Claudio Gennaro, Nicola Messina, Giuseppe Amato | Consorzio Nazionale Interuniversitario per le Telecomunicazioni: Roberto Caldelli | Mercatorum University: Roberto Caldelli","Luca Guarnera: Department of Mathematics and Computer Science, University of Catania, 95125 Catania, Italy | Oliver Giudice: Applied Research Team, IT Department, Banca d’Italia, 00044 Rome, Italy | Applied Research Team, IT Department, Banca d'Italia, 00044 Rome, Italy | Francesco Guarnera: Department of Mathematics and Computer Science, University of Catania, 95125 Catania, Italy | Alessandro Ortis: Department of Mathematics and Computer Science, University of Catania, 95125 Catania, Italy | Giovanni Puglisi: Department of Mathematics and Computer Science, University of Cagliari, 09124 Cagliari, Italy | A. Paratore: iCTLab s.r.l., 95125 Catania, Italy | Linh M. Q. Bui: Amped Software, 34149 Trieste, Italy | Marco Fontani: Amped Software, 34149 Trieste, Italy | Davide Alessandro Coccomini: ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy | Roberto Caldelli: National Inter-University Consortium for Telecommunications (CNIT), 43124 Parma, Italy | Roberto Caldelli: Faculty of Economics, Universitas Mercatorum, 00186 Rome, Italy | Fabrizio Falchi: ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy | Claudio Gennaro: ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy | Nicola Messina: ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy | Giuseppe Amato: ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy | Gianpaolo Perelli: Department of Electrical and Electronic Engineering (DIEE), University of Cagliari, 09123 Cagliari, Italy | Sara Concas: Department of Electrical and Electronic Engineering (DIEE), University of Cagliari, 09123 Cagliari, Italy | Carlo Cuccu: Department of Electrical and Electronic Engineering (DIEE), University of Cagliari, 09123 Cagliari, Italy | Giulia Orrù: Department of Electrical and Electronic Engineering (DIEE), University of Cagliari, 09123 Cagliari, Italy | Gian Luca Marcialis: Department of Electrical and Electronic Engineering (DIEE), University of Cagliari, 09123 Cagliari, Italy | Sebastiano Battiato: Department of Mathematics and Computer Science, University of Catania, 95125 Catania, Italy | Review row, Claudio Gennaro: ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy | Review row, Davide Alessandro Coccomini: ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy | Review row, Fabrizio Falchi: ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy | Review row, Giuseppe Amato: ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy | Review row, Nicola Messina: ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy | Review row, Roberto Caldelli: National Inter-University Consortium for Telecommunications (CNIT), 43124 Parma, Italy",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
The Stable Signature: Rooting Watermarks in Latent Diffusion Models,2023,25,medium,"At least one affiliation has low-confidence or review-required resolution | Raw affiliation is consistent with a known alias, translation, or parent/subunit relation",Sorbonne Université | Institut national de recherche en sciences et technologies du numérique,FR,Sorbonne Université: Guillaume Couairon | Institut national de recherche en sciences et technologies du numérique: Teddy Furon,"Pierre Fernandez: Meta AI | Guillaume Couairon: Sorbonne University | Hervé Jeǵou: Meta AI | Matthijs Douze: Meta AI | Teddy Furon: Centre Inria de l&#x2019;Universit&#x00E9; de Rennes | Review row, Teddy Furon: Centre Inria de l&#x2019;Universit&#x00E9; de Rennes",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),2024,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Transferable Class-Modelling for Decentralized Source Attribution of GAN-Generated Images,2022,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Wavelet-Packet Powered Deepfake Image Detection.,2021,25,medium,At least one affiliation has low-confidence or review-required resolution,Fraunhofer-Gesellschaft | University of Bonn,DE,Fraunhofer-Gesellschaft: Felix Blanke | University of Bonn: Jochen Garcke,Felix Blanke: Fraunhofer Society | Jochen Garcke: University of Bonn > > > >,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
WildFake: A Large-scale Challenging Dataset for AI-Generated Images Detection,2024,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
X-Transfer: A Transfer Learning-Based Framework for GAN-Generated Fake Image Detection,2023,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
X-Transfer: A Transfer Learning-Based Framework for GAN-Generated Fake Image Detection,2024,25,medium,At least one affiliation has low-confidence or review-required resolution,"Chengdu University of Information Technology | University of Indianapolis | Indiana University – Purdue University Indianapolis | Microsoft Research Asia (China) | Tunghai University | University at Albany, State University of New York",CN | US | TW,"Chengdu University of Information Technology: Lei Zhang, Hao Chen, Xi Wu, Jinrong Hu | University of Indianapolis: Shu Hu | Indiana University – Purdue University Indianapolis: Shu Hu | Microsoft Research Asia (China): Bin Zhu | Tunghai University: Ching-Sheng Lin | University at Albany, State University of New York: Xin Wang","Lei Zhang: Chengdu University of Information Technology,Chengdu,China | Hao Chen: Chengdu University of Information Technology,Chengdu,China | Shu Hu: Purdue University,Indianapolis,USA | Bin Zhu: Microsoft Research Asia | Ching-Sheng Lin: Tunghai University,Taichung,Taiwan | Xi Wu: Chengdu University of Information Technology,Chengdu,China | Jinrong Hu: Chengdu University of Information Technology,Chengdu,China | Xin Wang: University at Albany,SUNY,NY,USA",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Zooming In on Fakes: A Novel Dataset for Localized AI-Generated Image Detection with Forgery Amplification Approach,2026,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Discovering Transferable Forensic Features for CNN-Generated Images Detection,2022,15,low,At least one affiliation has low-confidence or review-required resolution | A manually verified institution or institution-author override exists,Singapore University of Technology and Design | Singapore Institute of Technology | Unge aksjonærer | University of Oslo,SG | NO,"Singapore University of Technology and Design: Keshigeyan Chandrasegaran, Ngoc-Trung Tran, Ngai‐Man Cheung | Singapore Institute of Technology: Alexander Binder | Unge aksjonærer: Alexander Binder | University of Oslo: Alexander Binder","Keshigeyan Chandrasegaran: Singapore University of Technology and Design (SUTD), Singapore, Singapore | Ngoc-Trung Tran: Singapore University of Technology and Design (SUTD), Singapore, Singapore | Alexander Binder: Singapore Institute of Technology (SIT), Singapore, Singapore | Alexander Binder: University of Oslo (UIO), Oslo, Norway | Ngai‐Man Cheung: Singapore University of Technology and Design (SUTD), Singapore, Singapore | Backlog CB-005: Paper PDF affiliation list; replacement rows already exist in institution_record_overrides.csv.",Regression-check the confirmed manual override during export.,Backlog: CB-005 (implemented_regression_check) | Confirmed manual override exists | Heuristic review priority; not a probability or correction
Source Generator Attribution via Inversion,2019,15,low,At least one affiliation has low-confidence or review-required resolution | A manually verified institution or institution-author override exists,Honeywell (United States),US,"Honeywell (United States): Michael Albright, Scott McCloskey","Michael Albright: Honeywell (United States), Charlotte, United States | Scott McCloskey: Honeywell (United States), Charlotte, United States | Scott McCloskey: Honeywell | Backlog CB-006: Verified manual row exists in institution_author_overrides.csv.",Regression-check the confirmed manual override during export.,Backlog: CB-006 (implemented_regression_check) | Confirmed manual override exists | Heuristic review priority; not a probability or correction
A COMPARATIVE REVIEW OF AI-GENERATED IMAGE DETECTION ACROSS SOCIAL MEDIA PLATFORMS,2024,5,low,"Raw affiliation is consistent with a known alias, translation, or parent/subunit relation",Lamar University,US,"Lamar University: Anjuman Ara, Md Sajadul Alam, Kamrujjaman & Afia Farjana Mifa","Anjuman Ara, Md Sajadul Alam, Kamrujjaman & Afia Farjana Mifa: College of Business, Beaumont, Texas, USA | Review row, Anjuman Ara, Md Sajadul Alam, Kamrujjaman & Afia Farjana Mifa: College of Business, Beaumont, Texas, USA",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
A Hybrid CNN-LSTM Approach for Precision Deepfake Image Detection Based on Transfer Learning,2024,5,low,"Raw affiliation is consistent with a known alias, translation, or parent/subunit relation",Middle Technical University | Altınbaş University,IQ | TR,"Middle Technical University: Omar Alfarouk Hadi Hasan Al-Dulaimi | Altınbaş University: Omar Alfarouk Hadi Hasan Al-Dulaimi, Sefer Kurnaz","Omar Alfarouk Hadi Hasan Al-Dulaimi: Electrical Engineering Technical College, Middle Technical University, Baghdad 10001, Iraq | Omar Alfarouk Hadi Hasan Al-Dulaimi: Department of Electrical & Computer Engineering, Graduate School of Science and Engineering, Altinbas University, Istanbul 34218, Turkey | Sefer Kurnaz: Department of Electrical & Computer Engineering, Graduate School of Science and Engineering, Altinbas University, Istanbul 34218, Turkey | Review row, Omar Alfarouk Hadi Hasan Al-Dulaimi: Department of Electrical & Computer Engineering, Graduate School of Science and Engineering, Altinbas University, Istanbul 34218, Turkey | Review row, Sefer Kurnaz: Department of Electrical & Computer Engineering, Graduate School of Science and Engineering, Altinbas University, Istanbul 34218, Turkey",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Any-Resolution AI-Generated Image Detection by Spectral Learning,2025,5,low,"Raw affiliation is consistent with a known alias, translation, or parent/subunit relation",Information Technologies Institute | Centre for Research and Technology Hellas | University of Amsterdam,GR | NL,"Information Technologies Institute: Dimitrios Karageorgiou, Symeon Papadopoulos, Ioannis Kompatsiaris | Centre for Research and Technology Hellas: Dimitrios Karageorgiou, Symeon Papadopoulos, Ioannis Kompatsiaris | University of Amsterdam: Efstratios Gavves","Dimitrios Karageorgiou: CERTH,Information Technologies Institute,Greece | Symeon Papadopoulos: CERTH,Information Technologies Institute,Greece | Ioannis Kompatsiaris: CERTH,Information Technologies Institute,Greece | Efstratios Gavves: University of Amsterdam,The Netherlands | Review row, Dimitrios Karageorgiou: CERTH,Information Technologies Institute,Greece | Review row, Ioannis Kompatsiaris: CERTH,Information Technologies Institute,Greece | Review row, Symeon Papadopoulos: CERTH,Information Technologies Institute,Greece",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,5,low,"Raw affiliation is consistent with a known alias, translation, or parent/subunit relation",Information Technologies Institute,GR,"Information Technologies Institute: Thanasis Pantsios, Dimitrios Karageorgiou, Christos Koutlis, George Karantaidis, Olga Papadopoulou, Symeon Papadopoulos","Thanasis Pantsios: CERTH-ITI, Thessaloniki, n/a, Greece | Dimitrios Karageorgiou: CERTH-ITI, Thessaloniki, n/a, Greece | Christos Koutlis: CERTH-ITI, Thessaloniki, n/a, Greece | George Karantaidis: CERTH-ITI, Thessaloniki, n/a, Greece | Olga Papadopoulou: CERTH-ITI, Thessaloniki, n/a, Greece | Symeon Papadopoulos: CERTH-ITI, Thessaloniki, n/a, Greece | Review row, Christos Koutlis: CERTH-ITI, Thessaloniki, n/a, Greece | Review row, Dimitrios Karageorgiou: CERTH-ITI, Thessaloniki, n/a, Greece | Review row, George Karantaidis: CERTH-ITI, Thessaloniki, n/a, Greece | Review row, Olga Papadopoulou: CERTH-ITI, Thessaloniki, n/a, Greece | Review row, Symeon Papadopoulos: CERTH-ITI, Thessaloniki, n/a, Greece | Review row, Thanasis Pantsios: CERTH-ITI, Thessaloniki, n/a, Greece",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Bi‐ <scp>LORA</scp> : A Vision‐Language Approach for Synthetic Image Detection,2025,5,low,"Raw affiliation is consistent with a known alias, translation, or parent/subunit relation",Institut d'électronique de microélectronique et de nanotechnologie | Université Polytechnique Hauts-de-France | Khalifa University of Science and Technology | Universidad Politécnica de Madrid | Sorbonne University Abu Dhabi,FR | AE | ES,"Institut d'électronique de microélectronique et de nanotechnologie: Mamadou Keïta, Hessen Bougueffa Eutamene, Abdelmalik Taleb‐Ahmed | Université Polytechnique Hauts-de-France: Mamadou Keïta, Hessen Bougueffa Eutamene, Abdelmalik Taleb‐Ahmed | Khalifa University of Science and Technology: Wassim Hamidouche | Universidad Politécnica de Madrid: David Camacho | Sorbonne University Abu Dhabi: Abdenour Hadid","Mamadou Keïta: Laboratory of IEMN Université Polytechnique Hauts‐de‐France Valenciennes France | Wassim Hamidouche: Khalifa University Abu Dhabi UAE | Khalifa University, Abu Dhabi, UAE | Hessen Bougueffa Eutamene: Laboratory of IEMN Université Polytechnique Hauts‐de‐France Valenciennes France | Abdelmalik Taleb‐Ahmed: Laboratory of IEMN Université Polytechnique Hauts‐de‐France Valenciennes France | David Camacho: Technical University of Madrid Madrid Spain | Technical University of Madrid, Madrid, Spain | Abdenour Hadid: Sorbonne Center for Artificial Intelligence Sorbonne University Abu Dhabi UAE | Sorbonne Center for Artificial Intelligence, Sorbonne University, Abu Dhabi, UAE | Review row, Abdelmalik Taleb‐Ahmed: Laboratory of IEMN Université Polytechnique Hauts‐de‐France Valenciennes France | Review row, Hessen Bougueffa Eutamene: Laboratory of IEMN Université Polytechnique Hauts‐de‐France Valenciennes France | Review row, Mamadou Keïta: Laboratory of IEMN Université Polytechnique Hauts‐de‐France Valenciennes France",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Cross-Forgery Analysis of Vision Transformers and CNNs for Deepfake Image Detection,2022,5,low,"Raw affiliation is consistent with a known alias, translation, or parent/subunit relation","Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo"" | National Research Council | Consorzio Nazionale Interuniversitario per le Telecomunicazioni",IT,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo"": Davide Alessandro Coccomini, Fabrizio Falchi, Claudio Gennaro, Giuseppe Amato | National Research Council: Davide Alessandro Coccomini, Fabrizio Falchi, Claudio Gennaro, Giuseppe Amato | Consorzio Nazionale Interuniversitario per le Telecomunicazioni: Roberto Caldelli","Davide Alessandro Coccomini: Inst. of Information Science and Technologies ""A. Faedo"", Consiglio Nazionale delle Ricerche, Pisa, Italy | Roberto Caldelli: National Inter-University Consortium for Telecommunications (CNIT), Florence, Italy | Fabrizio Falchi: Inst. of Information Science and Technologies ""A. Faedo"", Consiglio Nazionale delle Ricerche, Pisa, Italy | Claudio Gennaro: Inst. of Information Science and Technologies ""A. Faedo"", Consiglio Nazionale delle Ricerche, Pisa, Italy | Giuseppe Amato: Inst. of Information Science and Technologies ""A. Faedo"", Consiglio Nazionale delle Ricerche, Pisa, Italy | Review row, Claudio Gennaro: Inst. of Information Science and Technologies ""A. Faedo"", Consiglio Nazionale delle Ricerche, Pisa, Italy | Review row, Davide Alessandro Coccomini: Inst. of Information Science and Technologies ""A. Faedo"", Consiglio Nazionale delle Ricerche, Pisa, Italy | Review row, Fabrizio Falchi: Inst. of Information Science and Technologies ""A. Faedo"", Consiglio Nazionale delle Ricerche, Pisa, Italy | Review row, Giuseppe Amato: Inst. of Information Science and Technologies ""A. Faedo"", Consiglio Nazionale delle Ricerche, Pisa, Italy | Review row, Roberto Caldelli: National Inter-University Consortium for Telecommunications (CNIT), Florence, Italy",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
DeeCLIP: A Robust and Generalizable Transformer-Based Framework for Detecting AI-Generated Images,2026,5,low,"Raw affiliation is consistent with a known alias, translation, or parent/subunit relation",Institut d'électronique de microélectronique et de nanotechnologie | Université Polytechnique Hauts-de-France | Khalifa University of Science and Technology | Sorbonne University Abu Dhabi,FR | AE,"Institut d'électronique de microélectronique et de nanotechnologie: Mamadou Keïta, Hessen Bougueffa Eutamene, Abdelmalik Taleb-Ahmed | Université Polytechnique Hauts-de-France: Mamadou Keïta, Hessen Bougueffa Eutamene, Abdelmalik Taleb-Ahmed | Khalifa University of Science and Technology: Wassim Hamidouche | Sorbonne University Abu Dhabi: Abdenour Hadid","Mamadou Keïta: Laboratory of IEMN, University Polytechnique Hauts-de-France, Valenciennes, France | Wassim Hamidouche: Khalifa University, Abu Dhabi, UAE | Hessen Bougueffa Eutamene: Laboratory of IEMN, University Polytechnique Hauts-de-France, Valenciennes, France | Abdelmalik Taleb-Ahmed: Laboratory of IEMN, University Polytechnique Hauts-de-France, Valenciennes, France | Abdenour Hadid: Sorbonne Center for Artificial Intelligence, Sorbonne University, Abu Dhabi, UAE | Review row, Abdelmalik Taleb-Ahmed: Laboratory of IEMN, University Polytechnique Hauts-de-France, Valenciennes, France | Review row, Hessen Bougueffa Eutamene: Laboratory of IEMN, University Polytechnique Hauts-de-France, Valenciennes, France | Review row, Mamadou Keïta: Laboratory of IEMN, University Polytechnique Hauts-de-France, Valenciennes, France",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
DeepFake Detection Based on Discrepancies Between Faces and Their Context,2021,5,low,"Raw affiliation is consistent with a known alias, translation, or parent/subunit relation",Bar-Ilan University | Tel Aviv University | Menlo School | Meta (United States),IL | US,"Bar-Ilan University: Yuval Nirkin, Yosi Keller | Tel Aviv University: Lior Wolf | Menlo School: Tal Hassner | Meta (United States): Tal Hassner","Yuval Nirkin: Faculty of Engineering, Bar Ilan University, Ramat Gan, Israel | Lior Wolf: Tel Aviv University, Tel Aviv, Israel | Yosi Keller: Faculty of Engineering, Bar Ilan University, Ramat Gan, Israel | Tal Hassner: Facebook AI, Menlo Park, CA, USA | Review row, Tal Hassner: Facebook AI, Menlo Park, CA, USA",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
"Generative Visual AI in News Organizations: Challenges, Opportunities, Perceptions, and Policies",2024,5,low,A manually verified institution or institution-author override exists,MIT University | RMIT University | Washington State University | Queensland University of Technology,MK | AU | US,MIT University: T.J. Thomson | RMIT University: T.J. Thomson | Washington State University: Ryan J. Thomas | Queensland University of Technology: Phoebe Matich,"T.J. Thomson: School of Media and Communication, RMIT University | T.J. Thomson: School of Media and Communication, RMIT University | School of Media and Communication, RMIT University, Melbourne, Australia | Ryan J. Thomas: The Edward R. Murrow College of Communication, Washington State University | The Edward R. Murrow College of Communication, Washington State University, Pullman, WA, USA | Phoebe Matich: School of Communication, Queensland University of Technology | School of Communication, Queensland University of Technology, Brisbane, Australia | Backlog CB-001: Confirmed publisher affiliations; replacement rows already exist in institution_record_overrides.csv. | Backlog CB-002: Title and current classification indicate news/policy/perception content; full-text scope review is still required.",Regression-check the confirmed manual override during export.,"Backlog: CB-001 (implemented_regression_check), CB-002 (needs_review) | Confirmed manual override exists | Heuristic review priority; not a probability or correction"
Hierarchical Feature Fusion and Enhanced Attention Mechanism for Robust GAN-Generated Image Detection,2025,5,low,"Raw affiliation is consistent with a known alias, translation, or parent/subunit relation | Raw text also supports the current country; mismatch may be a place name or multiple affiliation",City University of Macau | Beijing Normal University | Southwest University of Science and Technology,MO | CN,"City University of Macau: Weinan Zhang, Sanshuai Cui, Qi Zhang, Qi Zhong | Beijing Normal University: Biwei Chen | Southwest University of Science and Technology: Hui Zeng","Weinan Zhang: Faculty of Data Science, City University of Macau, Macau SAR, China | Sanshuai Cui: Faculty of Data Science, City University of Macau, Macau SAR, China | Qi Zhang: Faculty of Data Science, City University of Macau, Macau SAR, China | Biwei Chen: Belt and Road School, Beijing Normal University at Zhuhai, Zhuhai 519088, China | Hui Zeng: School of Computer Science and Technology, Southwest University of Science and Technology, Mianyang 621010, China | Qi Zhong: Faculty of Data Science, City University of Macau, Macau SAR, China | Review row, Qi Zhang: Faculty of Data Science, City University of Macau, Macau SAR, China | Review row, Qi Zhong: Faculty of Data Science, City University of Macau, Macau SAR, China | Review row, Sanshuai Cui: Faculty of Data Science, City University of Macau, Macau SAR, China | Review row, Weinan Zhang: Faculty of Data Science, City University of Macau, Macau SAR, China",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Improving Synthetically Generated Image Detection in Cross-Concept Settings,2023,5,low,"Raw affiliation is consistent with a known alias, translation, or parent/subunit relation",Information Technologies Institute | Centre for Research and Technology Hellas | Czech Technical University in Prague,GR | CZ,"Information Technologies Institute: Pantelis Dogoulis, Giorgos Kordopatis-Zilos, Ioannis Kompatsiaris, Symeon Papadopoulos | Centre for Research and Technology Hellas: Pantelis Dogoulis, Giorgos Kordopatis-Zilos, Ioannis Kompatsiaris, Symeon Papadopoulos | Czech Technical University in Prague: Giorgos Kordopatis-Zilos","Pantelis Dogoulis: Information Technologies Institute CERTH, Greece | Giorgos Kordopatis-Zilos: Czech Technical University in Prague, Czech Republic and Information Technologies Institute CERTH, Greece | Ioannis Kompatsiaris: Information Technologies Institute CERTH, Greece | Symeon Papadopoulos: Information Technologies Institute CERTH, Greece | Review row, Giorgos Kordopatis-Zilos: Czech Technical University in Prague, Czech Republic and Information Technologies Institute CERTH, Greece | Review row, Ioannis Kompatsiaris: Information Technologies Institute CERTH, Greece | Review row, Pantelis Dogoulis: Information Technologies Institute CERTH, Greece | Review row, Symeon Papadopoulos: Information Technologies Institute CERTH, Greece",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Leveraging Image Gradients for Robust GAN-Generated Image Detection in OSN context,2023,5,low,A manually verified institution or institution-author override exists,Institute of Engineering Science | Indian Institute of Technology Indore,RU | IN,"Institute of Engineering Science: Tanusree Ghosh, Ruchira Naskar | Indian Institute of Technology Indore: Tanusree Ghosh, Ruchira Naskar","Tanusree Ghosh: Indian Institute of Engineering Science and Technology,Department of Information Technology | Department of Information Technology, Indian Institute of Engineering Science and Technology | Tanusree Ghosh: Indian Institute of Engineering Science and Technology,Department of Information Technology | Ruchira Naskar: Indian Institute of Engineering Science and Technology,Department of Information Technology | Department of Information Technology, Indian Institute of Engineering Science and Technology | Ruchira Naskar: Indian Institute of Engineering Science and Technology,Department of Information Technology | Backlog CB-004: Official affiliation evidence recorded in the existing institution_record_overrides.csv correction.",Regression-check the confirmed manual override during export.,Backlog: CB-004 (implemented_regression_check) | Confirmed manual override exists | Heuristic review priority; not a probability or correction
Leveraging Representations from Intermediate Encoder-Blocks for Synthetic Image Detection,2024,5,low,"Raw affiliation is consistent with a known alias, translation, or parent/subunit relation",Information Technologies Institute | Centre for Research and Technology Hellas,GR,"Information Technologies Institute: Christos Koutlis, Symeon Papadopoulos | Centre for Research and Technology Hellas: Christos Koutlis, Symeon Papadopoulos","Christos Koutlis: Information Technologies Institute @ CERTH, Thessaloniki, Greece | Symeon Papadopoulos: Information Technologies Institute @ CERTH, Thessaloniki, Greece | Review row, Christos Koutlis: Information Technologies Institute @ CERTH, Thessaloniki, Greece | Review row, Symeon Papadopoulos: Information Technologies Institute @ CERTH, Thessaloniki, Greece",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
On the use of Benford's law to detect GAN-generated images,2020,5,low,"Raw affiliation is consistent with a known alias, translation, or parent/subunit relation",Politecnico di Milano | University of Padua,IT,"Politecnico di Milano: Nicolò Bonettini, Paolo Bestagini, Stefano Tubaro | University of Padua: Simone Milani","Nicolò Bonettini: Politecnico di Milano, Milano, Italy | Paolo Bestagini: Politecnico di Milano, Milano, Italy | Simone Milani: University of Padova, Padova, Italy | Stefano Tubaro: Politecnico di Milano, Milano, Italy | Review row, Simone Milani: University of Padova, Padova, Italy",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Towards Generated Image Provenance Analysis via Conceptual-Similar-Guided-SLIP Retrieval,2024,5,low,Raw text also supports the current country; mismatch may be a place name or multiple affiliation,Fujitsu (China) | Fujitsu (Japan),HK | JP,"Fujitsu (China): Xiaojie Xia, Liuan Wang, Jun Sun | Fujitsu (Japan): Akira Nakagawa","Xiaojie Xia: Fujitsu R&amp;D Cente Company, Ltd., Beijing, China | Liuan Wang: Fujitsu R&amp;D Cente Company, Ltd., Beijing, China | Jun Sun: Fujitsu R&amp;D Cente Company, Ltd., Beijing, China | Akira Nakagawa: Fujitsu Research, Kawasaki, Japan | Review row, Jun Sun: Fujitsu R&amp;D Cente Company, Ltd., Beijing, China | Review row, Liuan Wang: Fujitsu R&amp;D Cente Company, Ltd., Beijing, China | Review row, Xiaojie Xia: Fujitsu R&amp;D Cente Company, Ltd., Beijing, China",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
Towards Robust Gan-Generated Image Detection: A Multi-View Completion Representation,2023,5,low,"Raw affiliation is consistent with a known alias, translation, or parent/subunit relation | Raw text also supports the current country; mismatch may be a place name or multiple affiliation",University of Technology Sydney | The University of Sydney | City University of Macau,AU | MO,"University of Technology Sydney: Chi Liu, Tianqing Zhu | The University of Sydney: Sheng Shen | City University of Macau: Wanlei Zhou","Chi Liu: University of Technology Sydney | School of Computer Science, University of Technology Sydney, Australia | Tianqing Zhu: University of Technology Sydney | School of Computer Science, University of Technology Sydney, Australia | Sheng Shen: The University of Sydney | School of Electrical and Information Engineering, The University of Sydney, Australia | Wanlei Zhou: City University of Macau | City University of Macau, Macao SAR, China | Review row, Wanlei Zhou: City University of Macau | City University of Macau, Macao SAR, China",No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
A Bias-Free Training Paradigm for More General AI-generated Image Detection,2025,0,low,No specific local institution risk signal detected,Federico II University Hospital | Google (United States) | Google DeepMind (United Kingdom),IT | US | GB,"Federico II University Hospital: Fabrizio Guillaro, Giada Zingarini, Davide Cozzolino, Luisa Verdoliva | Google (United States): Ben Usman, Avneesh Sud | Google DeepMind (United Kingdom): Ben Usman, Avneesh Sud",Fabrizio Guillaro: University Federico II of Naples | Giada Zingarini: University Federico II of Naples | Ben Usman: Google DeepMind | Avneesh Sud: Google DeepMind | Davide Cozzolino: University Federico II of Naples | Luisa Verdoliva: University Federico II of Naples,No immediate action; retain OpenAlex resolution as fallback metadata.,Heuristic review priority; not a probability or correction
