paper_id,display_id,title,doi,arxiv_id,year,publication_type,venue,venue_id,venue_name,venue_acronym,venue_type,venue_track,raw_venue,venue_review_required,venue_review_reason,source_fingerprint
,openalex:W7125581744,DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,https://doi.org/10.1109/tcsvt.2026.3656696,,2026,journal,IEEE Transactions on Circuits and Systems for Video Technology,venue:ieee-transactions-on-circuits-and-systems-for-video-technology,IEEE Transactions on Circuits and Systems for Video Technology,IEEE Trans. Circuits Syst. Video Technol.,journal,,IEEE Transactions on Circuits and Systems for Video Technology,False,,0a16111634c3babcc3ca63d80ed4ca860adee6e7ba74967e5d58d4549c1a8483
,openalex:W4388858946,DE-FAKE: Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models,10.1145/3576915.3616588,2210.06998,2023,conference,ACM SIGSAC Conference on Computer and Communications Security,venue:acm-sigsac-conference-on-computer-and-communications-security,ACM SIGSAC Conference on Computer and Communications Security,CCS,conference,Main,Proceedings of the 2023 ACM SIGSAC Conference on Computer and Communications Security,False,,59440c384fbc214581487a53279497f01492f9e57577b136d1201eda13c06383
curated:45cb3642fd138c136139,openalex:W7137819524,Decision-Driven Orthogonal Learning with Complementary Feature Mining for Robust Synthetic Image Detection,10.1609/aaai.v40i8.37553,,2026,conference,AAAI Conference on Artificial Intelligence,venue:aaai,AAAI Conference on Artificial Intelligence,AAAI,conference,Main,Proceedings of the AAAI Conference on Artificial Intelligence,False,,f4cbbfa6499318f61601558ef2b87e15396c2cf0ca81944c8327ed7f4191ad95
curated:239572598dfae08d563b,openalex:W7118010096,DeeCLIP: A Robust and Generalizable Transformer-Based Framework for Detecting AI-Generated Images,10.1007/978-3-032-07343-3_12,2504.19876v1,2026,conference,International Conference on Advanced Concepts for Intelligent Vision Systems,venue:international-conference-on-advanced-concepts-for-intelligent-vision-systems,International Conference on Advanced Concepts for Intelligent Vision Systems,ACIVS,conference,Main,International Conference on Advanced Concepts for Intelligent Vision Systems,False,,1a1cf8e009e112934ad2995abd0debd7bbc79f506f48e0d85d17d29add79e3f6
,openalex:W4375955734,Deep fake detection and classification using error-level analysis and deep learning,10.1038/s41598-023-34629-3,,2023,journal,Scientific Reports,venue:scientific-reports,Scientific Reports,Sci Rep,journal,,Scientific Reports,False,,933ce92f88f2e25881fa1042227b33a9be34c960ed27c14e95535a8c83aaa848
,openalex:W2970868842,Deep Fake Image Detection Based on Pairwise Learning,10.3390/app10010370,,2020,journal,Applied Sciences,venue:applied-sciences,Applied Sciences,Appl. Sci.,journal,,Applied Sciences,False,,feaedc67a03cd971c41165976a707699ea95014cbbc27faabb2ea13d98466dc1
curated:04932cb03f767948ddf4,openalex:W4394597038,Deep Image Fingerprint: Towards Low Budget Synthetic Image Detection and Model Lineage Analysis,10.1109/wacv57701.2024.00402,2303.10762v4,2024,conference,IEEE/CVF Winter Conference on Applications of Computer Vision,venue:wacv,IEEE/CVF Winter Conference on Applications of Computer Vision,WACV,conference,Main,2024 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),False,,9366258d6e1b21b8e5de0c139ad093cbfe44151bf60f0319eb3446c84fad3fac
,openalex:W4312518338,Deep Learning applied to Road Accident Detection with Transfer Learning and Synthetic Images,10.1016/j.trpro.2022.09.012,,2022,journal,Transportation research procedia,,,,,,Transportation research procedia,True,"Procedia is a proceedings series. The deposited journal-article type does not identify the underlying conference; verify the publisher volume, event name, year and track before assigning a canonical venue.",b91d046704374ec9c3ce47011c76a8cf96c304a554879c3a2a8456658653956c
curated:c071c25bc2957d78569b,openalex:W3045755384,Deep Learning for Deepfakes Creation and Detection: A Survey,10.1016/j.cviu.2022.103525,1909.11573,2022,journal,Computer Vision and Image Understanding,venue:computer-vision-and-image-understanding,Computer Vision and Image Understanding,CVIU,journal,,Figshare,False,,fac28de02d6d4996cf40a19c91143c030e77756979505d22e4e17d9fe5fe1178
curated:86507b243a7d58c76b2c,openalex:W7170425343,Deep-Synthesized Image Detection via Multi-Domain Feature Fusion and Explainable AI Guided Color Model Selection,10.1016/j.cviu.2026.104881,,2026,journal,Computer Vision and Image Understanding,venue:computer-vision-and-image-understanding,Computer Vision and Image Understanding,CVIU,journal,,Computer Vision and Image Understanding,False,,21f74a38ad47dcf17cdf20ab7aff9c778a830559824cf67d365763ffe1730009
curated:e952f6b86662d0a4372a,openalex:W4389983109,DeepArt: A Benchmark to Advance Fidelity Research in AI-Generated Content,10.48550/arxiv.2312.10407,2312.10407,2023,preprint,arXiv,venue:arxiv,arXiv,,preprint,,arXiv (Cornell University),False,,d972421056e2a1b1820363a6b19020534c900b1b5b7b572609adcbccbaba981f
,openalex:W4200053273,Deepfake attribution: On the source identification of artificially generated images,10.1002/widm.1438,,2021,journal,WIREs Data Mining and Knowledge Discovery,venue:wires-data-mining-and-knowledge-discovery,WIREs Data Mining and Knowledge Discovery,WIREs Data Min & Knowl,journal,,Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery,False,,6a791149380890b516db2c65676df874485e6d65b6c0a69b3419feda922d7d3f
,openalex:W3173581984,DeepFake Detection Based on Discrepancies Between Faces and Their Context,10.1109/tpami.2021.3093446,,2021,journal,IEEE Transactions on Pattern Analysis and Machine Intelligence,venue:ieee-transactions-on-pattern-analysis-and-machine-intelligence,IEEE Transactions on Pattern Analysis and Machine Intelligence,TPAMI,journal,,IEEE Transactions on Pattern Analysis and Machine Intelligence,False,,3f4e0773180ba534a72b2e97e517f08922928fe14a02f10507fe0385476c7be5
,openalex:W4367554082,DeepFake Detection Improvement for Images Based on a Proposed Method for Local Binary Pattern of the Multiple-Channel Color Space,10.22266/ijies2023.0630.07,,2023,journal,International Journal of Intelligent Engineering and Systems,venue:international-journal-of-intelligent-engineering-and-systems,International Journal of Intelligent Engineering and Systems,IJIES,journal,,International journal of intelligent engineering and systems,False,,da9058af045e49c41d7551729c736109fc8f0cd105c8e86f9fce5816e2725868
curated:1398fe67015092fb543d,openalex:W7172437004,Deepfake Detection on Low-Resolution Images Using Optimized Ensemble Learning,10.1007/s00521-026-12359-7,,2026,journal,Neural Computing and Applications,venue:neural-computing-and-applications,Neural Computing and Applications,Neural Comput & Applic,journal,,Neural Computing and Applications,False,,913dc1d718bdb2cfd39deeeb315974a8a114ea686b8a4e7c78f4703fcc1fdfe3
,openalex:W4388851105,Deepfake detection using deep learning methods: A systematic and comprehensive review,10.1002/widm.1520,,2023,journal,WIREs Data Mining and Knowledge Discovery,venue:wires-data-mining-and-knowledge-discovery,WIREs Data Mining and Knowledge Discovery,WIREs Data Min & Knowl,journal,,Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery,False,,c80afe4786c4b2f135bf4002ff9b7f1afba7513fb7ed3cf40336ff9292533ca5
,openalex:W4393063559,Deepfake Detection Without Deepfakes: Generalization via Synthetic Frequency Patterns Injection,10.48550/arxiv.2403.13479,2403.13479,2024,preprint,arXiv,venue:arxiv,arXiv,,preprint,,arXiv (Cornell University),False,,e9d5340ae60c5c7f02a054ca9e90606cd769fe4d63176368df1890555f6197c6
,openalex:W3084142230,DeepFake Face Image Detection based on Improved VGG Convolutional Neural Network,10.23919/ccc50068.2020.9189596,,2020,conference,Chinese Control Conference,venue:chinese-control-conference,Chinese Control Conference,CCC,conference,Main,2020 39th Chinese Control Conference (CCC),False,,fa7a0647ab21a7e025e6f659606589ad6fccfbff137aafc98dac4782cca98ff5
curated:616984c24ff3792431e6,openalex:W4389633690,Deepfake Generation and Detection: Case Study and Challenges,10.1109/access.2023.3342107,,2023,journal,IEEE Access,venue:ieee-access,IEEE Access,,journal,,IEEE Access,False,,3019aab3108e390ef0a80905c99989590726ed38d1f64e7274ab61d182c56180
,openalex:W4394009764,DeepFake Image Detection,10.55041/ijsrem30215,,2024,journal,International Journal of Scientific Research in Engineering and Management,venue:international-journal-of-scientific-research-in-engineering-and-management,International Journal of Scientific Research in Engineering and Management,IJSREM,journal,,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,False,,7ee4714d031dd9c40a5424af60ffc3b5979ee0ba5b1d24ff706f2c42ad3fc5fd
,openalex:W4285362588,Deepfake Image Detection using CNNs and Transfer Learning,10.1109/ccge50943.2021.9776410,,2021,conference,"International Conference on Computing, Communication and Green Engineering",venue:international-conference-on-computing-communication-and-green-engineering,"International Conference on Computing, Communication and Green Engineering",CCGE,conference,Main,"2021 International Conference on Computing, Communication and Green Engineering (CCGE)",False,,2fd2d46f78a7dd119405c428906d338c0810ac85340dfbd1798f1228e6a2c653
curated:d3ef5d1c5885c8c90c45,openalex:W4410026772,Deepfake Image Detection Using Convolutional Neural Network,10.1007/978-981-96-1981-8_5,,2025,conference,International Conference on Smart Computing and Informatics,venue:international-conference-on-smart-computing-and-informatics,International Conference on Smart Computing and Informatics,SCI,conference,Main,International Conference on Smart Computing and Informatics,False,,28d0e146c802f4324d412e8cca4f4d808961fb8e3d0ff006d9ad00b53e0ed419
curated:b388bfe1b5785775a436,openalex:W4409586875,Deepfake Image Detection Using Light-Weight Attention Integrated MobileNetV3 Model,10.1007/978-3-031-84543-7_11,,2025,conference,International Conference on Applied Algorithms,venue:international-conference-on-applied-algorithms,International Conference on Applied Algorithms,ICAA,conference,Main,International Conference on Applied Algorithms,False,,444f673ce88b0edc7e85196581f8ce7dd2c0b688b457a397191cd580c8616e02
,openalex:W4408401076,Deepfake Image Detection Using ResNet50 Model,10.1109/cybercomp60759.2024.10913843,,2024,conference,International Conference on Cyber Security and Computing,venue:international-conference-on-cyber-security-and-computing,International Conference on Cyber Security and Computing,CyberComp,conference,Main,2024 1st International Conference on Cyber Security and Computing (CyberComp),False,,96a26525835058e7ced08a676d298de8926b06fe4dd87afda90a9e132c5e8e21
,openalex:W4402130168,Deepfake Image Detection Using Vision Transformer Models,10.1109/blackseacom61746.2024.10646310,,2024,conference,IEEE International Black Sea Conference on Communications and Networking,venue:blackseacom,IEEE International Black Sea Conference on Communications and Networking,BlackSeaCom,conference,Main,2024 IEEE International Black Sea Conference on Communications and Networking (BlackSeaCom),False,,88a345161a05e61301ba73734d18d5d25387c88c6d6d7454ba8c70d209e81ce3
,openalex:W4408018363,Deepfake Image Detection Using Yolov8,10.1109/punecon63413.2024.10895706,,2024,conference,IEEE Pune Section International Conference,venue:ieee-pune-section-international-conference,IEEE Pune Section International Conference,PuneCon,conference,Main,2024 IEEE Pune Section International Conference (PuneCon),False,,156f6fa2fc7a7ddd78ef25d1c1c611e6a66394353841a69dcf5e0dd70226a002
,openalex:W4408853348,Deepfake Image Detection with Transfer Learning Models,10.17798/bitlisfen.1610300,,2025,journal,Bitlis Eren Üniversitesi Fen Bilimleri Dergisi,venue:bitlis-eren-universitesi-fen-bilimleri-dergisi,Bitlis Eren Üniversitesi Fen Bilimleri Dergisi,,journal,,Bitlis Eren Üniversitesi Fen Bilimleri Dergisi,True,"Journal abbreviation has not been verified; confirm its established short name from the publisher or a bibliographic authority, or explicitly document that the full name is the standard short form.",d4f89717f10c8075dcfd3030027813605b7945e0f011c858bd5803c604f299c8
curated:3587b5b40ea4c5a8afa8,openalex:W4283811667,Deepfake Network Architecture Attribution,10.1609/aaai.v36i4.20391,2202.13843v2,2022,conference,AAAI Conference on Artificial Intelligence,venue:aaai,AAAI Conference on Artificial Intelligence,AAAI,conference,Main,Proceedings of the AAAI Conference on Artificial Intelligence,False,,108e23f88313e2a0df6d94fb60d8954d81e9dcaae018317cc930b60c3aac2d97
curated:d973c571c1fafe6fb25f,curated:d973c571c1fafe6fb25f,Deepfake-Agent: Aggregating Semantic Forgery Clues for Generalizable Detection,,,2026,conference,IEEE/CVF Conference on Computer Vision and Pattern Recognition,venue:cvpr,IEEE/CVF Conference on Computer Vision and Pattern Recognition,CVPR,conference,Findings,Computer Vision and Pattern Recognition,False,,1371dbcb3894ef1aa35d1a0cbed5a4c8b3acd7125b5453b327fdd119cb1b1e1e
,openalex:W3172046373,Deepfakes Creation and Detection Using Deep Learning,10.1109/miucc52538.2021.9447642,,2021,conference,"International Mobile, Intelligent, and Ubiquitous Computing Conference",venue:international-mobile-intelligent-and-ubiquitous-computing-conference,"International Mobile, Intelligent, and Ubiquitous Computing Conference",MIUCC,conference,Main,"2021 International Mobile, Intelligent, and Ubiquitous Computing Conference (MIUCC)",False,,3942e6da3d7d848faaff7a01ad3273ddd26865f4560e3eefa657547de91ba7b2
,openalex:W4407408001,DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,10.3390/electronics14040665,,2025,journal,Electronics,venue:electronics,Electronics,ELECTRONICS-SWITZ,journal,,Electronics,False,,4a91a706ff0286cb8444c104bb42c77323cb68c2ca67951b7311866c63272e92
,openalex:W4410253117,DeepGuardNet: A Novel CNN Architecture for DeepFake Image Detection,10.1016/j.procs.2025.04.313,,2025,journal,Procedia Computer Science,,,,,,Procedia Computer Science,True,"Procedia is a proceedings series. The deposited journal-article type does not identify the underlying conference; verify the publisher volume, event name, year and track before assigning a canonical venue.",06a596d70db33c7331bc415f103a3fd3bc61bd4f6eab05d1e5c6b16ce0b4c813
,openalex:W4402353496,DeepSight: Enhancing Deepfake Image Detection and Classification through Ensemble and Deep Learning Techniques,10.1109/icipcn63822.2024.00014,,2024,conference,International Conference on Image Processing and Capsule Networks,venue:international-conference-on-image-processing-and-capsule-networks,International Conference on Image Processing and Capsule Networks,ICIPCN,conference,Main,2024 5th International Conference on Image Processing and Capsule Networks (ICIPCN),False,,c46e4baeca5b7f359a2f1da995a635b2e674a8c1a92098dbf561ade1060036c7
,openalex:W4407129617,Detecting AI Generated Images Through Texture and Frequency Analysis of Patches,10.1109/aivrv63595.2024.10860248,,2024,conference,"International Conference on Artificial Intelligence, Virtual Reality and Visualization",venue:international-conference-on-artificial-intelligence-virtual-reality-and-visualization,"International Conference on Artificial Intelligence, Virtual Reality and Visualization",AIVRV,conference,Main,"2024 4th International Conference on Artificial Intelligence, Virtual Reality and Visualization",False,,b67768fec83a4caae83bfb6bccf582878349362b499a4fb61cea979e86eac4fc
curated:6299036e9d8ac85a9880,openalex:W4417248787,Detecting AI-Generated Artwork,,2504.07078,2025,preprint,arXiv,venue:arxiv,arXiv,,preprint,,arXiv,False,,0f8833502781862be7a19d5ff7905c403e13ada057fe1e2dd7919c3996b61fae
curated:d4a9b3a3cef9bfbd0e32,openalex:W7166864343,Detecting AI-Generated Content on Social Media with Multi-Modal Language Models,10.18653/v1/2026.acl-industry.15,2606.11200,2026,conference,Annual Meeting of the Association for Computational Linguistics,venue:acl,Annual Meeting of the Association for Computational Linguistics,ACL,conference,Industry,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 6: Industry Track),False,,65fc89f36fabe2a0b2a1f0f12348f267e1cdf278df1281c66c737cab74ae02a8
,openalex:W4411926716,Detecting AI-Generated Images Using a Hybrid ResNet-SE Attention Model,10.3390/app15137421,,2025,journal,Applied Sciences,venue:applied-sciences,Applied Sciences,Appl. Sci.,journal,,Applied Sciences,False,,410488677f35f82d269619b8a04804f57733f4fd4264adc09038ca3e4b09e95c
,openalex:W4411172248,Detecting AI-Generated Images Using Facial Similarity and Feature Extraction for Digital Security,10.1109/mitp.2025.3561143,,2025,journal,IT Professional,venue:it-professional,IT Professional,IT Prof.,journal,,IT Professional,False,,5b1f8a9ff971966d510b8b13a4dbd5fe4ebed1c7b85f4be465ce9eb5ab2ed627
,openalex:W4406443479,Detecting AI-Generated Images Using Vision Transformers: A Robust Approach for Safeguarding Visual Media Integrity,10.2139/ssrn.5029893,,2025,preprint,SSRN Electronic Journal,venue:ssrn,SSRN Electronic Journal,,preprint,,SSRN Electronic Journal,False,,7ca038a6ece8419a8d07684779c267c71d09e72f0865a066542c75eb1ef8ce63
,openalex:W4394891207,Detecting AI-Generated Images via CLIP,10.21203/rs.3.rs-4259468/v1,2404.08788,2024,preprint,Research Square,venue:research-square,Research Square,,preprint,,Research Square,False,,73ba9d610422fd221b483fa6f56858d9c86b259596df555c20fd903d9367a652
,openalex:W4415936841,Detecting AI-Generated Images via Diffusion Snap-Back Reconstruction: A Forensic Approach,10.1109/qpain69676.2026.11545865,2511.00352,2026,conference,"IEEE International Conference on Quantum Photonics, Artificial Intelligence & Networking",venue:qpain,"IEEE International Conference on Quantum Photonics, Artificial Intelligence & Networking",QPAIN,conference,Main,"2026 IEEE 2nd International Conference on Quantum Photonics, Artificial Intelligence &amp; Networking (QPAIN)",False,,304dd8e4570c186dcae982ee53bc7294e07fb0715698f8b49443afd655374482
,openalex:W4402170813,Detecting AI-generated images with CNN and Interpretation using Explainable AI,10.1109/inc460750.2024.10649158,,2024,conference,IEEE International Conference on Contemporary Computing and Communications,venue:ieee-international-conference-on-contemporary-computing-and-communications,IEEE International Conference on Contemporary Computing and Communications,InC4,conference,Main,2024 IEEE International Conference on Contemporary Computing and Communications (InC4),False,,585b480276084fd416a7abe93ff8e4000b0260c4e7d1f99f3a6cd07027d966f5
,openalex:W3012472557,Detecting and Simulating Artifacts in GAN Fake Images,10.1109/wifs47025.2019.9035107,,2019,conference,IEEE International Workshop on Information Forensics and Security,venue:wifs,IEEE International Workshop on Information Forensics and Security,WIFS,conference,Workshop,2019 IEEE International Workshop on Information Forensics and Security (WIFS),True,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",fb3b93af96d2f2ddcc021669368e8c8c2ffd52191b6aa9e4abe2b40b691edbd0
,openalex:W4400616829,Detecting Artificial Intelligence-Generated Images via Deep Trace Representations and Interactive Feature Fusion,10.1016/j.inffus.2024.102578,,2024,journal,Information Fusion,venue:information-fusion,Information Fusion,INFORM FUSION,journal,,Information Fusion,False,,15ac4abed1240a850f5ef13790026584459dadf7436c8803885f66f0078ae13e
curated:3864d12fe8df7b9cb19c,openalex:W4403972496,Detecting Computer-Generated Images by Using Only Real Images,10.1117/12.3055092,,2024,conference,International Conference on Machine Vision,venue:international-conference-on-machine-vision,International Conference on Machine Vision,ICMV,conference,Main,17th Inter national Conference on Machine Vision,False,,4cec2eee40078acbf1c1084941bf07b7e116d89a581c53e971911ba61f5bad4f
,openalex:W4285791495,Detecting Deepfake Images Using Deep Learning Techniques and Explainable AI Methods,10.32604/iasc.2023.029653,,2022,journal,Intelligent Automation & Soft Computing,venue:intelligent-automation-soft-computing,Intelligent Automation & Soft Computing,IASC,journal,,Intelligent Automation & Soft Computing,False,,b0e1edb68f9ab39e3c613c30daa73e1029027e463e3ff4b1266e29ea6b873787
,openalex:W3173631964,Detecting fake images by identifying potential texture difference,10.1016/j.future.2021.06.043,,2021,journal,Future Generation Computer Systems,venue:future-generation-computer-systems,Future Generation Computer Systems,FGCS,journal,,Future Generation Computer Systems,False,,7eab68dcd11120b72ea6fd31b4634f456fd52242613abf550fa927fbc870af58
curated:60066ef08c2226131085,openalex:W2975558816,Detecting GAN Generated Fake Images Using Co-Occurrence Matrices,10.2352/issn.2470-1173.2019.5.mwsf-532,1903.06836,2019,journal,Electronic Imaging,,,,,,Electronic Imaging,True,"Electronic Imaging is deposited as journal-article metadata but also names symposium proceedings. Confirm the paper-level scholarly event (Electronic Imaging or its MWSF conference), publication type and track from the primary proceedings. Electronic Imaging may denote symposium proceedings rather than a journal. Verify this paper's publication container and type.",6bdb62ae2034b12a3ce2ab45453449f8958aeaf4117e5891364702b699209db9
,openalex:W4362684513,Detecting GAN-generated synthetic images using semantic inconsistencies,10.2352/ei.2023.35.4.mwsf-380,,2023,journal,Electronic Imaging,,,,,,Electronic Imaging,True,"Electronic Imaging is deposited as journal-article metadata but also names symposium proceedings. Confirm the paper-level scholarly event (Electronic Imaging or its MWSF conference), publication type and track from the primary proceedings. Electronic Imaging may denote symposium proceedings rather than a journal. Verify this paper's publication container and type.",95627604327e345a9d511d92cc237f646803e54375c82118ff656bed5ea5bdd7
curated:2488ec329f6e0d99d28f,openalex:W4313189772,Detecting Generated Images by Real Images,10.1007/978-3-031-19781-9_6,,2022,conference,European Conference on Computer Vision,venue:eccv,European Conference on Computer Vision,ECCV,conference,Main,European Conference on Computer Vision,False,,9931558c6dc58fd56482a7f8b55b78dd4457e8e4d77d6323ef5b6e4d43359c6b
,openalex:W4390191016,Detecting Images Generated by Deep Diffusion Models Using Their Local Intrinsic Dimensionality,10.1109/iccvw60793.2023.00051,,2023,conference,IEEE/CVF International Conference on Computer Vision,venue:iccv,IEEE/CVF International Conference on Computer Vision,ICCV,conference,Workshop,2023 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),False,,c2a479ddd59fe8a1d1f711920b9b566c39ec0b31c6977be88e9df0a1acacc4df
,openalex:W4391563741,Detecting Multimedia Generated by Large AI Models: A Survey,10.36227/techrxiv.170723324.44685515/v1,2402.00045,2024,preprint,TechRxiv,venue:techrxiv,TechRxiv,,preprint,,"Authorea, Inc.",False,,92001475fd33dc8c6ed3a5d9b18905c9344532ab11c2eb04e955486eff54d459
curated:161b6d5ca391d238f7e9,openalex:W4409262697,Detecting Origin Attribution for Text-to-Image Diffusion Models,10.1109/wacv61041.2025.00850,2403.19653,2025,conference,IEEE/CVF Winter Conference on Applications of Computer Vision,venue:wacv,IEEE/CVF Winter Conference on Applications of Computer Vision,WACV,conference,Main,2025 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),False,,3d8b1973700e5ad9862f065bedf845725143d818cfcc428ef58fa866badfb441
,openalex:W3135589907,Detecting soybean leaf disease from synthetic image using multi-feature fusion faster R-CNN,10.1016/j.compag.2021.106064,,2021,journal,Computers and Electronics in Agriculture,venue:computers-and-electronics-in-agriculture,Computers and Electronics in Agriculture,COMPUT ELECTRON AGR,journal,,Computers and Electronics in Agriculture,False,,020953e797739db41edbb31f7a9fb82de0e0bf93fd32afb4540221b2d16f8b9b
,openalex:W4402524935,Detecting the Undetectable: Combining Kolmogorov-Arnold Networks and MLP for AI-Generated Image Detection,10.48550/arxiv.2408.09371,2408.09371,2024,preprint,arXiv,venue:arxiv,arXiv,,preprint,,arXiv (Cornell University),False,,e9d5340ae60c5c7f02a054ca9e90606cd769fe4d63176368df1890555f6197c6
,openalex:W4402240806,Detection of AI-Generated Synthetic Images with a Lightweight CNN,10.3390/ai5030076,,2024,journal,AI,venue:ai,AI,,journal,,AI,True,"Journal abbreviation has not been verified; confirm its established short name from the publisher or a bibliographic authority, or explicitly document that the full name is the standard short form.",561649d7087e8a9bde0e665dfe54787956c0ab88c719fc5dea942ff3185f96f2
,openalex:W4214857236,Detection of Deep-Morphed Deepfake Images to Make Robust Automatic Facial Recognition Systems,10.1109/ocit53463.2021.00039,,2021,conference,OITS International Conference on Information Technology,venue:oits-international-conference-on-information-technology,OITS International Conference on Information Technology,OCIT,conference,Main,2021 19th OITS International Conference on Information Technology (OCIT),False,,69a429e6dba5f854cc89f6f3d67bcdd7cb9b6164574191e1163c082f09a2bfc9
curated:ae869fc6a6dea782923d,openalex:W3128257465,Detection of Deepfake Images Created Using Generative Adversarial Networks: A Review,10.1007/978-3-030-49500-8_3,,2021,conference,International Conference on Networks and Advances in Computational Technologies,venue:international-conference-on-networks-and-advances-in-computational-technologies,International Conference on Networks and Advances in Computational Technologies,NetACT,conference,Main,Transactions on Computational Science and Computational Intelligence,False,,4d39c7e4177182f1136129270e2deffcc95cf3eccfb573868ce97dc01a49ca2c
,openalex:W4381620941,Detection of GAN generated image using color gradient representation,10.1016/j.jvcir.2023.103876,,2023,journal,Journal of Visual Communication and Image Representation,venue:journal-of-visual-communication-and-image-representation,Journal of Visual Communication and Image Representation,JVCIR,journal,,Journal of Visual Communication and Image Representation,False,,a85c6a002b4e40e3c19385f6fbde277a708745215f6b22dc99b2f764e121b864
,openalex:W2811414481,Detection of GAN-Generated Fake Images over Social Networks,10.1109/mipr.2018.00084,,2018,conference,IEEE Conference on Multimedia Information Processing and Retrieval,venue:ieee-conference-on-multimedia-information-processing-and-retrieval,IEEE Conference on Multimedia Information Processing and Retrieval,MIPR,conference,Main,2018 IEEE Conference on Multimedia Information Processing and Retrieval (MIPR),False,,818643c00ce7afd0ad1e0e8901ebe1ec3dee0dfd73c27c4d0ddb39b73705dad1
,openalex:W3217278836,Detection of GAN-Generated Images by Estimating Artifact Similarity,10.1109/lsp.2021.3130525,,2021,journal,IEEE Signal Processing Letters,venue:ieee-signal-processing-letters,IEEE Signal Processing Letters,SPL,journal,,IEEE Signal Processing Letters,False,,b0656fe7359cdeaa658ff9cb361c867ec0fcce859b19b581ba142891cab5490e
,openalex:W3166640306,Detection of GAN-Synthesized Image Based on Discrete Wavelet Transform,10.1155/2021/5511435,,2021,journal,Security and Communication Networks,venue:security-and-communication-networks,Security and Communication Networks,SECUR COMMUN NETW,journal,,Security and Communication Networks,False,,87f2280329f72e07c122ad7747bb42252bd96820ac808868d6a14fa8a3d0fe51
,openalex:W4402013517,Detection of real-time deep fakes and face forgery in video conferencing employing generative adversarial networks,10.1016/j.heliyon.2024.e37163,,2024,journal,Heliyon,venue:heliyon,Heliyon,,journal,,Heliyon,False,,0a67b60ac4ce33dacf0db81f3ae0743407cddf5cdbc75f994629e031b8a4ccfb
,openalex:W3179128750,"Detection, Attribution and Localization of GAN Generated Images",10.2352/issn.2470-1173.2021.4.mwsf-276,2007.10466,2021,journal,Electronic Imaging,,,,,,Electronic Imaging,True,"Electronic Imaging is deposited as journal-article metadata but also names symposium proceedings. Confirm the paper-level scholarly event (Electronic Imaging or its MWSF conference), publication type and track from the primary proceedings. Electronic Imaging may denote symposium proceedings rather than a journal. Verify this paper's publication container and type.",25c030630bbe45a5904c8f222acfb6bd5ec9d0f58f7fb8cb557c08248bd93f98
,openalex:W4399911107,Development of a Dual-Input Neural Model for Detecting AI-Generated Imagery,10.48550/arxiv.2406.13688,2406.13688,2024,preprint,arXiv,venue:arxiv,arXiv,,preprint,,arXiv (Cornell University),False,,e9d5340ae60c5c7f02a054ca9e90606cd769fe4d63176368df1890555f6197c6
curated:8ae025d8756e0ff472b0,openalex:W4415539098,DFBench: Benchmarking Deepfake Image Detection Capability of Large Multimodal Models,10.1145/3746027.3758204,2506.03007v1,2025,conference,ACM International Conference on Multimedia,venue:acm-mm,ACM International Conference on Multimedia,ACM MM,conference,Main,Proceedings of the 33rd ACM International Conference on Multimedia,False,,30eadb57401f88c4a708103c2add3818d604ec8e74ed8304d6f4882462aa9433
curated:7ed4e932c4dac57d0136,openalex:W4416361369,DGS-Net: Distillation-Guided Gradient Surgery for CLIP Fine-Tuning in AI-Generated Image Detection,10.48550/arxiv.2511.13108,2511.13108,2026,conference,International Conference on Machine Learning,venue:icml,International Conference on Machine Learning,ICML,conference,Main,International Conference on Machine Learning (ICML),False,,02a5f4f407e8f010baf44fbb8ceb3d2e076a9b3517837e91c71d09269303d8de
curated:19c7b91816312d2877c9,openalex:W4399556631,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,10.1145/3658664.3659652,,2024,conference,ACM Workshop on Information Hiding and Multimedia Security,venue:ih-mmsec,ACM Workshop on Information Hiding and Multimedia Security,IH&MMSec,conference,Main,ACM Workshop on Information Hiding and Multimedia Security,False,,b61d164b1b7d491fbd1b6271fae73acf1dd647a70c7ef32c94e001dcbf0341a1
curated:853c7e2ae5f343438dd5,openalex:W4312387978,Did You Use My GAN to Generate Fake? Post-Hoc Attribution of GAN Generated Images via Latent Recovery,10.1109/ijcnn55064.2022.9892704,,2022,conference,International Joint Conference on Neural Networks,venue:ijcnn,International Joint Conference on Neural Networks,IJCNN,conference,Main,2022 International Joint Conference on Neural Networks (IJCNN),False,,0b037bae044ab1cdef56cb3b579b09ae88b7f21ca721b8dc6a845778efcd73e4
