audit_id,review_group_id,mapping_id,paper_id,paper_title,year,doi,openalex_url,author,current_institution,current_institution_id,raw_affiliation,suggested_canonical_institution,suggested_institution_id,provenance,severity,issue_type,classification,is_blocking,reason,recommended_action,resolution_status
institution-consistency:07a23d6bb82c2b51b1a0,institution-review-group:313043e7b2ff3fda4699,mapping:3eab2958042ee8fcfbb0,curated:4c6404676fc92cb9e8eb,Black-Box Adaptation for Deepfake Detection via Local Relation Guided AUC Optimization,2026,10.1109/jiot.2026.3686234,https://openalex.org/W7155048878,Qi Tian,Huawei Technologies (China),institution:570cf7f2e9869b63,"Huawei, Shenzhen, China",,,curated_import,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:f2894e84e4b93bb8d859,institution-review-group:823f4f697925e67e8d57,mapping:18e2f89907e0f8c249d9,curated:a3fb37f39cb20a95e3bf,Can model attribution bridge AI's accountability gap in safety-critical domains?,2026,10.1098/rsta.2025.0117,https://openalex.org/W7169086594,Marc Juárez,University of Edinburgh,institution:9ffc21de60b360ff,"Schoolof Informatics,The UniversityofEdinburgh,Edinburgh, UK",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:3606050b56649ebd67a6,institution-review-group:78d40ff7c1f72329ec78,mapping:48ff27f38fb0a52112af,openalex:W2903907439,Cascade learning from adversarial synthetic images for accurate pupil detection,2018,10.1016/j.patcog.2018.12.014,https://openalex.org/W2903907439,Chao Gou,"Institute of Automation, Chinese Academy of Sciences",institution:966ff12833f90bb0,"nstitute of Automation, Chinese Academy of Sciences, Beijing 100190, China",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:4ef2ce2b555a21b73d9f,institution-review-group:414dbecb9dabac13f0a7,mapping:48ff27f38fb0a52112af,openalex:W2903907439,Cascade learning from adversarial synthetic images for accurate pupil detection,2018,10.1016/j.patcog.2018.12.014,https://openalex.org/W2903907439,Fei-Yue Wang,"Institute of Automation, Chinese Academy of Sciences",institution:966ff12833f90bb0,"nstitute of Automation, Chinese Academy of Sciences, Beijing 100190, China",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:e6d77226da8dfe9955ff,institution-review-group:c7781d068ea5be8a8191,mapping:48ff27f38fb0a52112af,openalex:W2903907439,Cascade learning from adversarial synthetic images for accurate pupil detection,2018,10.1016/j.patcog.2018.12.014,https://openalex.org/W2903907439,Hui Zhang,"Institute of Automation, Chinese Academy of Sciences",institution:966ff12833f90bb0,"nstitute of Automation, Chinese Academy of Sciences, Beijing 100190, China",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:f032930da508d265199e,institution-review-group:4a186f801b1b28f5d098,mapping:48ff27f38fb0a52112af,openalex:W2903907439,Cascade learning from adversarial synthetic images for accurate pupil detection,2018,10.1016/j.patcog.2018.12.014,https://openalex.org/W2903907439,Kunfeng Wang,"Institute of Automation, Chinese Academy of Sciences",institution:966ff12833f90bb0,"nstitute of Automation, Chinese Academy of Sciences, Beijing 100190, China",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:9631e4ac292bf56ca5bd,institution-review-group:b369ca1cb0e4adaf63d5,mapping:58057f37f9c78a705cc7,curated:885c512e1e964d2ec61f,CLIP-ADA: CLIP-Guided Artifact-Invariant Generalizable Synthetic Image Detection,2026,10.1109/tifs.2026.3676657,https://openalex.org/W7140133167,Chao Shen,Xi'an Jiaotong University,institution:afc29be68ac419be,"Faculty of Electronic and Information Engineering, Xi&#x2019;an Jiaotong University, Xi&#x2019;an, China",,,automatic_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:e0e5a8a5c24c7bed0832,institution-review-group:c2dcfec064b270cd4ca9,mapping:58057f37f9c78a705cc7,curated:885c512e1e964d2ec61f,CLIP-ADA: CLIP-Guided Artifact-Invariant Generalizable Synthetic Image Detection,2026,10.1109/tifs.2026.3676657,https://openalex.org/W7140133167,Chenhao Lin,Xi'an Jiaotong University,institution:afc29be68ac419be,"Faculty of Electronic and Information Engineering, Xi&#x2019;an Jiaotong University, Xi&#x2019;an, China",,,automatic_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:ab4b021de73695b3441c,institution-review-group:ccf8382fdafed088e1cc,mapping:58057f37f9c78a705cc7,curated:885c512e1e964d2ec61f,CLIP-ADA: CLIP-Guided Artifact-Invariant Generalizable Synthetic Image Detection,2026,10.1109/tifs.2026.3676657,https://openalex.org/W7140133167,Chenken Xu,Xi'an Jiaotong University,institution:afc29be68ac419be,"Faculty of Electronic and Information Engineering, Xi&#x2019;an Jiaotong University, Xi&#x2019;an, China",,,automatic_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:5b03353f17040f128131,institution-review-group:eb091b323cc58113bda7,mapping:58057f37f9c78a705cc7,curated:885c512e1e964d2ec61f,CLIP-ADA: CLIP-Guided Artifact-Invariant Generalizable Synthetic Image Detection,2026,10.1109/tifs.2026.3676657,https://openalex.org/W7140133167,Chong Zhang,Xi'an Jiaotong University,institution:afc29be68ac419be,"Faculty of Electronic and Information Engineering, Xi&#x2019;an Jiaotong University, Xi&#x2019;an, China",,,automatic_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:a4fb2f028b3a1d6aef98,institution-review-group:31a9228198be1d67fe73,mapping:58057f37f9c78a705cc7,curated:885c512e1e964d2ec61f,CLIP-ADA: CLIP-Guided Artifact-Invariant Generalizable Synthetic Image Detection,2026,10.1109/tifs.2026.3676657,https://openalex.org/W7140133167,Jingyi Deng,Xi'an Jiaotong University,institution:afc29be68ac419be,"Faculty of Electronic and Information Engineering, Xi&#x2019;an Jiaotong University, Xi&#x2019;an, China",,,automatic_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:2802f7b0cb4d74d7004c,institution-review-group:decd3d459305840361ee,mapping:58057f37f9c78a705cc7,curated:885c512e1e964d2ec61f,CLIP-ADA: CLIP-Guided Artifact-Invariant Generalizable Synthetic Image Detection,2026,10.1109/tifs.2026.3676657,https://openalex.org/W7140133167,Shuai Liu,Xi'an Jiaotong University,institution:afc29be68ac419be,"Faculty of Electronic and Information Engineering, Xi&#x2019;an Jiaotong University, Xi&#x2019;an, China",,,automatic_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:d671727f86c3c4592b49,institution-review-group:2b58dd73df07eae458ab,mapping:58057f37f9c78a705cc7,curated:885c512e1e964d2ec61f,CLIP-ADA: CLIP-Guided Artifact-Invariant Generalizable Synthetic Image Detection,2026,10.1109/tifs.2026.3676657,https://openalex.org/W7140133167,Zhengyu Zhao,Xi'an Jiaotong University,institution:afc29be68ac419be,"Faculty of Electronic and Information Engineering, Xi&#x2019;an Jiaotong University, Xi&#x2019;an, China",,,automatic_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:4a0595533432fb2cbbcc,institution-review-group:5e630263d84bedd4e634,mapping:fbb7348909cef864796e,openalex:W4413146055,CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,https://doi.org/10.1109/cvpr52734.2025.01256,https://openalex.org/W4413146055,Lingjuan Lyu,Sony AI,institution:cf2639c8e56f6453,Sony Corporation (United States),,,curated_import,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:842f37fad9c392acfb6f,institution-review-group:29f6758d8ee592d96081,mapping:fbb7348909cef864796e,openalex:W4413146055,CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,https://doi.org/10.1109/cvpr52734.2025.01256,https://openalex.org/W4413146055,Vikash Sehwag,Sony AI,institution:cf2639c8e56f6453,Sony Corporation (United States),,,curated_import,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:10711a8e35a1b443f1bc,institution-review-group:b2110d85e55de5e6df2c,mapping:6c20cdd41af5f807c4b5,curated:0895eb11a7610f3973da,Cover-Source Mismatch in Deepfake Detection: A Systematic Study,2026,10.1145/3785353.3815097,https://openalex.org/W7164884130,Jan Franců,Czech Technical University in Prague,institution:3d7a55d07b650cfa,"Faculty of Electrical Engineering, Czech Technical University, Prague, Czech Republic",,,curated_import,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:e615c050e346052db594,institution-review-group:ceccfe457eee083e0f0c,mapping:6c20cdd41af5f807c4b5,curated:0895eb11a7610f3973da,Cover-Source Mismatch in Deepfake Detection: A Systematic Study,2026,10.1145/3785353.3815097,https://openalex.org/W7164884130,Milan Papež,Czech Technical University in Prague,institution:3d7a55d07b650cfa,"Faculty of Electrical Engineering, Czech Technical University, Prague, Czech Republic",,,curated_import,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:890041918e9c40cc5d33,institution-review-group:1fb4b06e5c98d6080d85,mapping:6c20cdd41af5f807c4b5,curated:0895eb11a7610f3973da,Cover-Source Mismatch in Deepfake Detection: A Systematic Study,2026,10.1145/3785353.3815097,https://openalex.org/W7164884130,Tomáš Pevný,Czech Technical University in Prague,institution:3d7a55d07b650cfa,"Faculty of Electrical Engineering, Czech Technical University, Prague, Czech Republic",,,curated_import,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:e47cfb285b3b870d5f2e,institution-review-group:8c6c6785af73180308f8,mapping:1119e6253c35ad59b56d,curated:86507b243a7d58c76b2c,Deep-synthesized image detection via multi-domain feature fusion and explainable AI guided color model selection,2026,10.1016/j.cviu.2026.104881,https://openalex.org/W7170425343,Priyaranjan Misra,"Indian Institute of Engineering Science and Technology, Shibpur",institution:4269181ef8bd7d6e,"Department of Information Technology, Indian Instituteof Engineering Science and Technology, Shibpur, 711103, India",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:489077e642574f9e8efe,institution-review-group:9ec5655cd5bf6b7c9e5a,mapping:1119e6253c35ad59b56d,curated:86507b243a7d58c76b2c,Deep-synthesized image detection via multi-domain feature fusion and explainable AI guided color model selection,2026,10.1016/j.cviu.2026.104881,https://openalex.org/W7170425343,Ruchira Naskar,"Indian Institute of Engineering Science and Technology, Shibpur",institution:4269181ef8bd7d6e,"Department of Information Technology, Indian Instituteof Engineering Science and Technology, Shibpur, 711103, India",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:f88cac2b3ea562d1e9e9,institution-review-group:cbbfd2f75d2ea554d71c,mapping:fc90d85db3b1950d8c6b,curated:616984c24ff3792431e6,Deepfake Generation and Detection: Case Study and Challenges,2023,10.1109/access.2023.3342107,https://openalex.org/W4389633690,Vrince Vimal,Graphic Era University,institution:128d207ba007d9d7,"Department of Computer Science and Engineering, Graphic Era Deemed to be University, Dehradun, Uttarakhand 248002, India",,,curated_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:1419b46a0166dac5fda7,institution-review-group:eb31fe13b7248002058b,mapping:b2ff94faad55f32a8465,curated:3864d12fe8df7b9cb19c,Detecting computer-generated images by using only real images,2025,10.1117/12.3055092,https://openalex.org/W4403972496,Ji Li,Université Grenoble Alpes,institution:ef7c68d6edbab550,"Univ. Grenoble Alpes, CNRS, Grenoble INP, GIPSA-lab, 38000 Grenoble, France",,,curated_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:7eb29764b2638ddb50c7,institution-review-group:ec82ed988dda58f35601,mapping:b2ff94faad55f32a8465,curated:3864d12fe8df7b9cb19c,Detecting computer-generated images by using only real images,2025,10.1117/12.3055092,https://openalex.org/W4403972496,Kai Wang,Université Grenoble Alpes,institution:ef7c68d6edbab550,"Univ. Grenoble Alpes, CNRS, Grenoble INP, GIPSA-lab, 38000 Grenoble, France",,,curated_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:353d048a53e8a7d6eb8c,institution-review-group:e1926fe968e54af8407f,mapping:39e1c5f4447a54c62df0,curated:19c7b91816312d2877c9,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,10.1145/3658664.3659652,https://openalex.org/W4399556631,Christian Rieß,Friedrich-Alexander-Universität Erlangen-Nürnberg,institution:73bb0fe265f6e090,"Friedrich-Alexander University Erlangen-Nürnberg, Erlangen, Germany",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:f887f5f5f270440e93aa,institution-review-group:9b849981b3dc02220583,mapping:45e9778ff31af0a2c84c,curated:19c7b91816312d2877c9,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,10.1145/3658664.3659652,https://openalex.org/W4399556631,Davide Cozzolino,University of Naples Federico II,institution:d046d2c57bb3a863,"Università degli Studi di Napoli Federico II, Naples, Italy",,,curated_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:65f87e091da11529d8db,institution-review-group:e3eabfee0cd65f5d6418,mapping:39e1c5f4447a54c62df0,curated:19c7b91816312d2877c9,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,10.1145/3658664.3659652,https://openalex.org/W4399556631,Denise Moussa,Friedrich-Alexander-Universität Erlangen-Nürnberg,institution:73bb0fe265f6e090,"Friedrich-Alexander University Erlangen-Nürnberg, Erlangen, Germany",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:eee24171177295479b81,institution-review-group:e9487bb4fb4ce5e191be,mapping:39e1c5f4447a54c62df0,curated:19c7b91816312d2877c9,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,10.1145/3658664.3659652,https://openalex.org/W4399556631,Lea Uhlenbrock,Friedrich-Alexander-Universität Erlangen-Nürnberg,institution:73bb0fe265f6e090,"Friedrich-Alexander University Erlangen-Nürnberg, Erlangen, Germany",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:e0891250815b305fd0e4,institution-review-group:c114b8208d30e06411ee,mapping:45e9778ff31af0a2c84c,curated:19c7b91816312d2877c9,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,10.1145/3658664.3659652,https://openalex.org/W4399556631,Luisa Verdoliva,University of Naples Federico II,institution:d046d2c57bb3a863,"Università degli Studi di Napoli Federico II, Naples, Italy",,,curated_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:627c1f9003e58950dab2,institution-review-group:d51e97e50d27d2eaecf4,mapping:7681dae0d71c2935587c,curated:853c7e2ae5f343438dd5,Did You Use My GAN to Generate Fake? Post-hoc Attribution of GAN Generated Images via Latent Recovery,2022,10.1109/ijcnn55064.2022.9892704,https://openalex.org/W4312387978,Jun Sakuma,RIKEN Center for Advanced Intelligence Project,institution:ccbfeb66fb71797e,"Faculty of Engineering, Information and Systems, University of Tsukuba / RIKEN AIP, Tsukuba, Japan",,,curated_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:ac6b4338b3e606997502,institution-review-group:ad87e60e8886cdfeb37f,mapping:b2df8c5c3dcef11ea3b6,curated:d0eec7c4fce8929c295a,Diffusion-Driven Forgery Detection: Distilling Latent Features for Generalized Image Forensics,2026,10.1109/lsp.2026.3687792,https://openalex.org/W7155779262,Kaiwen Qian,Shanghai University of Engineering Science,institution:07ba242d76aafb0e,"School of Computer Engineering and Science, Shanghai University, Shanghai, China",,,unresolved,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:7f7342ebb153a3055ef7,institution-review-group:f2ca76e36137df124fd1,mapping:b2df8c5c3dcef11ea3b6,curated:d0eec7c4fce8929c295a,Diffusion-Driven Forgery Detection: Distilling Latent Features for Generalized Image Forensics,2026,10.1109/lsp.2026.3687792,https://openalex.org/W7155779262,Yifan Xu,Shanghai University of Engineering Science,institution:07ba242d76aafb0e,"School of Computer Engineering and Science, Shanghai University, Shanghai, China",,,unresolved,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:c2b1454896718419b658,institution-review-group:9783d212a6a9dae7c400,mapping:b2df8c5c3dcef11ea3b6,curated:d0eec7c4fce8929c295a,Diffusion-Driven Forgery Detection: Distilling Latent Features for Generalized Image Forensics,2026,10.1109/lsp.2026.3687792,https://openalex.org/W7155779262,Yuchun Fang,Shanghai University of Engineering Science,institution:07ba242d76aafb0e,"School of Computer Engineering and Science, Shanghai University, Shanghai, China",,,unresolved,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:ef14de2ce2a6d415a2f7,institution-review-group:86e20acadb27c4cc816f,mapping:b2df8c5c3dcef11ea3b6,curated:d0eec7c4fce8929c295a,Diffusion-Driven Forgery Detection: Distilling Latent Features for Generalized Image Forensics,2026,10.1109/lsp.2026.3687792,https://openalex.org/W7155779262,Yutao Xu,Shanghai University of Engineering Science,institution:07ba242d76aafb0e,"School of Computer Engineering and Science, Shanghai University, Shanghai, China",,,unresolved,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:4b4bab3e5d0419f7c20a,institution-review-group:e729a3cb23fc4f3550ab,mapping:0ec360c4bc0c3ef88dc1,curated:763f1f0571f4bc4c6459,DiffusionDB: A Large-Scale Prompt Gallery Dataset for Text-to-Image Generative Models,2023,10.18653/v1/2023.acl-long.51,https://openalex.org/W4385570204,Benjamin Hoover,Georgia Institute of Technology,institution:c2dab080fa856716,"College of Computing, Georgia Tech",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:a8cd24224293aebf0c82,institution-review-group:00a46a109c02a2abc1e0,mapping:0ec360c4bc0c3ef88dc1,curated:763f1f0571f4bc4c6459,DiffusionDB: A Large-Scale Prompt Gallery Dataset for Text-to-Image Generative Models,2023,10.18653/v1/2023.acl-long.51,https://openalex.org/W4385570204,David Munechika,Georgia Institute of Technology,institution:c2dab080fa856716,"College of Computing, Georgia Tech",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:fdf0c29065f42669bee1,institution-review-group:a311e38de2e644e22870,mapping:0ec360c4bc0c3ef88dc1,curated:763f1f0571f4bc4c6459,DiffusionDB: A Large-Scale Prompt Gallery Dataset for Text-to-Image Generative Models,2023,10.18653/v1/2023.acl-long.51,https://openalex.org/W4385570204,Duen Horng Chau,Georgia Institute of Technology,institution:c2dab080fa856716,"College of Computing, Georgia Tech",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:92121d503e867a02549a,institution-review-group:3568d01162eef35dc733,mapping:0ec360c4bc0c3ef88dc1,curated:763f1f0571f4bc4c6459,DiffusionDB: A Large-Scale Prompt Gallery Dataset for Text-to-Image Generative Models,2023,10.18653/v1/2023.acl-long.51,https://openalex.org/W4385570204,Evan Montoya,Georgia Institute of Technology,institution:c2dab080fa856716,"College of Computing, Georgia Tech",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:ef2ac34958f02dde2411,institution-review-group:511e5a31bbd02ca73f39,mapping:0ec360c4bc0c3ef88dc1,curated:763f1f0571f4bc4c6459,DiffusionDB: A Large-Scale Prompt Gallery Dataset for Text-to-Image Generative Models,2023,10.18653/v1/2023.acl-long.51,https://openalex.org/W4385570204,Haoyang Yang,Georgia Institute of Technology,institution:c2dab080fa856716,"College of Computing, Georgia Tech",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:e73cad7e0708a15b6408,institution-review-group:bf996f84ca51c206c7d0,mapping:0ec360c4bc0c3ef88dc1,curated:763f1f0571f4bc4c6459,DiffusionDB: A Large-Scale Prompt Gallery Dataset for Text-to-Image Generative Models,2023,10.18653/v1/2023.acl-long.51,https://openalex.org/W4385570204,Zijie J. Wang,Georgia Institute of Technology,institution:c2dab080fa856716,"College of Computing, Georgia Tech",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:ca0e80222739d1ae76b0,institution-review-group:1593e4fd5bf2951c6864,mapping:855eb69331e5d5ba100b,curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,10.48550/arxiv.2406.00856,https://openalex.org/W4399399328,Changyeon Lee,"Yonsei University, Sinchon Campus",institution:42992b97b8e05dd4,"Department of Computer Science and Engineering, Yonsei University, Seoul, Republic of Korea",,,curated_import,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:15a55c0132d1d0a34a07,institution-review-group:b9d78ded02d3ee242752,mapping:855eb69331e5d5ba100b,curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,10.48550/arxiv.2406.00856,https://openalex.org/W4399399328,Yewon Lim,"Yonsei University, Sinchon Campus",institution:42992b97b8e05dd4,"Department of Computer Science and Engineering, Yonsei University, Seoul, Republic of Korea",,,curated_import,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:e6015c89b472eec40785,institution-review-group:04f49b513076e0243de1,mapping:4ce3a848e0cb882aacca,curated:f40ecaaf5d0212852b79,Dual Data Alignment Makes AI-Generated Image Detector Easier Generalizable,2025,10.48550/arxiv.2505.14359,https://openalex.org/W4416562145,Keyue Zhang,Tencent Youtu Lab,institution:3e78e883c14f8bb8,Tecent YouTu Lab,,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:8150151901216aab8d65,institution-review-group:9557c42f9b969fcabfad,mapping:4ce3a848e0cb882aacca,curated:f40ecaaf5d0212852b79,Dual Data Alignment Makes AI-Generated Image Detector Easier Generalizable,2025,10.48550/arxiv.2505.14359,https://openalex.org/W4416562145,Ruoxin Chen,Tencent Youtu Lab,institution:3e78e883c14f8bb8,Tecent YouTu Lab,,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:9465b3837c5b310d3533,institution-review-group:4d1ab8dc4205f0db575c,mapping:4ce3a848e0cb882aacca,curated:f40ecaaf5d0212852b79,Dual Data Alignment Makes AI-Generated Image Detector Easier Generalizable,2025,10.48550/arxiv.2505.14359,https://openalex.org/W4416562145,Shouhong Ding,Tencent Youtu Lab,institution:3e78e883c14f8bb8,Tecent YouTu Lab,,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:97b31da3df2fdc23116e,institution-review-group:4637b07c01821cfb46cb,mapping:4ce3a848e0cb882aacca,curated:f40ecaaf5d0212852b79,Dual Data Alignment Makes AI-Generated Image Detector Easier Generalizable,2025,10.48550/arxiv.2505.14359,https://openalex.org/W4416562145,Shuang Wu,Tencent Youtu Lab,institution:3e78e883c14f8bb8,Tecent YouTu Lab,,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
