institution,canonical_institution_name,institution_id,detected_language,related_paper_id,title,year,doi,openalex_url,institution_authors,raw_affiliation,evidence_source,evidence_url,suggested_city,suggested_country,matched_institution,suggested_canonical_institution,match_method,similarity_score,confidence,openalex_institution_id,ror_id,wikidata_id,review_status,location_status,coordinate_status,created_at,updated_at
University of Modena and Reggio Emilia,University of Modena and Reggio Emilia,institution:117fcda9a6399108,,curated:096573f365e37679c445,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,10.1007/978-3-031-73036-8_12,https://openalex.org/W4404545428,Federico Cocchi; Marcella Cornia; Lorenzo Baraldi; Rita Cucchiara,"University of Modena and Reggio Emilia, Modena, Italy",PDF,https://link.springer.com/chapter/10.1007/978-3-031-73036-8_12,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Pisa,University of Pisa,institution:3ec8d9fa829f5777,,curated:096573f365e37679c445,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,10.1007/978-3-031-73036-8_12,https://openalex.org/W4404545428,Lorenzo Baraldi; Federico Cocchi,"University of Pisa, Pisa, Italy",PDF,https://link.springer.com/chapter/10.1007/978-3-031-73036-8_12,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Wisconsin–Madison,University of Wisconsin-Madison,institution:3e2e527953176c93,,curated:d740749676417c725798,D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,10.1109/wacv57701.2024.00377,https://openalex.org/W4394592995,Ashish Hooda; Kassem Fawaz; Somesh Jha,,PDF,https://ieeexplore.ieee.org/document/10483793,,,,,,,,,,,pending_review,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Michigan,University of Michigan,institution:89b9b3962b3327c8,,curated:d740749676417c725798,D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,10.1109/wacv57701.2024.00377,https://openalex.org/W4394592995,Neal Mangaokar; Ryan Feng; Atul Prakash,,PDF,https://ieeexplore.ieee.org/document/10483793,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich-Alexander-Universität Erlangen-Nürnberg,institution:73bb0fe265f6e090,,curated:19c7b91816312d2877c9,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,10.1145/3658664.3659652,https://openalex.org/W4399556631,Lea Uhlenbrock; Denise Moussa; Christian Riess,"Friedrich-Alexander University Erlangen-Nürnberg, Erlangen, Germany",PDF,https://dl.acm.org/doi/10.1145/3658664.3659652,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Naples Federico II,University of Naples Federico II,institution:d046d2c57bb3a863,,curated:19c7b91816312d2877c9,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,10.1145/3658664.3659652,https://openalex.org/W4399556631,Davide Cozzolino; Luisa Verdoliva,"Università degli Studi di Napoli Federico II, Naples, Italy",PDF,https://dl.acm.org/doi/10.1145/3658664.3659652,,,,,,,,,,,pending_review,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Sapienza University of Rome,Sapienza University of Rome,institution:977430a4473aa4b0,,curated:25c76f83f95efc6207a4,Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,2024,10.1109/cvprw63382.2024.00381,https://openalex.org/W4402916679,Romeo Lanzino; Federico Fontana; Anxhelo Diko; Marco Raoul Marini; Luigi Cinque,"Department of Computer Science, Sapienza University of Rome, Via Salaria 113, 00198 Rome, Italy",PDF,https://ieeexplore.ieee.org/document/10678555,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Rutgers University,Rutgers University,institution:33a58a66974db112,,curated:b65aca5f04f1f41ad725,How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,10.48550/arxiv.2405.13360,https://openalex.org/W4398795245,Zhenting Wang; Dimitris N. Metaxas,Rutgers University,PDF,https://arxiv.org/pdf/2405.13360,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Université Paris-Saclay,Paris-Saclay University,institution:0c5e25ec47ce33fe,,curated:f523af1f7fe7b16fda75,MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,10.1109/cvprw63382.2024.00390,https://openalex.org/W4402916521,Yanhao Li; Quentin Bammey; Tina Nikoukhah; Miguel Colom; Rafael Grompone von Gioi,"Université Paris-Saclay, ENS Paris-Saclay, CNRS, Centre Borelli, Gif-sur-Yvette, 91190 France",PDF,https://ieeexplore.ieee.org/document/10678228,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Catania,University of Catania,institution:fd8ba2b56bf5212d,,curated:8603d8942c241dd876ed,On the Exploitation of DCT-Traces in the Generative-AI Domain,2024,10.1109/icip51287.2024.10648013,https://openalex.org/W4402915445,Orazio Pontorno; Luca Guarnera; Sebastiano Battiato,,PDF,https://ieeexplore.ieee.org/document/10648013,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Xiamen University,Xiamen University,institution:929ddef9540ec1e7,,curated:b7664c48f91262cfe091,StealthDiffusion: Towards Evading Diffusion Forensic Detection through Diffusion Model,2024,10.1145/3664647.3681535,https://openalex.org/W4403780693,Ziyin Zhou; Ke Sun; Zhongxi Chen; Huafeng Kuang; Xiaoshuai Sun; Rongrong Ji,"Key Laboratory of Multimedia Trusted Perception and Efficient Computing, Ministry of Education of China, Xiamen University, Xiamen, Fujian, China",PDF,https://dl.acm.org/doi/10.1145/3664647.3681535,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Florence,University of Florence,institution:42fcf4ae44e1a706,,curated:e058b4e851ac44180d82,Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,2024,10.1109/wifs61860.2024.10810686,https://openalex.org/W4405846636,Luca Bindini; Giulia Bertazzini; Daniele Baracchi; Dasara Shullani; Paolo Frasconi; Alessandro Piva,"Department of Information Engineering, University of Florence, Italy",PDF,https://ieeexplore.ieee.org/document/10810686,,,University of Florence,,,,,,,,alias_of_confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Ruhr University Bochum,Ruhr University Bochum,institution:8f8dd64c6339c8ff,,curated:b1977dc0fcca329719f0,Towards the Detection of Diffusion Model Deepfakes,2024,10.5220/0012422000003660,https://openalex.org/W4392402304,Jonas Ricker; Simon Damm; Asja Fischer,"Ruhr University Bochum, Bochum, Germany",PDF,https://arxiv.org/pdf/2210.14571,,,Ruhr University Bochum,,,,,,,,alias_of_confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Oxford,University of Oxford,institution:87d9a45b3389372f,,curated:98c0322e2f8dd41d3e9e,Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,2024,10.1007/978-3-031-73033-7_16,https://openalex.org/W4403906547,Fengyuan Liu; Haochen Luo; Philip Torr; Jindong Gu,"University of Oxford, Oxford OX1 3PJ, United Kingdom",PDF,https://link.springer.com/chapter/10.1007/978-3-031-73033-7_16,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Nanyang Technological University,Nanyang Technological University,institution:c111feb812f1a7ed,,curated:98c0322e2f8dd41d3e9e,Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,2024,10.1007/978-3-031-73033-7_16,https://openalex.org/W4403906547,Yiming Li,"Nanyang Technological University, Singapore 639798, Singapore",PDF,https://link.springer.com/chapter/10.1007/978-3-031-73033-7_16,,,,,,,,,,,pending_review,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Ruhr University Bochum,Ruhr University Bochum,institution:8f8dd64c6339c8ff,,curated:62b0a9ae8be24d9f02e0,Single-Model Attribution of Generative Models Through Final-Layer Inversion,2023,10.48550/arxiv.2306.06210,https://openalex.org/W4380551225,Mike Laszkiewicz; Jonas Ricker; Asja Fischer,,PDF,https://arxiv.org/pdf/2306.06210,,,,,,,,,,,pending_review,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Tsinghua University,Tsinghua University,institution:4ae45b121fe12e9c,,openalex:W4414979736,$\bf{D^3}$QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,https://doi.org/10.48550/arxiv.2510.05891,https://openalex.org/W4414979736,Yannan Zhang; Bingyao Yu; Yu Zheng; Wenzhao Zheng; Yueqi Duan; Lei Chen; Jie Zhou; Jiwen Lu,"Department of Automation, Tsinghua University, China; Department of Electronic Engineering, Tsinghua University, China",PDF,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_D3QE_Learning_Discrete_Distribution_Discrepancy-aware_Quantization_Error_for_Autoregressive-Generated_Image_ICCV_2025_paper.pdf,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Fudan University,Fudan University,institution:baa1df7c4adddbda,,curated:35aae1e2c9d673ab1a97,Source Attribution of AI-Generated Images: a Principled Survey,2026,10.5281/zenodo.20814592,https://openalex.org/W7165659096,Meiling Li; Zhenxing Qian; Xinpeng Zhang,"College of Computer Science and Artificial Intelligence, Fudan University, Songhu Road 2005, Shanghai, 200438, China.",PDF,https://ai.fudan.edu.cn/,,,Fudan University,,,,,,,,alias_of_confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Siena,University of Siena,institution:65dbfd1e022f02e2,,curated:35aae1e2c9d673ab1a97,Source Attribution of AI-Generated Images: a Principled Survey,2026,10.5281/zenodo.20814592,https://openalex.org/W7165659096,Benedetta Tondi; Pietro Bongini; Mauro Barni,"Department of Information Engineering and Mathematics, University of Siena, Via Roma 56, Siena, 53100, Italy.",PDF,https://www.diism.unisi.it/en,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Siena,University of Siena,institution:65dbfd1e022f02e2,,curated:ee47e898ad64ec14b709,Training-free Source Attribution of AI-generated Images via Resynthesis,2025,10.1109/wifs66636.2025.00028,https://openalex.org/W7148430317,Pietro Bongini; Valentina Molinari; Andrea Costanzo; Benedetta Tondi; Mauro Barni,"University of Siena, Department of Information Engineering and Mathematics, Italy",PDF,https://ieeexplore.ieee.org/document/11458543/,,,University of Siena,,,,,,,,alias_of_confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Beijing Normal University,Beijing Normal University,institution:924e1e0e9723b423,,curated:e256ad6b672c3cf433ba,Bridging the Gap Between Ideal and Real-World Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,2025,10.1109/iccv51701.2025.01895,https://openalex.org/W4417071442,Chunxiao Li; Boming Miao,"Beijing Normal University, Beijing, China",PDF,https://openaccess.thecvf.com/content/ICCV2025/papers/Li_Bridging_the_Gap_Between_Ideal_and_Real-world_Evaluation_Benchmarking_AI-Generated_ICCV_2025_paper.pdf,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,institution:69309405e04976ec,,curated:e256ad6b672c3cf433ba,Bridging the Gap Between Ideal and Real-World Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,2025,10.1109/iccv51701.2025.01895,https://openalex.org/W4417071442,Xiaoxiao Wang,"University of Chinese Academy of Sciences, Beijing, China",PDF,https://openaccess.thecvf.com/content/ICCV2025/papers/Li_Bridging_the_Gap_Between_Ideal_and_Real-world_Evaluation_Benchmarking_AI-Generated_ICCV_2025_paper.pdf,,,,,,,,,,,pending_review,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Fudan University,Fudan University,institution:baa1df7c4adddbda,,curated:e256ad6b672c3cf433ba,Bridging the Gap Between Ideal and Real-World Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,2025,10.1109/iccv51701.2025.01895,https://openalex.org/W4417071442,Meiling Li,"Fudan University, Shanghai, China",PDF,https://openaccess.thecvf.com/content/ICCV2025/papers/Li_Bridging_the_Gap_Between_Ideal_and_Real-world_Evaluation_Benchmarking_AI-Generated_ICCV_2025_paper.pdf,,,,,,,,,,,pending_review,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Tsinghua University,Tsinghua University,institution:4ae45b121fe12e9c,,curated:e256ad6b672c3cf433ba,Bridging the Gap Between Ideal and Real-World Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,2025,10.1109/iccv51701.2025.01895,https://openalex.org/W4417071442,Yunjian Zhang; Xiangyang Ji; Yao Zhu,"Tsinghua University, Beijing, China",PDF,https://openaccess.thecvf.com/content/ICCV2025/papers/Li_Bridging_the_Gap_Between_Ideal_and_Real-world_Evaluation_Benchmarking_AI-Generated_ICCV_2025_paper.pdf,,,Tsinghua University,,,,,,,,alias_of_confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Wuhan University,Wuhan University,institution:f23b95ce92de4591,,openalex:W4400716502,"A Survey of Defenses Against AI-Generated Visual Media: Detection,Disruption, and Authentication",2024,10.48550/arxiv.2407.10575,https://openalex.org/W4400716502,Qian Wang,"School of Cyber Science and Engineering, Wuhan University, Wuhan, China",PDF,https://dl.acm.org/doi/epdf/10.1145/3770916,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Zhejiang University,Zhejiang University,institution:e433baf78e80004b,,openalex:W7155245437,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,,https://openalex.org/W7155245437,Jiazhen Yang; Kejia Chen; Zunlei Feng; Bingde Hu; Yang Gao,"Zhejiang University, Hangzhou, China",PDF,https://arxiv.org/pdf/2604.16879,,,Zhejiang University,,,,,,,,alias_of_confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Zhejiang University of Technology,Zhejiang University of Technology,institution:9b91aedca1273b56,,openalex:W7155245437,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,,https://openalex.org/W7155245437,Jie Lei,"Zhejiang University of Technology, Hangzhou, China",PDF,https://arxiv.org/pdf/2604.16879,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Bergen,University of Bergen,institution:b978b6dfc7b3baa0,,openalex:W7117078863,AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,2025,,https://openalex.org/W7117078863,Sohail Ahmed Khan; Duc-Tien Dang-Nguyen,"University of Bergen, Norway",PDF,https://arxiv.org/pdf/2512.17730,,,University of Bergen,,,,,,,,alias_of_confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,institution:1502cb7c96ae3095,,curated:074bb9a77ee85d50090c,Aperture: a patch-aware framework for joint forgery detection and localization,2025,10.1007/s44336-025-00027-8,https://openalex.org/W4417449415,Anwen Yang; Jiaming Chu; Zhaofeng He,"Beijing University of Posts and Telecommunications, Beijing, China",PDF,https://link.springer.com/content/pdf/10.1007/s44336-025-00027-8.pdf,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Drexel University,Drexel University,institution:e0fc2ffb269489e7,,openalex:W4415980694,Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,10.48550/arxiv.2504.03615,https://openalex.org/W4415980694,Aref Azizpour; Tai D. Nguyen; Matthew C. Stamm,"Drexel University, Philadelphia, PA, USA",PDF,https://arxiv.org/pdf/2504.03615,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Southampton,University of Southampton,institution:a0c3927e4ddb3a39,,openalex:W4322760013,Benchmarking Deepart Detection,2023,10.48550/arxiv.2302.14475,https://openalex.org/W4322760013,Zhiwu Huang,"University of Southampton, United Kingdom",PDF,https://arxiv.org/pdf/2302.14475,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Harbin Institute of Technology,Harbin Institute of Technology,institution:fe438b1c7662476f,,openalex:W4322760013,Benchmarking Deepart Detection,2023,10.48550/arxiv.2302.14475,https://openalex.org/W4322760013,Xiaopeng Hong,"Harbin Institute of Technology, P. R. China",PDF,https://arxiv.org/pdf/2302.14475,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Science and Technology of China,University of Science and Technology of China,institution:e721b03b6f6c172d,,openalex:W4417529984,Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,2025,https://doi.org/10.48550/arxiv.2512.16300,https://openalex.org/W4417529984,Fanrui Zhang; Qiang Zhang; Sizhuo Zhou; Yifan Chang; Jiawei Liu,"University of Science and Technology of China, China",PDF,https://arxiv.org/pdf/2512.16300,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Shanghai Artificial Intelligence Laboratory,Shanghai Artificial Intelligence Laboratory,institution:c107a95b6cb53ac5,,openalex:W4417529984,Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,2025,https://doi.org/10.48550/arxiv.2512.16300,https://openalex.org/W4417529984,Chuanhao Li; Kaipeng Zhang,"Shanghai Artificial Intelligence Laboratory, China",PDF,https://arxiv.org/pdf/2512.16300,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,institution:69309405e04976ec,,openalex:W7133363592,CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,,https://openalex.org/W7133363592,Yiheng Li; Guoqing Xu; Yijun Ye; Yang Yang; Zhen Lei,"School of Artificial Intelligence, University of Chinese Academy of Sciences",PDF,https://arxiv.org/pdf/2603.01878,,,University of Chinese Academy of Sciences,,,,,,,,alias_of_confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Wuhan University,Wuhan University,institution:f23b95ce92de4591,,openalex:W4394653966,D$^3$: Scaling Up Deepfake Detection by Learning from Discrepancy,2024,https://doi.org/10.48550/arxiv.2404.04584,https://openalex.org/W4394653966,Yongqi Yang; Zhihao Qian; Yu Wu,"School of Computer Science, Wuhan University",PDF,https://openaccess.thecvf.com/content/CVPR2025/papers/Yang_D3_Scaling_Up_Deepfake_Detection_by_Learning_from_Discrepancy_CVPR_2025_paper.pdf,,,Wuhan University,,,,,,,,alias_of_confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Beijing Jiaotong University,Beijing Jiaotong University,institution:bf6195b78f6dc951,,openalex:W4392737360,Data-Independent Operator: A Training-Free Artifact Representation Extractor for Generalizable Deepfake Detection,2024,10.48550/arxiv.2403.06803,https://openalex.org/W4392737360,Chuangchuang Tan; RenShuai Tao; Huan Liu; Yao Zhao; Yunchao Wei,"Institute of Information Science, Beijing Jiaotong University, China; Beijing Key Laboratory of Advanced Information Science and Network Technology, China",PDF,https://arxiv.org/pdf/2403.06803,,,Beijing Jiaotong University,,,,,,,,alias_of_confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
"University of Nevada, Reno","University of Nevada, Reno",institution:969d6dd2c9cf6a1e,,openalex:W4392737360,Data-Independent Operator: A Training-Free Artifact Representation Extractor for Generalizable Deepfake Detection,2024,10.48550/arxiv.2403.06803,https://openalex.org/W4392737360,Ping Liu,"CSE department, University of Nevada, Reno, USA",PDF,https://arxiv.org/pdf/2403.06803,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Chongqing University of Posts and Telecommunications,Chongqing University of Posts and Telecommunications,institution:7e10613327a4e264,,openalex:W4389983109,DeepArt: A Benchmark to Advance Fidelity Research in AI-Generated Content,2023,10.48550/arxiv.2312.10407,https://openalex.org/W4389983109,Wentao Wang; Xuanyao Huang,"School of Automation, Chongqing University of Posts and Telecommunications, Chongqing, 400065, Chongqing, China",PDF,https://arxiv.org/pdf/2312.10407,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Drexel University,Drexel University,institution:e0fc2ffb269489e7,,openalex:W4362684513,Detecting GAN-generated synthetic images using semantic inconsistencies,2023,10.2352/ei.2023.35.4.mwsf-380,https://openalex.org/W4362684513,Danial Samadi Vahdati; Matthew C. Stamm,"Drexel University, USA",PDF,https://library.imaging.org/ei/articles/35/4/MWSF-380,,,Drexel University,,,,,,,,alias_of_confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Trento,University of Trento,institution:3c4903b35459f2b5,,openalex:W3010699567,Incremental learning for the detection and classification of GAN-generated images,2019,10.1109/wifs47025.2019.9035099,https://openalex.org/W3010699567,Cristiano Saltori; Giulia Boato,,PDF,https://arxiv.org/pdf/1910.01568,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Nanchang University,Nanchang University,institution:74eb5a7db0242865,,openalex:W4391563741,Detecting Multimedia Generated by Large AI Models: A Survey,2024,10.36227/techrxiv.170723324.44685515/v1,https://openalex.org/W4391563741,Yue Zhang; Feng Ding,"School of Software, Nanchang University, Nanchang, Jiangxi, 330031, China",PDF,https://arxiv.org/pdf/2402.00045,,,,,,,,,,,confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
University of Naples Federico II,University of Naples Federico II,institution:d046d2c57bb3a863,,openalex:W4391563741,Detecting Multimedia Generated by Large AI Models: A Survey,2024,10.36227/techrxiv.170723324.44685515/v1,https://openalex.org/W4391563741,Luisa Verdoliva,"Department of Electrical Engineering and Information Technology, University Federico II of Naples, Naples 80125, Italy",PDF,https://arxiv.org/pdf/2402.00045,,,University of Naples Federico II,,,,,,,,alias_of_confirmed,known,known,2026-07-01T02:22:24Z,2026-07-01T14:03:36Z
Barisal Information Technology College,Barisal Information Technology College,institution:c739468458199e8c,,openalex:W4402524935,Detecting the Undetectable: Combining Kolmogorov-Arnold Networks and MLP for AI-Generated Image Detection,2024,10.48550/arxiv.2408.09371,https://openalex.org/W4402524935,Taharim Rahman Anon,"Barisal Information Technology College (BITC), Barisal, Bangladesh",PDF,https://arxiv.org/pdf/2408.09371,,,,,,,,,,,confirmed,known,known,2026-07-01T03:05:59Z,2026-07-01T14:03:36Z
American International University-Bangladesh,American International University-Bangladesh,institution:b7f49dab7bfe22c4,,openalex:W4402524935,Detecting the Undetectable: Combining Kolmogorov-Arnold Networks and MLP for AI-Generated Image Detection,2024,10.48550/arxiv.2408.09371,https://openalex.org/W4402524935,Jakaria Islam Emon,"American International University Bangladesh (AIUB), Dhaka, Bangladesh",PDF,https://arxiv.org/pdf/2408.09371,,,,,,,,,,,confirmed,known,known,2026-07-01T03:06:24Z,2026-07-01T14:03:36Z
University of Waterloo,University of Waterloo,institution:7417258b2e3d3491,,openalex:W4399911107,Development of a Dual-Input Neural Model for Detecting AI-Generated Imagery,2024,10.48550/arxiv.2406.13688,https://openalex.org/W4399911107,Jonathan Gallagher; William Pugsley,,PDF,https://arxiv.org/pdf/2406.13688,,,University of Waterloo,,,,,,,,alias_of_confirmed,known,known,2026-07-01T03:07:13Z,2026-07-01T14:03:36Z
The University of Tokyo,The University of Tokyo,institution:8c45f60c84082063,,curated:8116d19627b92530b580,EvoGuard: An Extensible Agentic RL-based Framework for Practical and Evolving AI-Generated Image Detection,2026,,https://openalex.org/W7139144211,Chenyang Zhu; Isao Echizen,"The University of Tokyo, Tokyo, Japan",PDF,https://arxiv.org/pdf/2603.17343,,,,,,,,,,,confirmed,known,known,2026-07-01T03:09:23Z,2026-07-01T14:03:36Z
National Institute of Informatics,National Institute of Informatics,institution:db8874f9983a5ffd,,curated:8116d19627b92530b580,EvoGuard: An Extensible Agentic RL-based Framework for Practical and Evolving AI-Generated Image Detection,2026,,https://openalex.org/W7139144211,Chenyang Zhu; Maorong Wang; Jun Liu; Ching-Chun Chang; Isao Echizen,"National Institute of Informatics, Tokyo, Japan",PDF,https://arxiv.org/pdf/2603.17343,,,,,,,,,,,confirmed,known,known,2026-07-01T03:09:47Z,2026-07-01T14:03:36Z
University of Campinas,University of Campinas,institution:f4a883f8d9615a43,,openalex:W4395064829,FakeBench: Probing Explainable Fake Image Detection via Large Multimodal Models,2024,10.48550/arxiv.2404.13306,https://openalex.org/W4395064829,Anderson Rocha,"Artificial Intelligence Lab (Recod.ai), University of Campinas, Campinas 13084-851, Brazil",PDF,https://arxiv.org/pdf/2404.13306,,,University of Campinas,,,,,,,,alias_of_confirmed,known,known,2026-07-01T03:12:08Z,2026-07-01T14:03:36Z
Chang’an University,Chang'an University,institution:7aae859eefe8edd1,,openalex:W4417056138,FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,2025,https://doi.org/10.48550/arxiv.2503.24267,https://openalex.org/W4417056138,Yipo Huang,"School of Data Science and Artificial Intelligence, Chang’an University, Xi’an 710064, China",PDF,https://arxiv.org/pdf/2503.24267,,,,,,,,,,,confirmed,known,known,2026-07-01T03:14:30Z,2026-07-01T14:03:36Z
University of Campinas,University of Campinas,institution:f4a883f8d9615a43,,openalex:W4417056138,FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,2025,https://doi.org/10.48550/arxiv.2503.24267,https://openalex.org/W4417056138,Anderson Rocha,"Artificial Intelligence Lab (Recod.ai), University of Campinas, Campinas 13084-851, Brazil",PDF,https://arxiv.org/pdf/2503.24267,,,,,,,,,,,confirmed,known,known,2026-07-01T03:15:27Z,2026-07-01T14:03:36Z
Zhejiang University,Zhejiang University,institution:e433baf78e80004b,,openalex:W4389421609,Diffusion Noise Feature: Accurate and Fast Generated Image Detection,2023,10.48550/arxiv.2312.02625,https://openalex.org/W4389421609,Yichi Zhang; Xiaogang Xu,,PDF,https://arxiv.org/pdf/2312.02625,,,,,,,,,,,pending_review,known,known,2026-07-01T03:16:45Z,2026-07-01T14:03:36Z
Drexel University,Drexel University,institution:e0fc2ffb269489e7,,openalex:W4395064829,FakeBench: Probing Explainable Fake Image Detection via Large Multimodal Models,2024,10.48550/arxiv.2404.13306,https://openalex.org/W4395064829,Xiaoyang Wang,"College of Computing and Informatics, Drexel University, USA",PDF,https://arxiv.org/pdf/2404.13306,,,,,,,,,,,pending_review,known,known,2026-07-01T03:16:45Z,2026-07-01T14:03:36Z
Nanyang Technological University,Nanyang Technological University,institution:c111feb812f1a7ed,,openalex:W4395064829,FakeBench: Probing Explainable Fake Image Detection via Large Multimodal Models,2024,10.48550/arxiv.2404.13306,https://openalex.org/W4395064829,Bu Sung Lee; Weisi Lin,"College of Computing and Data Science, Nanyang Technological University, Singapore",PDF,https://arxiv.org/pdf/2404.13306,,,Nanyang Technological University,,,,,,,,alias_of_confirmed,known,known,2026-07-01T03:16:45Z,2026-07-01T14:03:36Z
Sun Yat-sen University,Sun Yat-sen University,institution:5c85faa51cc57a24,,openalex:W4417056138,FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,2025,https://doi.org/10.48550/arxiv.2503.24267,https://openalex.org/W4417056138,Wei Lu,"School of Computer Science and Engineering, Ministry of Education Key Laboratory of Information Technology, Guangdong Province Key Laboratory of Information Security Technology, Sun Yat-sen University, Guangzhou 510006, China",PDF,https://arxiv.org/pdf/2503.24267,,,,,,,,,,,confirmed,known,known,2026-07-01T03:16:45Z,2026-07-01T14:03:36Z
